forecast_cases,N,MAE,RMSE,mean_CRPS_8parties,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,year_block,horizon_days
53,477,0.10521488469601677,0.14875163970345134,0.07822595518867925,0.07688101886792453,0.06612152830188679,0.4716981132075472,0.8071278825995807,0.8784067085953878,0.14779308176100628,0.3297985324947589,0.4333251572327044,empirical_raw,2019,7
53,477,0.18555953878406709,0.26483079523503644,0.142036983490566,0.1335901572327044,0.06601554716981131,0.4758909853249476,0.7966457023060797,0.909853249475891,0.28861027253668764,0.5557085953878407,0.7726549266247379,empirical_raw,2019,14
53,477,0.33373249475890987,0.4891607925032748,0.2614318537735849,0.24184424109014674,0.08514333962264153,0.4444444444444444,0.7777777777777778,0.8742138364779874,0.4674513626834382,0.9913033542976939,1.3848909853249476,empirical_raw,2019,28
53,477,0.6036796645702306,0.8815284598789309,0.4760445801886792,0.43563701677148847,0.11237650943396227,0.4360587002096436,0.790356394129979,0.8825995807127882,0.8268457023060797,1.8303249475890986,2.501475681341719,empirical_raw,2019,56
53,477,0.8397488469601677,1.2098073880343754,0.6590518136792453,0.6008613144654089,0.135337320754717,0.4171907756813417,0.7924528301886793,0.8763102725366876,1.0841037735849055,2.490763522012579,3.529938784067086,empirical_raw,2019,84
53,477,1.0386689727463312,1.544819005905316,0.8237008231132075,0.7482436163522012,0.14458596226415094,0.4276729559748428,0.7526205450733753,0.8553459119496856,1.3293704402515722,3.0254270440251574,4.413742767295598,empirical_raw,2019,112
52,468,0.10221581196581196,0.17057014122326064,0.07994313701923078,0.0786835982905983,0.06860728846153846,0.5021367521367521,0.7713675213675214,0.8589743589743589,0.14886923076923078,0.3094397435897435,0.4190047008547009,empirical_raw,2020,7
52,468,0.18254465811965812,0.31540222251248,0.14243740144230768,0.13470082692307694,0.07280823076923076,0.5,0.8055555555555556,0.9123931623931624,0.27405876068376067,0.5336508547008547,0.7518391025641026,empirical_raw,2020,14
52,468,0.34303119658119663,0.5925506217330628,0.2697973149038461,0.2482901837606838,0.07623313461538463,0.4252136752136752,0.8055555555555556,0.9188034188034188,0.4626185897435897,0.9554482905982906,1.3549985042735044,empirical_raw,2020,28
52,468,0.6396352564102563,1.1038816835909189,0.50714459375,0.46111332692307694,0.09286319230769233,0.44871794871794873,0.8162393162393162,0.9273504273504274,0.8252833333333335,1.7415608974358976,2.47798952991453,empirical_raw,2020,56
52,468,0.8713286324786325,1.4832071280220387,0.6832003990384615,0.6193912008547009,0.1089176153846154,0.46153846153846156,0.7884615384615384,0.9230769230769231,1.1142615384615386,2.3591572649572647,3.4521773504273505,empirical_raw,2020,84
52,468,0.9877510683760683,1.6606317765946481,0.7724815336538462,0.6997856816239318,0.11821886538461539,0.5021367521367521,0.7948717948717948,0.9252136752136753,1.3621688034188038,2.9484467948717947,4.266867094017094,empirical_raw,2020,112
52,468,0.0974190170940171,0.1420332737590064,0.07462089182692308,0.0737961517094017,0.06719823076923076,0.47863247863247865,0.7222222222222222,0.844017094017094,0.14310128205128206,0.3002948717948718,0.40796923076923075,empirical_raw,2021,7
52,468,0.15802905982905982,0.2292850370284293,0.1217493485576923,0.11546431196581199,0.06518401923076923,0.4893162393162393,0.7905982905982906,0.8888888888888888,0.26361175213675214,0.5087608974358975,0.7208215811965812,empirical_raw,2021,14
52,468,0.2702111111111111,0.40282128706938924,0.2126091754807692,0.1987137094017094,0.08754998076923075,0.4465811965811966,0.8098290598290598,0.8931623931623932,0.4560790598290599,0.9152098290598291,1.2917108974358975,empirical_raw,2021,28
52,468,0.49437286324786334,0.7236408303033013,0.38411215625,0.3553072820512821,0.12486828846153847,0.4444444444444444,0.8012820512820513,0.8867521367521367,0.817440811965812,1.6430700854700853,2.3819463675213677,empirical_raw,2021,56
52,468,0.6800572649572649,0.9993619684664281,0.5313457644230769,0.49080419658119656,0.16647165384615387,0.44017094017094016,0.7628205128205128,0.8910256410256411,1.1009130341880342,2.2086506410256406,3.281424358974359,empirical_raw,2021,84
52,468,0.8326331196581197,1.2755909640995062,0.6615580336538461,0.6077410235042735,0.1772049423076923,0.4188034188034188,0.7393162393162394,0.8846153846153846,1.3261523504273505,2.7589354700854702,4.092910042735043,empirical_raw,2021,112
52,468,0.12594188034188034,0.17724720170660105,0.09437366346153847,0.09429759615384616,0.0936890576923077,0.3547008547008547,0.6901709401709402,0.8141025641025641,0.15366089743589742,0.312392094017094,0.42306944444444444,empirical_raw,2022,7
52,468,0.21963803418803418,0.30271826906770993,0.16433763701923076,0.1618126987179487,0.14161319230769231,0.36752136752136755,0.6282051282051282,0.7948717948717948,0.26805854700854703,0.5188826923076922,0.7319777777777778,empirical_raw,2022,14
52,468,0.3947397435897436,0.5367783786422268,0.2953190528846154,0.28642152564102563,0.2152413076923077,0.3141025641025641,0.6495726495726496,0.7905982905982906,0.4607284188034188,0.9245405982905982,1.316355341880342,empirical_raw,2022,28
52,468,0.698251282051282,0.9448272475843285,0.5217546033653846,0.5045130363247863,0.36658050000000003,0.3034188034188034,0.6132478632478633,0.782051282051282,0.8338207264957265,1.650049572649573,2.395986752136752,empirical_raw,2022,56
52,468,0.9186651709401709,1.242181919422502,0.6935823990384614,0.6640916666666667,0.42816580769230767,0.32051282051282054,0.6239316239316239,0.7628205128205128,1.1300705128205129,2.2590764957264957,3.2195912393162396,empirical_raw,2022,84
52,468,1.0715938034188035,1.4568895424461283,0.8194289927884616,0.7807265961538461,0.47110742307692305,0.3247863247863248,0.6410256410256411,0.7414529914529915,1.342904487179487,2.8436288461538464,3.8805010683760686,empirical_raw,2022,112
52,468,0.06020726495726496,0.09430401827731341,0.047139985576923074,0.048578517094017094,0.060086769230769235,0.6517094017094017,0.8739316239316239,0.9337606837606838,0.14574935897435898,0.3022096153846154,0.4115134615384615,empirical_raw,2023,7
52,468,0.10241773504273505,0.15557832556180629,0.08075037259615384,0.07883785256410256,0.0635376923076923,0.6153846153846154,0.9294871794871795,0.967948717948718,0.2585978632478632,0.5058856837606838,0.7026002136752136,empirical_raw,2023,14
52,468,0.18547435897435896,0.28552842375012466,0.14734514182692307,0.13922306623931624,0.07424646153846153,0.6987179487179487,0.9487179487179487,0.9722222222222222,0.44777628205128206,0.9026809829059829,1.241957905982906,empirical_raw,2023,28
52,468,0.32164594017094017,0.5174538791950614,0.2682994831730769,0.24855368589743587,0.09058730769230768,0.7029914529914529,0.9294871794871795,0.9829059829059829,0.8121760683760683,1.6252737179487178,2.2760794871794867,empirical_raw,2023,56
52,468,0.4350722222222223,0.7192864534639535,0.36905304326923083,0.3385743162393162,0.09474449999999998,0.6944444444444444,0.9465811965811965,0.9786324786324786,1.106309188034188,2.2361279914529915,3.0496940170940174,empirical_raw,2023,84
52,468,0.5342111111111112,0.8845837110643299,0.45171856009615385,0.4132652264957265,0.1056385576923077,0.6666666666666666,0.9444444444444444,0.9850427350427351,1.3221202991452992,2.764859615384615,3.67686688034188,empirical_raw,2023,112
53,477,0.08986666666666666,0.12976014803001532,0.06411210849056605,0.06876421593291404,0.1059810754716981,0.5052410901467506,0.7568134171907757,0.9014675052410901,0.14344297693920338,0.3043067085953879,0.4097540880503144,empirical_raw,2024,7
53,477,0.13614926624737944,0.19106091864409028,0.10207482547169812,0.10250987631027253,0.10599028301886793,0.5094339622641509,0.8176100628930818,0.909853249475891,0.2635639412997903,0.5064174004192872,0.6974316561844863,empirical_raw,2024,14
53,477,0.22648867924528301,0.31889492101614786,0.17465756839622643,0.17034518867924528,0.13584615094339622,0.5576519916142557,0.8259958071278826,0.9287211740041929,0.4398960167714885,0.8994740041928722,1.2403171907756814,empirical_raw,2024,28
