model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
empirical_raw,2018-01-01,2018-01-08,7,Development,M,True,23.1909,23.192,23.4,-0.2091,0.2091,0.043714,22.8019,22.9253,23.0193,23.1909,23.3073,23.5086,23.69,0,1,1,0.288,0.5833,0.8881,0.135993,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,L,True,4.8988,4.8938,4.9,-0.0012,0.0012,1e-06,4.798,4.8007,4.8142,4.8988,4.907,4.9945,5.0008,1,1,1,0.0928,0.1938,0.2029,0.013247,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,C,True,9.4,9.4238,9.3,0.1,0.1,0.01,9.2191,9.2532,9.3831,9.4,9.5273,9.5537,9.6295,0,1,1,0.1443,0.3006,0.4105,0.074995,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,KD,True,2.9992,2.9945,3.0,-0.0008,0.0008,1e-06,2.9073,2.9115,2.9954,2.9992,3.0014,3.0833,3.0937,1,1,1,0.006,0.1718,0.1864,0.006329,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,S,True,28.3907,28.3815,28.3,0.0907,0.0907,0.008219,28.0777,28.1687,28.2905,28.3907,28.4943,28.6044,28.677,1,1,1,0.2037,0.4356,0.5993,0.053186,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,V,True,7.499,7.505,7.5,-0.001,0.001,1e-06,7.3706,7.3876,7.491,7.499,7.5888,7.6118,7.6194,1,1,1,0.0978,0.2242,0.2488,0.013453,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,MP,True,3.9985,3.9833,4.1,-0.1015,0.1015,0.010304,3.8871,3.9054,3.9377,3.9985,4.0016,4.063,4.0929,0,0,0,0.064,0.1576,0.2058,0.084247,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,SD,True,16.705,16.7315,16.6,0.105,0.105,0.011032,16.4325,16.5154,16.6135,16.705,16.816,16.9255,17.0084,0,1,1,0.2025,0.4101,0.5759,0.08081,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-08,7,Development,REST,False,2.8991,2.8946,2.9,-0.0009,0.0009,1e-06,2.7067,2.723,2.8037,2.8991,2.9949,3.08,3.1064,1,1,1,0.1913,0.357,0.3997,0.025224,5000,1725460323,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,M,True,23.1748,23.1882,23.7,-0.5252,0.5252,0.275783,22.477,22.721,22.9023,23.1748,23.4411,23.7656,24.0257,0,1,1,0.5389,1.0446,1.5487,0.342474,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,L,True,4.8965,4.8902,4.8,0.0965,0.0965,0.00932,4.7005,4.7123,4.7997,4.8965,4.9911,5.082,5.0965,1,1,1,0.1914,0.3697,0.396,0.05093,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,C,True,9.4014,9.4475,9.2,0.2014,0.2014,0.040562,9.0406,9.1241,9.2984,9.4014,9.5382,9.7158,9.8143,0,1,1,0.2398,0.5918,0.7737,0.149968,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,KD,True,2.9971,2.984,3.0,-0.0029,0.0029,9e-06,2.8508,2.9019,2.9132,2.9971,3.0041,3.0906,3.0975,1,1,1,0.0909,0.1888,0.2467,0.017298,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,S,True,28.3712,28.3552,28.2,0.1712,0.1712,0.0293,27.7821,27.9562,28.1849,28.3712,28.5409,28.7675,28.9002,1,1,1,0.3559,0.8114,1.1181,0.104976,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,V,True,7.4981,7.5158,7.5,-0.0019,0.0019,4e-06,7.279,7.3746,7.4186,7.4981,7.6012,7.6999,7.735,1,1,1,0.1826,0.3253,0.456,0.026038,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,MP,True,3.994,3.9677,4.1,-0.106,0.106,0.011232,3.8009,3.8339,3.9038,3.994,4.0104,4.091,4.1059,0,0,1,0.1066,0.257,0.305,0.083737,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,SD,True,16.7856,16.7587,16.6,0.1856,0.1856,0.03446,16.2144,16.3866,16.5927,16.7856,16.9496,17.098,17.2024,1,1,1,0.3569,0.7114,0.988,0.104809,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-15,14,Development,REST,False,2.8981,2.8926,2.9,-0.0019,0.0019,4e-06,2.6877,2.711,2.7992,2.8981,2.9971,3.0987,3.1146,1,1,1,0.1979,0.3878,0.4269,0.031939,5000,2039679856,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,M,True,23.0736,23.1655,23.6,-0.5264,0.5264,0.277132,21.7882,22.3227,22.6094,23.0736,23.6795,24.1677,24.6532,1,1,1,1.0701,1.8449,2.865,0.312064,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,L,True,4.8923,4.8814,4.8,0.0923,0.0923,0.008522,4.5661,4.6086,4.704,4.8923,5.0085,5.1841,5.2684,1,1,1,0.3046,0.5755,0.7023,0.061698,5000,2057899080,2018-01-01,0
