model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
empirical_raw,2019-01-01,2019-01-08,7,2019,M,True,18.6521,18.6767,18.6,0.0521,0.0521,0.002719,18.3827,18.4538,18.5504,18.6521,18.784,18.9443,19.0529,1,1,1,0.2337,0.4904,0.6703,0.048262,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,L,True,3.5986,3.5912,3.6,-0.0014,0.0014,2e-06,3.5102,3.5209,3.5355,3.5986,3.6057,3.6702,3.6761,1,1,1,0.0701,0.1494,0.1659,0.010393,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,C,True,7.6987,7.7049,7.6,0.0987,0.0987,0.009749,7.5524,7.5715,7.6249,7.6987,7.7881,7.8244,7.873,0,1,1,0.1632,0.2529,0.3206,0.061554,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,KD,True,7.1986,7.2147,7.3,-0.1014,0.1014,0.010272,6.9868,6.9986,7.1889,7.1986,7.2089,7.4175,7.4334,0,1,1,0.02,0.4189,0.4466,0.073485,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,S,True,30.2871,30.2856,30.2,0.0871,0.0871,0.007583,29.9745,30.0611,30.1726,30.2871,30.3894,30.5171,30.6317,1,1,1,0.2168,0.456,0.6572,0.054427,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,V,True,8.1005,8.1072,8.2,-0.0995,0.0995,0.009891,7.938,7.9766,8.0823,8.1005,8.2007,8.2252,8.2614,1,1,1,0.1184,0.2485,0.3234,0.05333,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,MP,True,3.6982,3.6875,3.7,-0.0018,0.0018,3e-06,3.5878,3.6103,3.6416,3.6982,3.7047,3.7815,3.7904,1,1,1,0.0631,0.1712,0.2025,0.010016,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,SD,True,19.5413,19.5363,19.4,0.1413,0.1413,0.019959,19.1718,19.2818,19.4058,19.5413,19.6553,19.7681,19.8677,0,1,1,0.2495,0.4863,0.6959,0.087281,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-08,7,2019,REST,False,1.1995,1.1959,1.4,-0.2005,0.2005,0.040185,1.1073,1.1211,1.1585,1.1995,1.2398,1.2789,1.29,0,0,0,0.0814,0.1579,0.1827,0.171885,5000,724873560,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
empirical_raw,2019-01-01,2019-01-15,14,2019,M,True,18.6092,18.653,18.5,0.1092,0.1092,0.011928,18.1146,18.251,18.4161,18.6092,18.8457,19.1356,19.348,1,1,1,0.4296,0.8846,1.2334,0.093792,5000,14493521,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
