model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
empirical_symmetric,2018-01-01,2018-01-08,7,Development,M,True,23.1995,23.1963,23.4,-0.2005,0.2005,0.0402,22.7755,22.8999,23.0246,23.1995,23.3347,23.4885,23.6135,0,1,1,0.3101,0.5886,0.838,0.121368,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,L,True,4.8998,4.9017,4.9,-0.0002,0.0002,0.0,4.7989,4.8029,4.8891,4.8998,4.9824,4.9991,5.0023,1,1,1,0.0933,0.1962,0.2034,0.012411,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,C,True,9.3996,9.3988,9.3,0.0996,0.0996,0.009912,9.2046,9.2472,9.2948,9.3996,9.4994,9.5496,9.594,1,1,1,0.2046,0.3025,0.3894,0.061908,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,KD,True,2.9998,2.9999,3.0,-0.0002,0.0002,0.0,2.9072,2.912,2.997,2.9998,3.0026,3.0888,3.0944,1,1,1,0.0056,0.1768,0.1871,0.006509,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,S,True,28.3994,28.3995,28.3,0.0994,0.0994,0.009872,28.0932,28.1802,28.297,28.3994,28.5018,28.6204,28.6935,1,1,1,0.2048,0.4402,0.6003,0.062458,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,V,True,7.4994,7.4971,7.5,-0.0006,0.0006,0.0,7.3788,7.3872,7.4152,7.4994,7.5112,7.6117,7.6199,1,1,1,0.096,0.2245,0.2411,0.013635,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,MP,True,3.9998,4.0003,4.1,-0.1002,0.1002,0.01004,3.9001,3.913,3.9899,3.9998,4.0545,4.0874,4.1004,0,0,1,0.0646,0.1743,0.2003,0.068943,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,SD,True,16.6993,16.6994,16.6,0.0993,0.0993,0.009855,16.4127,16.4912,16.5979,16.6993,16.7992,16.9074,16.9901,1,1,1,0.2013,0.4162,0.5774,0.059956,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-08,7,Development,REST,False,2.9001,2.907,2.9,0.0001,0.0001,0.0,2.7071,2.7261,2.8062,2.9001,2.9991,3.0871,3.1063,1,1,1,0.1929,0.361,0.3993,0.025933,5000,1858761001,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,M,True,23.2,23.2035,23.7,-0.5,0.5,0.250006,22.4125,22.6776,22.9078,23.2,23.4798,23.7259,24.0017,0,1,1,0.572,1.0483,1.5892,0.316404,5000,539144817,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,L,True,4.8992,4.8997,4.8,0.0992,0.0992,0.009844,4.7041,4.7201,4.8045,4.8992,4.9959,5.0852,5.1004,0,1,1,0.1913,0.3652,0.3963,0.057351,5000,539144817,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,C,True,9.3988,9.3994,9.2,0.1988,0.1988,0.039526,9.0173,9.1096,9.2661,9.3988,9.533,9.6909,9.7726,0,1,1,0.2669,0.5813,0.7553,0.123024,5000,539144817,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,KD,True,2.9995,3.0004,3.0,-0.0005,0.0005,0.0,2.8971,2.905,2.9203,2.9995,3.0805,3.0967,3.1012,1,1,1,0.1602,0.1917,0.2042,0.015941,5000,539144817,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,S,True,28.3959,28.3932,28.2,0.1959,0.1959,0.038364,27.8574,27.9882,28.193,28.3959,28.5923,28.808,28.9259,1,1,1,0.3992,0.8198,1.0685,0.11905,5000,539144817,2018-01-01,0
empirical_symmetric,2018-01-01,2018-01-15,14,Development,V,True,7.4987,7.5008,7.5,-0.0013,0.0013,2e-06,7.2768,7.3728,7.4006,7.4987,7.598,7.6333,7.7319,1,1,1,0.1974,0.2604,0.4551,0.024696,5000,539144817,2018-01-01,0
