model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2018-01-01,2018-01-08,7,Development,M,True,23.1848,23.1906,23.4,-0.2152,0.2152,0.046313,22.5939,22.7288,22.9411,23.1848,23.4385,23.6698,23.7998,1,1,1,0.4974,0.9411,1.2059,0.13432,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,L,True,4.899,4.8995,4.9,-0.001,0.001,1e-06,4.6106,4.6716,4.7826,4.899,5.0162,5.1236,5.1944,1,1,1,0.2336,0.452,0.5838,0.040533,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,C,True,9.3981,9.4013,9.3,0.0981,0.0981,0.009625,8.93,9.0336,9.2031,9.3981,9.5923,9.7772,9.8843,1,1,1,0.3893,0.7436,0.9542,0.080809,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,KD,True,2.9999,3.004,3.0,-0.0001,0.0001,0.0,2.7721,2.822,2.9022,2.9999,3.0984,3.1932,3.2545,1,1,1,0.1961,0.3712,0.4824,0.03394,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,S,True,28.3954,28.3974,28.3,0.0954,0.0954,0.009097,27.6829,27.8325,28.1017,28.3954,28.6848,28.9656,29.1295,1,1,1,0.5831,1.1331,1.4465,0.109409,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,V,True,7.4978,7.5026,7.5,-0.0022,0.0022,5e-06,7.1078,7.195,7.3356,7.4978,7.6685,7.8113,7.9068,1,1,1,0.3329,0.6163,0.799,0.056776,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,MP,True,3.9994,4.0,4.1,-0.1006,0.1006,0.010116,3.72,3.7835,3.8842,3.9994,4.1132,4.22,4.2893,1,1,1,0.2291,0.4366,0.5693,0.063215,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,SD,True,16.6978,16.7008,16.6,0.0978,0.0978,0.009556,16.1526,16.2703,16.4728,16.6978,16.9219,17.1318,17.2517,1,1,1,0.4492,0.8615,1.0991,0.089583,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-08,7,Development,REST,False,2.9023,2.9038,2.9,0.0023,0.0023,5e-06,2.5824,2.6516,2.7672,2.9023,3.0329,3.164,3.2425,1,1,1,0.2657,0.5124,0.6601,0.046718,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-01-15,14,Development,M,True,23.1848,23.1906,23.7,-0.5152,0.5152,0.265435,22.5939,22.7288,22.9411,23.1848,23.4385,23.6698,23.7998,0,0,1,0.4974,0.9411,1.2059,0.331275,5000,480387179,2018-01-01,0
