model,origin_date,target_date,horizon_days,party,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2026-01-01,2026-01-08,7,M,17.8759,17.8804,17.9,-0.0241,0.0241,0.000582,17.3327,17.452,17.6529,17.8759,18.1064,18.3099,18.4469,1,1,1,0.4535,0.8579,1.1142,0.079763,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,L,1.9942,1.9994,2.0,-0.0058,0.0058,3.3e-05,1.8313,1.8654,1.927,1.9942,2.0686,2.1407,2.1822,1,1,1,0.1416,0.2752,0.351,0.024632,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,C,4.6929,4.6962,4.8,-0.1071,0.1071,0.01147,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,1,1,1,0.2525,0.4801,0.6116,0.067093,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,KD,4.1941,4.1998,4.2,-0.0059,0.0059,3.5e-05,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,1,1,1,0.26,0.509,0.6594,0.045703,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,S,34.4628,34.4618,34.5,-0.0372,0.0372,0.001382,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,1,1,1,0.6618,1.2709,1.6603,0.115197,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,V,7.1948,7.1975,7.3,-0.1052,0.1052,0.011066,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,1,1,1,0.2824,0.5538,0.7046,0.069922,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,MP,5.7955,5.8011,5.7,0.0955,0.0955,0.009129,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,1,1,1,0.4367,0.8181,1.0484,0.0858,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,SD,21.5807,21.5821,21.5,0.0807,0.0807,0.006518,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,1,1,1,0.5554,1.0743,1.3551,0.102796,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-08,7,REST,2.1002,2.1817,2.1,0.0002,0.0002,0.0,1.3486,1.4983,1.7512,2.1002,2.5244,2.9677,3.2638,1,1,1,0.7732,1.4694,1.9152,0.135202,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,M,17.8759,17.8804,17.9,-0.0241,0.0241,0.000582,17.3327,17.452,17.6529,17.8759,18.1064,18.3099,18.4469,1,1,1,0.4535,0.8579,1.1142,0.079763,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,L,1.9942,1.9994,2.0,-0.0058,0.0058,3.3e-05,1.8313,1.8654,1.927,1.9942,2.0686,2.1407,2.1822,1,1,1,0.1416,0.2752,0.351,0.024632,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,C,4.6929,4.6962,4.9,-0.2071,0.2071,0.042889,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,0,1,1,0.2525,0.4801,0.6116,0.125957,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,KD,4.1941,4.1998,4.2,-0.0059,0.0059,3.5e-05,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,1,1,1,0.26,0.509,0.6594,0.045703,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,S,34.4628,34.4618,34.4,0.0628,0.0628,0.003947,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,1,1,1,0.6618,1.2709,1.6603,0.117432,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,V,7.1948,7.1975,7.4,-0.2052,0.2052,0.042105,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,0,1,1,0.2824,0.5538,0.7046,0.123554,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,MP,5.7955,5.8011,5.7,0.0955,0.0955,0.009129,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,1,1,1,0.4367,0.8181,1.0484,0.0858,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-15,14,SD,21.5807,21.5821,21.5,0.0807,0.0807,0.006518,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,1,1,1,0.5554,1.0743,1.3551,0.102796,5000,195417453,2026-01-01,0
