model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
point_persistence,2018-01-01,2018-01-08,7,Development,M,True,23.2,23.2,23.4,-0.2,0.2,0.04,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,L,True,4.9,4.9,4.9,0.0,0.0,0.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,1,1,1,0.0,0.0,0.0,-0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,C,True,9.4,9.4,9.3,0.1,0.1,0.01,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,KD,True,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,S,True,28.4,28.4,28.3,0.1,0.1,0.01,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,V,True,7.5,7.5,7.5,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,MP,True,4.0,4.0,4.1,-0.1,0.1,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,SD,True,16.7,16.7,16.6,0.1,0.1,0.01,16.7,16.7,16.7,16.7,16.7,16.7,16.7,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-08,7,Development,REST,False,2.9,2.9,2.9,0.0,0.0,0.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1,1,1,0.0,0.0,0.0,-0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,M,True,23.2,23.2,23.7,-0.5,0.5,0.25,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.5,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,L,True,4.9,4.9,4.8,0.1,0.1,0.01,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,C,True,9.4,9.4,9.2,0.2,0.2,0.04,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,KD,True,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,S,True,28.4,28.4,28.2,0.2,0.2,0.04,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,V,True,7.5,7.5,7.5,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,MP,True,4.0,4.0,4.1,-0.1,0.1,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,SD,True,16.7,16.7,16.6,0.1,0.1,0.01,16.7,16.7,16.7,16.7,16.7,16.7,16.7,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-15,14,Development,REST,False,2.9,2.9,2.9,0.0,0.0,0.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1,1,1,0.0,0.0,0.0,-0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,M,True,23.2,23.2,23.6,-0.4,0.4,0.16,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,L,True,4.9,4.9,4.8,0.1,0.1,0.01,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,C,True,9.4,9.4,9.4,0.0,0.0,0.0,9.4,9.4,9.4,9.4,9.4,9.4,9.4,1,1,1,0.0,0.0,0.0,-0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,KD,True,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,S,True,28.4,28.4,28.0,0.4,0.4,0.16,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,V,True,7.5,7.5,7.7,-0.2,0.2,0.04,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,MP,True,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,SD,True,16.7,16.7,16.7,0.0,0.0,0.0,16.7,16.7,16.7,16.7,16.7,16.7,16.7,1,1,1,0.0,0.0,0.0,0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-01-29,28,Development,REST,False,2.9,2.9,2.8,0.1,0.1,0.01,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,M,True,23.2,23.2,23.1,0.1,0.1,0.01,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,L,True,4.9,4.9,4.7,0.2,0.2,0.04,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,C,True,9.4,9.4,9.5,-0.1,0.1,0.01,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,KD,True,3.0,3.0,3.2,-0.2,0.2,0.04,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,S,True,28.4,28.4,28.0,0.4,0.4,0.16,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,V,True,7.5,7.5,7.8,-0.3,0.3,0.09,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0.0,0.0,0.0,0.3,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,MP,True,4.0,4.0,3.9,0.1,0.1,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,SD,True,16.7,16.7,17.1,-0.4,0.4,0.16,16.7,16.7,16.7,16.7,16.7,16.7,16.7,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-02-26,56,Development,REST,False,2.9,2.9,2.7,0.2,0.2,0.04,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0.0,0.0,0.0,0.2,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,M,True,23.2,23.2,22.7,0.5,0.5,0.25,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.5,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,L,True,4.9,4.9,4.6,0.3,0.3,0.09,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0.0,0.0,0.0,0.3,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,C,True,9.4,9.4,9.4,0.0,0.0,0.0,9.4,9.4,9.4,9.4,9.4,9.4,9.4,1,1,1,0.0,0.0,0.0,-0.0,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,KD,True,3.0,3.0,3.4,-0.4,0.4,0.16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,S,True,28.4,28.4,27.7,0.7,0.7,0.49,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,0.7,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,V,True,7.5,7.5,7.8,-0.3,0.3,0.09,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0.0,0.0,0.0,0.3,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,MP,True,4.0,4.0,3.9,0.1,0.1,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,SD,True,16.7,16.7,17.2,-0.5,0.5,0.25,16.7,16.7,16.7,16.7,16.7,16.7,16.7,0,0,0,0.0,0.0,0.0,0.5,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-03-26,84,Development,REST,False,2.9,2.9,3.3,-0.4,0.4,0.16,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,M,True,23.2,23.2,22.5,0.7,0.7,0.49,23.2,23.2,23.2,23.2,23.2,23.2,23.2,0,0,0,0.0,0.0,0.0,0.7,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,L,True,4.9,4.9,4.6,0.3,0.3,0.09,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0.0,0.0,0.0,0.3,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,C,True,9.4,9.4,9.3,0.1,0.1,0.01,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,KD,True,3.0,3.0,3.4,-0.4,0.4,0.16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.4,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,S,True,28.4,28.4,26.7,1.7,1.7,2.89,28.4,28.4,28.4,28.4,28.4,28.4,28.4,0,0,0,0.0,0.0,0.0,1.7,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,V,True,7.5,7.5,8.0,-0.5,0.5,0.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0.0,0.0,0.0,0.5,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,MP,True,4.0,4.0,4.1,-0.1,0.1,0.01,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.1,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,SD,True,16.7,16.7,18.2,-1.5,1.5,2.25,16.7,16.7,16.7,16.7,16.7,16.7,16.7,0,0,0,0.0,0.0,0.0,1.5,5000,1220626277,2018-01-01,0
point_persistence,2018-01-01,2018-04-23,112,Development,REST,False,2.9,2.9,3.2,-0.3,0.3,0.09,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0.0,0.0,0.0,0.3,5000,1220626277,2018-01-01,0
