model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
point_persistence,2024-01-01,2024-01-08,7,2024,M,True,17.6,17.6,17.8,-0.2,0.2,0.04,17.6,17.6,17.6,17.6,17.6,17.6,17.6,0,0,0,0.0,0.0,0.0,0.2,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,L,True,3.0,3.0,3.1,-0.1,0.1,0.01,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.1,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,C,True,4.3,4.3,4.3,0.0,0.0,0.0,4.3,4.3,4.3,4.3,4.3,4.3,4.3,1,1,1,0.0,0.0,0.0,0.0,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,KD,True,3.3,3.3,3.3,0.0,0.0,0.0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,1,1,1,0.0,0.0,0.0,-0.0,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,S,True,36.0,36.0,35.9,0.1,0.1,0.01,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0,0,0,0.0,0.0,0.0,0.1,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,V,True,7.8,7.8,7.8,0.0,0.0,0.0,7.8,7.8,7.8,7.8,7.8,7.8,7.8,1,1,1,0.0,0.0,0.0,0.0,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,MP,True,4.5,4.5,4.5,0.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,1,0.0,0.0,0.0,0.0,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,SD,True,22.0,22.0,21.8,0.2,0.2,0.04,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,0,0,0.0,0.0,0.0,0.2,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-01,2024-01-08,7,2024,REST,False,1.5,1.5,1.5,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,0.0,0.0,0.0,0.0,100,617363162,0,,,0.0,0.0,2024-01-01,0
point_persistence,2024-01-08,2024-01-15,7,2024,M,True,17.8,17.8,18.0,-0.2,0.2,0.04,17.8,17.8,17.8,17.8,17.8,17.8,17.8,0,0,0,0.0,0.0,0.0,0.2,100,717999232,0,,,0.0,0.0,2024-01-08,0
point_persistence,2024-01-08,2024-01-15,7,2024,L,True,3.1,3.1,3.1,0.0,0.0,0.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,1,1,1,0.0,0.0,0.0,-0.0,100,717999232,0,,,0.0,0.0,2024-01-08,0
point_persistence,2024-01-08,2024-01-15,7,2024,C,True,4.3,4.3,4.4,-0.1,0.1,0.01,4.3,4.3,4.3,4.3,4.3,4.3,4.3,0,0,0,0.0,0.0,0.0,0.1,100,717999232,0,,,0.0,0.0,2024-01-08,0
point_persistence,2024-01-08,2024-01-15,7,2024,KD,True,3.3,3.3,3.4,-0.1,0.1,0.01,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0.0,0.0,0.0,0.1,100,717999232,0,,,0.0,0.0,2024-01-08,0
point_persistence,2024-01-08,2024-01-15,7,2024,S,True,35.9,35.9,35.8,0.1,0.1,0.01,35.9,35.9,35.9,35.9,35.9,35.9,35.9,0,0,0,0.0,0.0,0.0,0.1,100,717999232,0,,,0.0,0.0,2024-01-08,0
