model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
symmetric_2y,2019-01-01,2019-01-08,7,2019,M,True,18.7002,18.7019,18.6,0.1002,0.1002,0.010048,18.2165,18.365,18.5477,18.7002,18.8705,19.0397,19.1692,1,1,1,0.3228,0.6746,0.9527,0.074188,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,L,True,3.5996,3.5999,3.6,-0.0004,0.0004,0.0,3.5084,3.5222,3.5817,3.5996,3.6085,3.6782,3.6929,1,1,1,0.0268,0.156,0.1845,0.009426,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,C,True,7.7,7.6989,7.6,0.1,0.1,0.009992,7.5047,7.5611,7.6256,7.7,7.7739,7.8354,7.8907,0,1,1,0.1483,0.2744,0.386,0.061424,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,KD,True,7.1996,7.2061,7.3,-0.1004,0.1004,0.010086,6.9706,6.9841,7.1786,7.1996,7.3043,7.4232,7.5799,1,1,1,0.1257,0.4391,0.6093,0.073854,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,S,True,30.2975,30.296,30.2,0.0975,0.0975,0.009508,29.9747,30.0618,30.1863,30.2975,30.4076,30.5284,30.62,1,1,1,0.2212,0.4667,0.6453,0.061217,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,V,True,8.0995,8.0986,8.2,-0.1005,0.1005,0.01011,7.9095,7.9808,8.0022,8.0995,8.1975,8.2168,8.2993,0,1,1,0.1954,0.236,0.3898,0.060154,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,MP,True,3.6998,3.7011,3.7,-0.0002,0.0002,0.0,3.6031,3.6095,3.6908,3.6998,3.7092,3.7922,3.7983,1,1,1,0.0184,0.1827,0.1952,0.010612,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,SD,True,19.4974,19.4963,19.4,0.0974,0.0974,0.009494,19.1253,19.2224,19.3681,19.4974,19.6241,19.7751,19.8642,1,1,1,0.256,0.5526,0.7389,0.064512,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-08,7,2019,REST,False,1.1999,1.2012,1.4,-0.2001,0.2001,0.040046,1.0868,1.1157,1.1584,1.1999,1.2427,1.2894,1.3151,0,0,0,0.0843,0.1737,0.2283,0.160605,5000,52749853,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-15,14,2019,M,True,18.7037,18.6996,18.5,0.2037,0.2037,0.041481,17.7664,18.0699,18.3885,18.7037,19.0045,19.3385,19.6235,1,1,1,0.616,1.2686,1.8571,0.145568,5000,488440842,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-15,14,2019,L,True,3.5995,3.6015,3.6,-0.0005,0.0005,0.0,3.4168,3.4614,3.5299,3.5995,3.6696,3.7428,3.7902,1,1,1,0.1396,0.2814,0.3734,0.020249,5000,488440842,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
symmetric_2y,2019-01-01,2019-01-15,14,2019,C,True,7.6988,7.7021,7.6,0.0988,0.0988,0.009757,7.3665,7.4258,7.6,7.6988,7.799,7.982,8.0505,0,1,1,0.199,0.5562,0.684,0.066966,5000,488440842,731,2017-01-01,2019-01-01,365.0,731.0,2019-01-01,0
