model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
symmetric_all_history,2019-01-01,2019-01-08,7,2019,M,True,18.6997,18.6971,18.6,0.0997,0.0997,0.00995,18.3582,18.453,18.5801,18.6997,18.8145,18.9379,19.0423,1,1,1,0.2344,0.4849,0.6841,0.063921,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,L,True,3.5997,3.6008,3.6,-0.0003,0.0003,0.0,3.5177,3.5253,3.5487,3.5997,3.651,3.6766,3.6853,1,1,1,0.1023,0.1513,0.1676,0.010059,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,C,True,7.6999,7.7019,7.6,0.0999,0.0999,0.009984,7.5491,7.5783,7.6225,7.6999,7.7809,7.8247,7.8645,0,1,1,0.1584,0.2464,0.3154,0.061468,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,KD,True,7.1998,7.2007,7.3,-0.1002,0.1002,0.010049,6.9815,6.9944,7.1892,7.1998,7.2102,7.4097,7.4223,0,1,1,0.0209,0.4153,0.4408,0.073165,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,S,True,30.2973,30.2947,30.2,0.0973,0.0973,0.009472,29.9722,30.0566,30.1859,30.2973,30.4075,30.5315,30.6212,1,1,1,0.2216,0.4749,0.6489,0.062101,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,V,True,8.0992,8.1,8.2,-0.1008,0.1008,0.010163,7.9381,7.9753,8.006,8.0992,8.1901,8.2246,8.2766,0,1,1,0.1841,0.2493,0.3385,0.06285,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,MP,True,3.6996,3.7009,3.7,-0.0004,0.0004,0.0,3.6065,3.6145,3.6524,3.6996,3.7456,3.7874,3.7959,1,1,1,0.0932,0.173,0.1894,0.009925,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,SD,True,19.4992,19.5025,19.4,0.0992,0.0992,0.009843,19.1694,19.2628,19.377,19.4992,19.621,19.7526,19.8495,1,1,1,0.244,0.4898,0.6801,0.064695,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-08,7,2019,REST,False,1.1999,1.2014,1.4,-0.2001,0.2001,0.040043,1.114,1.1241,1.1598,1.1999,1.2414,1.2807,1.2937,0,0,0,0.0816,0.1566,0.1797,0.166702,5000,1785462561,1563,2014-09-22,2019-01-01,781.0,1563.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,M,True,18.6988,18.6972,18.5,0.1988,0.1988,0.03952,18.0898,18.2526,18.4634,18.6988,18.9143,19.1462,19.3347,1,1,1,0.4509,0.8936,1.245,0.124794,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,L,True,3.5996,3.6016,3.6,-0.0004,0.0004,0.0,3.4424,3.464,3.5286,3.5996,3.6721,3.7409,3.7638,1,1,1,0.1435,0.2768,0.3214,0.021994,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,C,True,7.6972,7.6968,7.6,0.0972,0.0972,0.009443,7.4049,7.461,7.5875,7.6972,7.8091,7.9373,8.0007,1,1,1,0.2216,0.4762,0.5958,0.060931,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,KD,True,7.1993,7.2031,7.5,-0.3007,0.3007,0.090429,6.8295,6.9797,7.0075,7.1993,7.3932,7.4258,7.5949,0,0,1,0.3857,0.4461,0.7654,0.200197,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,S,True,30.3001,30.2967,30.2,0.1001,0.1001,0.01003,29.7174,29.861,30.1066,30.3001,30.4927,30.7173,30.8745,1,1,1,0.386,0.8562,1.1571,0.083915,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,V,True,8.0999,8.1022,8.4,-0.3001,0.3001,0.090089,7.8187,7.8856,7.9896,8.0999,8.2099,8.325,8.3993,0,0,0,0.2203,0.4394,0.5806,0.213078,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
symmetric_all_history,2019-01-01,2019-01-15,14,2019,MP,True,3.6997,3.7011,3.7,-0.0003,0.0003,0.0,3.5242,3.5824,3.6218,3.6997,3.7816,3.8194,3.8806,1,1,1,0.1598,0.237,0.3564,0.021907,5000,1504366355,1556,2014-09-29,2019-01-01,777.5,1556.0,2019-01-01,0
