model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,M,True,18.6972,18.6984,18.6,0.0972,0.0972,0.009449,18.3648,18.454,18.5836,18.6972,18.8103,18.9447,19.0385,1,1,1,0.2267,0.4907,0.6736,0.063461,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,L,True,3.5999,3.5996,3.6,-0.0001,0.0001,0.0,3.5101,3.5225,3.5417,3.5999,3.6578,3.6771,3.6896,1,1,1,0.1161,0.1547,0.1795,0.010696,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,C,True,7.6997,7.699,7.6,0.0997,0.0997,0.009933,7.5226,7.5755,7.6222,7.6997,7.7775,7.8239,7.873,0,1,1,0.1553,0.2484,0.3504,0.059901,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,KD,True,7.2,7.2032,7.3,-0.1,0.1,0.010007,6.975,6.987,7.1861,7.2,7.2127,7.4175,7.4302,0,1,1,0.0266,0.4306,0.4552,0.072576,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,S,True,30.3002,30.3015,30.2,0.1002,0.1002,0.010032,29.9622,30.0609,30.1924,30.3002,30.4077,30.5453,30.6512,1,1,1,0.2153,0.4845,0.689,0.06442,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,V,True,8.0994,8.0971,8.2,-0.1006,0.1006,0.010116,7.8988,7.975,8.0023,8.0994,8.194,8.2205,8.2937,0,1,1,0.1917,0.2454,0.3949,0.062782,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,MP,True,3.6998,3.6994,3.7,-0.0002,0.0002,0.0,3.6021,3.6112,3.6512,3.6998,3.7092,3.7896,3.7991,1,1,1,0.0581,0.1784,0.1971,0.010206,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,SD,True,19.4998,19.5005,19.4,0.0998,0.0998,0.009952,19.1385,19.2582,19.3802,19.4998,19.6207,19.751,19.8621,1,1,1,0.2405,0.4928,0.7237,0.064237,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-08,7,2019,REST,False,1.2,1.2014,1.4,-0.2,0.2,0.04,1.0943,1.1172,1.1592,1.2,1.242,1.2863,1.3082,0,0,0,0.0828,0.1691,0.2139,0.162252,5000,1922256491,1563,2014-09-22,2019-01-01,594.44,1327.79,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,M,True,18.7037,18.7005,18.5,0.2037,0.2037,0.041474,18.0673,18.239,18.447,18.7037,18.9457,19.1537,19.348,1,1,1,0.4987,0.9147,1.2807,0.128547,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,L,True,3.5996,3.6007,3.6,-0.0004,0.0004,0.0,3.4281,3.4592,3.5276,3.5996,3.6716,3.7428,3.7706,1,1,1,0.1439,0.2836,0.3425,0.022192,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,C,True,7.6991,7.7,7.6,0.0991,0.0991,0.009823,7.3936,7.4479,7.5887,7.6991,7.8085,7.9538,8.0121,1,1,1,0.2198,0.5059,0.6185,0.064039,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,KD,True,7.1996,7.2105,7.5,-0.3004,0.3004,0.090244,6.7727,6.9704,6.9979,7.1996,7.4064,7.4328,7.6477,0,0,1,0.4086,0.4624,0.875,0.190576,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,S,True,30.2954,30.2932,30.2,0.0954,0.0954,0.009095,29.6622,29.8636,30.1085,30.2954,30.4853,30.715,30.9279,1,1,1,0.3768,0.8514,1.2657,0.083882,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,V,True,8.099,8.0985,8.4,-0.301,0.301,0.09063,7.7817,7.8742,7.9898,8.099,8.2064,8.3285,8.4186,0,0,1,0.2166,0.4543,0.6369,0.212883,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,MP,True,3.6997,3.7011,3.7,-0.0003,0.0003,0.0,3.5097,3.579,3.6158,3.6997,3.7847,3.8274,3.891,1,1,1,0.1689,0.2484,0.3813,0.022347,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,SD,True,19.4981,19.4939,19.2,0.2981,0.2981,0.088844,18.8193,19.0352,19.2545,19.4981,19.7329,19.9459,20.159,0,1,1,0.4784,0.9106,1.3397,0.176256,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-15,14,2019,REST,False,1.1998,1.2017,1.3,-0.1002,0.1002,0.010033,1.0823,1.1115,1.1573,1.1998,1.2433,1.2915,1.3243,0,0,1,0.086,0.18,0.242,0.065242,5000,226472591,1556,2014-09-29,2019-01-01,592.55,1323.57,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-29,28,2019,M,True,18.6892,18.7052,18.3,0.3892,0.3892,0.151487,17.5326,17.8344,18.2256,18.6892,19.1754,19.6572,19.9274,1,1,1,0.9498,1.8228,2.3948,0.247985,5000,1337408557,1542,2014-10-13,2019-01-01,588.75,1315.06,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-29,28,2019,L,True,3.5971,3.6002,3.5,0.0971,0.0971,0.009431,3.2967,3.3593,3.4633,3.5971,3.7339,3.8472,3.9242,1,1,1,0.2707,0.488,0.6275,0.063791,5000,1337408557,1542,2014-10-13,2019-01-01,588.75,1315.06,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-29,28,2019,C,True,7.6982,7.7033,7.6,0.0982,0.0982,0.009643,7.1393,7.2465,7.5476,7.6982,7.8387,8.1685,8.2877,1,1,1,0.2912,0.922,1.1484,0.080272,5000,1337408557,1542,2014-10-13,2019-01-01,588.75,1315.06,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-29,28,2019,KD,True,7.196,7.2101,8.0,-0.804,0.804,0.646355,6.4743,6.6637,6.9779,7.196,7.4195,7.7017,7.9712,0,0,0,0.4416,1.038,1.4969,0.577388,5000,1337408557,1542,2014-10-13,2019-01-01,588.75,1315.06,2019-01-01,0
symmetric_recency_weighted,2019-01-01,2019-01-29,28,2019,S,True,30.2617,30.2735,29.3,0.9617,0.9617,0.924895,29.1386,29.5222,29.8676,30.2617,30.6762,31.056,31.4474,0,0,1,0.8086,1.5338,2.3088,0.662087,5000,1337408557,1542,2014-10-13,2019-01-01,588.75,1315.06,2019-01-01,0
