model,horizon_days,party,cases,mean_crps,coverage_50,coverage_90,mean_width_50,mean_width_90
campaign_paths,1,C,399,0.009377,0.919799,0.919799,0.003086,0.122216
campaign_paths,1,KD,399,0.013692,0.867168,0.874687,0.002356,0.117985
campaign_paths,1,L,399,0.009364,0.912281,0.912281,0.001472,0.031777
campaign_paths,1,M,399,0.018434,0.837093,0.882206,0.011753,0.192806
campaign_paths,1,MP,399,0.010086,0.902256,0.902256,0.002095,0.046094
campaign_paths,1,S,399,0.033295,0.719298,0.844612,0.018192,0.212519
campaign_paths,1,SD,399,0.023198,0.776942,0.952381,0.011504,0.207747
campaign_paths,1,V,399,0.01549,0.867168,0.884712,0.003945,0.167335
campaign_paths,2,C,399,0.019747,0.807018,0.854637,0.00645,0.167574
campaign_paths,2,KD,399,0.023377,0.759398,0.919799,0.004772,0.225601
campaign_paths,2,L,399,0.017959,0.824561,0.834586,0.002905,0.133739
campaign_paths,2,M,399,0.032364,0.691729,0.944862,0.035344,0.215407
campaign_paths,2,MP,399,0.017841,0.824561,0.887218,0.004195,0.197084
campaign_paths,2,S,399,0.048527,0.556391,0.934837,0.050845,0.247396
campaign_paths,2,SD,399,0.037806,0.634085,0.947368,0.031361,0.234339
campaign_paths,2,V,399,0.024082,0.774436,0.932331,0.008227,0.215892
campaign_paths,3,C,399,0.026554,0.721805,0.83208,0.01007,0.18687
campaign_paths,3,KD,399,0.031511,0.681704,0.932331,0.006738,0.2695
campaign_paths,3,L,399,0.023765,0.754386,0.789474,0.004094,0.158774
campaign_paths,3,M,399,0.043199,0.566416,0.934837,0.140126,0.287691
campaign_paths,3,MP,399,0.025464,0.729323,0.892231,0.005914,0.217078
campaign_paths,3,S,399,0.064441,0.426065,0.877193,0.143898,0.376967
campaign_paths,3,SD,399,0.050178,0.533835,0.889724,0.148889,0.316607
campaign_paths,3,V,399,0.032539,0.669173,0.944862,0.012557,0.229716
campaign_paths,4,C,399,0.034243,0.631579,0.819549,0.016341,0.202067
campaign_paths,4,KD,399,0.039268,0.609023,0.944862,0.009307,0.29196
campaign_paths,4,L,399,0.029621,0.686717,0.761905,0.005659,0.173977
campaign_paths,4,M,399,0.054842,0.466165,0.917293,0.169717,0.384902
campaign_paths,4,MP,399,0.029566,0.686717,0.894737,0.008232,0.225994
campaign_paths,4,S,399,0.07956,0.443609,0.894737,0.182392,0.446501
campaign_paths,4,SD,399,0.06183,0.468672,0.952381,0.189912,0.415912
campaign_paths,4,V,399,0.040469,0.558897,0.942356,0.019363,0.244317
campaign_paths,5,C,399,0.038858,0.558897,0.829574,0.043014,0.215918
campaign_paths,5,KD,399,0.046258,0.546366,0.934837,0.013023,0.303513
campaign_paths,5,L,399,0.034511,0.639098,0.736842,0.007845,0.187191
campaign_paths,5,M,399,0.064153,0.463659,0.947368,0.183369,0.436782
campaign_paths,5,MP,399,0.034653,0.629073,0.887218,0.011394,0.235075
campaign_paths,5,S,399,0.093448,0.536341,0.884712,0.201964,0.541986
campaign_paths,5,SD,399,0.075585,0.56391,0.914787,0.203802,0.483056
campaign_paths,5,V,399,0.047481,0.506266,0.922306,0.036578,0.265584
campaign_paths,6,C,399,0.044217,0.488722,0.857143,0.116653,0.234016
campaign_paths,6,KD,399,0.053437,0.481203,0.929825,0.032232,0.312026
campaign_paths,6,L,399,0.038202,0.598997,0.721805,0.011945,0.197565
campaign_paths,6,M,399,0.073987,0.501253,0.942356,0.197182,0.516318
campaign_paths,6,MP,399,0.040416,0.553885,0.897243,0.016601,0.2453
campaign_paths,6,S,399,0.107203,0.561404,0.909774,0.22057,0.631582
campaign_paths,6,SD,399,0.084463,0.734336,0.917293,0.216134,0.582928
campaign_paths,6,V,399,0.052535,0.481203,0.892231,0.11854,0.312941
campaign_paths,7,C,399,0.051314,0.426065,0.839599,0.135902,0.262081
campaign_paths,7,KD,399,0.059637,0.43609,0.919799,0.111172,0.322686
campaign_paths,7,L,399,0.042328,0.556391,0.704261,0.043692,0.206354
campaign_paths,7,M,399,0.082727,0.606516,0.93985,0.212899,0.580315
campaign_paths,7,MP,399,0.045463,0.513784,0.887218,0.05102,0.260075
campaign_paths,7,S,399,0.124721,0.573935,0.892231,0.240787,0.711321
campaign_paths,7,SD,399,0.093596,0.714286,0.937343,0.230204,0.655115
campaign_paths,7,V,399,0.057897,0.536341,0.892231,0.177185,0.367245
campaign_paths,8,C,399,0.054161,0.428571,0.889724,0.14648,0.297269
campaign_paths,8,KD,399,0.064462,0.45614,0.914787,0.154745,0.351032
campaign_paths,8,L,399,0.044931,0.52381,0.736842,0.095977,0.216638
campaign_paths,8,M,399,0.090657,0.651629,0.952381,0.237469,0.641599
campaign_paths,8,MP,399,0.050805,0.481203,0.889724,0.122082,0.278045
campaign_paths,8,S,399,0.140035,0.536341,0.909774,0.265179,0.807002
campaign_paths,8,SD,399,0.105962,0.669173,0.914787,0.250194,0.742026
campaign_paths,8,V,399,0.063138,0.568922,0.917293,0.189655,0.402367
campaign_paths,9,C,399,0.059896,0.413534,0.892231,0.154341,0.336479
campaign_paths,9,KD,399,0.071343,0.47619,0.922306,0.187263,0.403218
campaign_paths,9,L,399,0.049038,0.491228,0.781955,0.114648,0.231323
campaign_paths,9,M,399,0.099065,0.641604,0.947368,0.274732,0.712299
campaign_paths,9,MP,399,0.054767,0.453634,0.899749,0.148036,0.311577
campaign_paths,9,S,399,0.149209,0.508772,0.904762,0.302603,0.9014
campaign_paths,9,SD,399,0.114762,0.634085,0.932331,0.279809,0.828627
campaign_paths,9,V,399,0.068238,0.556391,0.919799,0.197884,0.441941
campaign_paths,10,C,399,0.063366,0.463659,0.884712,0.160423,0.367183
campaign_paths,10,KD,399,0.077295,0.498747,0.932331,0.208827,0.447166
campaign_paths,10,L,399,0.052596,0.461153,0.807018,0.119241,0.243946
campaign_paths,10,M,399,0.107197,0.611529,0.957393,0.307394,0.776898
campaign_paths,10,MP,399,0.05994,0.461153,0.912281,0.158291,0.357125
campaign_paths,10,S,399,0.163704,0.491228,0.912281,0.339533,0.984737
campaign_paths,10,SD,399,0.125919,0.591479,0.927318,0.317856,0.911609
campaign_paths,10,V,399,0.074023,0.533835,0.927318,0.203982,0.497479
campaign_paths,11,C,399,0.068536,0.466165,0.887218,0.165416,0.392878
campaign_paths,11,KD,399,0.082049,0.516291,0.934837,0.224592,0.47959
campaign_paths,11,L,399,0.056793,0.43609,0.827068,0.123294,0.254122
campaign_paths,11,M,399,0.114081,0.614035,0.964912,0.334501,0.842722
campaign_paths,11,MP,399,0.063681,0.478697,0.919799,0.171354,0.399287
campaign_paths,11,S,399,0.182003,0.493734,0.909774,0.371354,1.08093
campaign_paths,11,SD,399,0.137463,0.54386,0.929825,0.356599,0.988083
campaign_paths,11,V,399,0.079534,0.531328,0.927318,0.209249,0.534788
endpoint_fan,1,C,399,0.027356,0.942356,0.994987,0.165416,0.392878
endpoint_fan,1,KD,399,0.03255,0.947368,0.994987,0.224592,0.47959
endpoint_fan,1,L,399,0.020207,0.914787,0.97995,0.123294,0.254122
endpoint_fan,1,M,399,0.061686,0.982456,1.0,0.334501,0.842722
endpoint_fan,1,MP,399,0.025501,0.922306,0.997494,0.171354,0.399287
endpoint_fan,1,S,399,0.074169,0.9599,0.994987,0.371354,1.08093
endpoint_fan,1,SD,399,0.066412,0.97995,1.0,0.356599,0.988083
endpoint_fan,1,V,399,0.03462,0.942356,0.994987,0.209249,0.534788
endpoint_fan,2,C,399,0.032001,0.859649,0.992481,0.165416,0.392878
endpoint_fan,2,KD,399,0.03686,0.909774,0.997494,0.224592,0.47959
endpoint_fan,2,L,399,0.024939,0.83208,0.967419,0.123294,0.254122
endpoint_fan,2,M,399,0.065089,0.962406,1.0,0.334501,0.842722
endpoint_fan,2,MP,399,0.029417,0.859649,0.994987,0.171354,0.399287
endpoint_fan,2,S,399,0.079509,0.937343,0.992481,0.371354,1.08093
endpoint_fan,2,SD,399,0.070686,0.957393,0.997494,0.356599,0.988083
endpoint_fan,2,V,399,0.038307,0.902256,0.994987,0.209249,0.534788
endpoint_fan,3,C,399,0.035172,0.79198,0.992481,0.165416,0.392878
endpoint_fan,3,KD,399,0.041166,0.874687,0.997494,0.224592,0.47959
endpoint_fan,3,L,399,0.02846,0.764411,0.954887,0.123294,0.254122
endpoint_fan,3,M,399,0.068465,0.934837,1.0,0.334501,0.842722
endpoint_fan,3,MP,399,0.033341,0.781955,0.994987,0.171354,0.399287
endpoint_fan,3,S,399,0.08644,0.87218,0.989975,0.371354,1.08093
endpoint_fan,3,SD,399,0.075185,0.919799,0.997494,0.356599,0.988083
endpoint_fan,3,V,399,0.042213,0.859649,0.994987,0.209249,0.534788
endpoint_fan,4,C,399,0.039602,0.721805,0.989975,0.165416,0.392878
endpoint_fan,4,KD,399,0.045828,0.822055,0.994987,0.224592,0.47959
endpoint_fan,4,L,399,0.032432,0.696742,0.937343,0.123294,0.254122
endpoint_fan,4,M,399,0.074198,0.902256,0.997494,0.334501,0.842722
endpoint_fan,4,MP,399,0.035796,0.75188,0.989975,0.171354,0.399287
endpoint_fan,4,S,399,0.094838,0.804511,0.989975,0.371354,1.08093
endpoint_fan,4,SD,399,0.080679,0.867168,0.994987,0.356599,0.988083
endpoint_fan,4,V,399,0.046679,0.789474,0.994987,0.209249,0.534788
endpoint_fan,5,C,399,0.042417,0.679198,0.984962,0.165416,0.392878
endpoint_fan,5,KD,399,0.050456,0.756892,0.994987,0.224592,0.47959
endpoint_fan,5,L,399,0.036238,0.649123,0.912281,0.123294,0.254122
endpoint_fan,5,M,399,0.078978,0.854637,0.992481,0.334501,0.842722
endpoint_fan,5,MP,399,0.03905,0.709273,0.984962,0.171354,0.399287
endpoint_fan,5,S,399,0.104403,0.741855,0.984962,0.371354,1.08093
endpoint_fan,5,SD,399,0.088635,0.794486,0.992481,0.356599,0.988083
endpoint_fan,5,V,399,0.051615,0.739348,0.989975,0.209249,0.534788
endpoint_fan,6,C,399,0.046313,0.614035,0.97995,0.165416,0.392878
endpoint_fan,6,KD,399,0.055791,0.691729,0.992481,0.224592,0.47959
endpoint_fan,6,L,399,0.03923,0.609023,0.902256,0.123294,0.254122
endpoint_fan,6,M,399,0.084658,0.802005,0.992481,0.334501,0.842722
endpoint_fan,6,MP,399,0.043049,0.661654,0.97995,0.171354,0.399287
endpoint_fan,6,S,399,0.114975,0.689223,0.972431,0.371354,1.08093
endpoint_fan,6,SD,399,0.09461,0.764411,0.992481,0.356599,0.988083
endpoint_fan,6,V,399,0.055505,0.694236,0.987469,0.209249,0.534788
endpoint_fan,7,C,399,0.052248,0.561404,0.952381,0.165416,0.392878
endpoint_fan,7,KD,399,0.060933,0.651629,0.982456,0.224592,0.47959
endpoint_fan,7,L,399,0.042708,0.56391,0.884712,0.123294,0.254122
endpoint_fan,7,M,399,0.09011,0.736842,0.992481,0.334501,0.842722
endpoint_fan,7,MP,399,0.047103,0.62406,0.969925,0.171354,0.399287
endpoint_fan,7,S,399,0.129222,0.631579,0.962406,0.371354,1.08093
endpoint_fan,7,SD,399,0.101078,0.729323,0.989975,0.356599,0.988083
endpoint_fan,7,V,399,0.059952,0.666667,0.97995,0.209249,0.534788
endpoint_fan,8,C,399,0.054763,0.546366,0.929825,0.165416,0.392878
endpoint_fan,8,KD,399,0.065089,0.598997,0.974937,0.224592,0.47959
endpoint_fan,8,L,399,0.045042,0.533835,0.869674,0.123294,0.254122
endpoint_fan,8,M,399,0.095748,0.694236,0.984962,0.334501,0.842722
endpoint_fan,8,MP,399,0.05166,0.573935,0.9599,0.171354,0.399287
endpoint_fan,8,S,399,0.142545,0.60401,0.952381,0.371354,1.08093
endpoint_fan,8,SD,399,0.110561,0.679198,0.987469,0.356599,0.988083
endpoint_fan,8,V,399,0.06436,0.634085,0.962406,0.209249,0.534788
endpoint_fan,9,C,399,0.06004,0.501253,0.904762,0.165416,0.392878
endpoint_fan,9,KD,399,0.071522,0.561404,0.954887,0.224592,0.47959
endpoint_fan,9,L,399,0.048971,0.501253,0.859649,0.123294,0.254122
endpoint_fan,9,M,399,0.102068,0.649123,0.982456,0.334501,0.842722
endpoint_fan,9,MP,399,0.055105,0.531328,0.962406,0.171354,0.399287
endpoint_fan,9,S,399,0.150624,0.573935,0.947368,0.371354,1.08093
endpoint_fan,9,SD,399,0.117526,0.64411,0.9599,0.356599,0.988083
