election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,training_elections_count,training_elections
2018-09-09,2018,2018-05-20,112,base,M,True,19.8356,21.7154,16.7632,18.3623,19.999,21.592,23.3021,25.3409,27.1711,22.94,1.7563,1.085739,False,True,True,3.3031,6.9786,10.408,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,L,True,5.4896,4.699,3.9593,4.0913,4.3312,4.6643,5.0538,5.3519,5.5297,94.1,0.8253,0.538119,False,False,True,0.7226,1.2605,1.5704,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,C,True,8.6077,9.3235,7.1024,7.7048,8.4566,9.2515,10.112,11.0273,11.7886,30.34,0.6438,0.419533,True,True,True,1.6554,3.3225,4.6863,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,KD,True,6.3223,3.095,2.6468,2.7382,2.8908,3.0852,3.2842,3.4597,3.5741,100.0,3.2371,3.067401,False,False,False,0.3934,0.7215,0.9273,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,S,True,28.261,25.5784,23.2027,23.8174,24.5222,25.5414,26.5777,27.371,28.0476,95.6,2.7196,1.920501,False,False,False,2.0555,3.5536,4.845,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,V,True,8.0049,8.4766,7.6858,7.8547,8.1558,8.4612,8.7792,9.1004,9.3463,15.88,0.4564,0.277509,False,True,True,0.6234,1.2457,1.6605,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,MP,True,4.4143,4.205,3.4647,3.6434,3.8949,4.1696,4.4556,4.7959,5.0888,71.74,0.2447,0.154927,True,True,True,0.5607,1.1525,1.6241,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,SD,True,17.534,19.7975,16.6693,17.3931,18.4718,19.7268,20.9833,22.4054,23.2796,11.22,2.1929,1.376737,False,True,True,2.5115,5.0123,6.6103,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,REST,False,1.5307,3.1097,2.5131,2.6443,2.8502,3.0908,3.349,3.5932,3.7712,0.0,1.5602,1.363279,False,False,False,0.4988,0.9489,1.2581,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,M,True,19.8356,13.4341,9.9941,10.9491,12.0604,13.3155,14.6815,16.083,17.3348,100.0,6.5201,5.255487,False,False,False,2.621,5.1339,7.3407,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,L,True,5.4896,2.7809,2.3527,2.4265,2.5699,2.7617,2.9844,3.1604,3.2633,100.0,2.7279,2.545853,False,False,False,0.4145,0.7339,0.9106,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,C,True,8.6077,6.2437,4.8699,5.242,5.731,6.1854,6.6901,7.3144,7.7879,98.08,2.4224,1.901622,False,False,False,0.9591,2.0724,2.918,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,KD,True,6.3223,1.756,1.4774,1.5315,1.6311,1.7494,1.8731,1.994,2.0565,100.0,4.5729,4.466447,False,False,False,0.2419,0.4625,0.5791,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,S,True,28.261,17.0146,14.5112,15.2375,16.1605,16.9679,17.8012,18.8308,19.6005,100.0,11.2931,10.444936,False,False,False,1.6407,3.5933,5.0893,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,V,True,8.0049,4.7448,4.2163,4.3398,4.5289,4.7366,4.9459,5.1624,5.3169,100.0,3.2682,3.076762,False,False,False,0.417,0.8227,1.1005,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,MP,True,4.4143,2.3229,1.878,1.9832,2.1275,2.3002,2.4906,2.6916,2.8547,100.0,2.1141,1.931215,False,False,False,0.3631,0.7084,0.9767,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,SD,True,17.534,50.0484,44.9168,46.2016,48.0402,50.0389,51.9614,54.0691,55.2952,0.0,32.5049,30.834126,False,False,False,3.9211,7.8674,10.3784,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_only,REST,False,1.5307,1.6547,1.2969,1.378,1.5006,1.6423,1.7929,1.9469,2.0579,30.0,0.1116,0.073279,True,True,True,0.2923,0.569,0.761,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,M,True,19.8356,20.2733,2.0261,2.2546,3.7049,24.9981,27.3601,29.5332,31.5241,26.6,5.1625,3.718578,True,True,True,23.6552,27.2786,29.4981,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,L,True,5.4896,4.069,0.6167,0.6569,0.8975,4.8688,5.4586,5.9551,6.2647,76.22,0.6208,0.585615,False,True,True,4.561,5.2982,5.648,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,C,True,8.6077,8.0845,1.1813,1.2798,1.9386,9.5053,10.9326,12.2643,13.0067,35.5,0.8976,1.049109,True,True,True,8.994,10.9844,11.8254,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,KD,True,6.3223,2.7854,0.3484,0.3727,0.5147,3.4256,3.7354,3.9707,4.1345,100.0,2.8967,2.822268,False,False,False,3.2207,3.598,3.7861,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,S,True,28.261,22.6368,3.069,3.3026,4.6043,28.3613,29.7494,30.8572,31.4246,48.58,0.1003,1.968897,True,True,True,25.1451,27.5546,28.3555,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,V,True,8.0049,7.7729,0.9132,0.9722,1.2457,9.6767,10.4144,10.9355,11.2338,25.46,1.6718,1.322846,True,True,True,9.1686,9.9633,10.3206,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,MP,True,4.4143,3.6539,0.5228,0.569,0.839,4.41,4.8667,5.3032,5.6137,50.24,0.0043,0.372423,True,True,True,4.0277,4.7342,5.0909,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,SD,True,17.534,27.7777,5.6206,5.9225,6.5204,7.3223,87.2014,90.1355,90.7297,74.88,10.2116,10.17601,True,True,True,80.681,84.213,85.1091,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,noise_only,REST,False,1.5307,2.9465,0.2825,0.3089,0.492,3.6026,4.0121,4.35,4.5585,25.12,2.072,1.210539,True,True,True,3.52,4.0411,4.276,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,M,True,19.8356,16.268,0.5287,0.5917,0.9931,20.2953,22.5491,24.3897,26.2979,45.16,0.4597,1.929857,True,True,True,21.556,23.7981,25.7692,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,L,True,5.4896,3.1044,0.1553,0.1659,0.2308,3.8129,4.2738,4.6973,4.9538,99.52,1.6767,1.484601,False,False,False,4.043,4.5315,4.7985,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,C,True,8.6077,6.9799,0.3371,0.3651,0.5545,8.5199,9.6443,10.7517,11.3983,51.78,0.0879,0.847196,True,True,True,9.0898,10.3866,11.0612,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,KD,True,6.3223,2.0457,0.0841,0.0901,0.1266,2.57,2.8109,3.0174,3.1336,100.0,3.7523,3.698567,False,False,False,2.6843,2.9273,3.0495,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,S,True,28.261,19.4391,0.8644,0.9361,1.333,24.9086,26.2529,27.3545,28.0627,95.76,3.3524,3.756325,False,False,False,24.9199,26.4184,27.1983,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,V,True,8.0049,5.6447,0.2168,0.2318,0.3006,7.1587,7.7751,8.1514,8.3721,85.12,0.8462,0.894744,False,True,True,7.4745,7.9196,8.1553,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,MP,True,4.4143,2.6016,0.1222,0.1337,0.1989,3.221,3.5764,3.8913,4.1338,97.84,1.1933,1.066451,False,False,False,3.3775,3.7576,4.0116,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,SD,True,17.534,41.8783,19.5622,20.4374,22.1721,24.3874,96.5103,97.3768,97.5461,0.44,6.8535,9.615307,False,False,False,74.3382,76.9394,77.9839,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,bias_plus_noise,REST,False,1.5307,2.0382,0.0639,0.07,0.1128,2.5312,2.8253,3.0805,3.2469,25.12,1.0005,0.634918,True,True,True,2.7125,3.0106,3.183,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,M,True,19.8356,20.536,16.8933,18.2636,19.1488,20.4439,21.8775,22.8355,24.6059,39.3,0.6083,0.54215,True,True,True,2.7286,4.5719,7.7126,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,L,True,5.4896,4.8914,4.1959,4.3029,4.5421,4.8624,5.2289,5.5255,5.6799,88.56,0.6272,0.38137,False,True,True,0.6868,1.2226,1.484,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,C,True,8.6077,9.405,7.6675,8.1519,8.7661,9.347,9.9744,10.7066,11.3111,19.64,0.7392,0.456259,False,True,True,1.2083,2.5548,3.6436,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,KD,True,6.3223,3.006,2.5679,2.6647,2.8108,2.9945,3.1828,3.3757,3.4759,100.0,3.3278,3.161651,False,False,False,0.372,0.711,0.9081,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,S,True,28.261,25.0663,22.9113,23.4842,24.188,25.0412,25.9116,26.6798,27.2503,97.68,3.2198,2.467273,False,False,False,1.7236,3.1956,4.3389,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,V,True,8.0049,9.1806,8.3052,8.4888,8.8103,9.1652,9.5292,9.8883,10.1209,1.08,1.1603,0.872344,False,False,False,0.7188,1.3994,1.8157,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,MP,True,4.4143,4.3992,3.713,3.889,4.1213,4.3803,4.6492,4.9348,5.1573,53.7,0.0339,0.094381,True,True,True,0.5279,1.0457,1.4443,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,SD,True,17.534,20.6999,17.8565,18.4909,19.5992,20.6499,21.6738,23.0855,23.8155,2.64,3.1159,2.234866,False,False,False,2.0746,4.5946,5.959,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,REST,False,1.5307,2.8156,2.2812,2.3941,2.5865,2.7962,3.0195,3.2502,3.4156,0.0,1.2655,1.093517,False,False,False,0.433,0.8561,1.1344,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,M,True,19.8356,12.4789,10.0117,10.7266,11.4073,12.395,13.5051,14.2966,15.2938,100.0,7.4406,6.496124,False,False,False,2.0979,3.57,5.2821,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,L,True,5.4896,2.8474,2.422,2.5063,2.6462,2.8295,3.0387,3.2113,3.321,100.0,2.6601,2.485227,False,False,False,0.3925,0.705,0.899,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,C,True,8.6077,6.1992,5.0934,5.3906,5.7979,6.1658,6.5603,7.0338,7.447,99.7,2.442,2.029434,False,False,False,0.7624,1.6431,2.3536,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,KD,True,6.3223,1.6772,1.4108,1.465,1.561,1.6704,1.7846,1.9016,1.9753,100.0,4.6519,4.550048,False,False,False,0.2236,0.4365,0.5645,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,S,True,28.261,16.3888,14.305,14.819,15.6686,16.3596,17.0651,17.9898,18.5987,100.0,11.9014,11.195246,False,False,False,1.3965,3.1709,4.2937,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,V,True,8.0049,5.053,4.4987,4.617,4.8286,5.0403,5.2703,5.4911,5.6341,100.0,2.9645,2.759947,False,False,False,0.4417,0.874,1.1354,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,MP,True,4.4143,2.3894,1.9789,2.0835,2.2281,2.3757,2.5377,2.7066,2.8518,100.0,2.0385,1.883499,False,False,False,0.3096,0.6232,0.8728,4,"[2002, 2006, 2010, 2014]"
