election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-05-20,112,base,M,True,19.8356,21.7154,16.7632,18.3623,19.999,21.592,23.3021,25.3409,27.1711,22.94,1.7563,1.085739,False,True,True,3.3031,6.9786,10.408,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,L,True,5.4896,4.699,3.9593,4.0913,4.3312,4.6643,5.0538,5.3519,5.5297,94.1,0.8253,0.538119,False,False,True,0.7226,1.2605,1.5704,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,C,True,8.6077,9.3235,7.1024,7.7048,8.4566,9.2515,10.112,11.0273,11.7886,30.34,0.6438,0.419533,True,True,True,1.6554,3.3225,4.6863,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,KD,True,6.3223,3.095,2.6468,2.7382,2.8908,3.0852,3.2842,3.4597,3.5741,100.0,3.2371,3.067401,False,False,False,0.3934,0.7215,0.9273,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,S,True,28.261,25.5784,23.2027,23.8174,24.5222,25.5414,26.5777,27.371,28.0476,95.6,2.7196,1.920501,False,False,False,2.0555,3.5536,4.845,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,V,True,8.0049,8.4766,7.6858,7.8547,8.1558,8.4612,8.7792,9.1004,9.3463,15.88,0.4564,0.277509,False,True,True,0.6234,1.2457,1.6605,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,MP,True,4.4143,4.205,3.4647,3.6434,3.8949,4.1696,4.4556,4.7959,5.0888,71.74,0.2447,0.154927,True,True,True,0.5607,1.1525,1.6241,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,SD,True,17.534,19.7975,16.6693,17.3931,18.4718,19.7268,20.9833,22.4054,23.2796,11.22,2.1929,1.376737,False,True,True,2.5115,5.0123,6.6103,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,base,REST,False,1.5307,3.1097,2.5131,2.6443,2.8502,3.0908,3.349,3.5932,3.7712,0.0,1.5602,1.363279,False,False,False,0.4988,0.9489,1.2581,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_only,M,True,19.8356,21.5135,16.5613,18.1604,19.7971,21.3901,23.1002,25.139,26.9692,25.34,1.5544,0.981743,True,True,True,3.3031,6.9786,10.408,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
