election_date,election_year,poll_id,pollster,pollster_original,interview_start,interview_end,publication_date,sample_size,sample_size_missing,weight,support_M,support_L,support_C,support_KD,support_S,support_V,support_MP,support_SD,support_REST
2002-09-15,2002,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917,False,1.3846,18.2,12.6,5.3,10.2,37.1,9.7,4.6,,
2002-09-15,2002,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668,False,1.2915,18.2,13.8,4.9,9.2,36.5,9.8,5.3,,
2002-09-15,2002,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480,False,1.2166,16.7,12.6,5.7,9.8,36.2,10.9,4.9,,
2002-09-15,2002,swp-e3e869dbc6e456ec768c,Skop,Skop,2002-09-06,2002-09-12,2002-09-13,1572,False,1.2538,17.6,11.6,5.7,12.1,35.7,11.5,4.7,,
2002-09-15,2002,swp-32944a86bc8a30f9744a,Demoskop,Demoskop,2002-09-06,2002-09-11,2002-09-13,1002,False,1.001,20.4,12.0,4.0,10.3,36.3,9.3,4.2,,
2006-09-17,2006,swp-77769c9481b09940b48a,SVT,SVT VALU,2006-09-04,2006-09-17,2006-09-17,12316,False,1.5,26.4,8.1,8.4,6.6,30.3,7.1,6.7,1.9,
2006-09-17,2006,swp-e749c1072d858dd26e7a,Sifo,Sifo,2006-09-13,2006-09-14,2006-09-16,1932,False,1.39,25.0,9.2,7.0,7.4,34.8,5.8,5.3,,
2006-09-17,2006,swp-e61efac9cd3aff821b13,Skop,Skop,2006-09-12,2006-09-14,2006-09-16,1600,False,1.2649,23.9,10.3,6.6,7.5,36.1,5.1,6.4,,
2006-09-17,2006,swp-c55de8b906ec81140889,Ipsos,Synovate Temo,2006-09-12,2006-09-14,2006-09-16,1587,False,1.2598,27.4,7.3,7.2,7.8,34.4,6.3,4.6,2.8,
2006-09-17,2006,swp-24a9f587f6c57fa31d5e,Demoskop,Demoskop,2006-09-09,2006-09-12,2006-09-14,1012,False,1.006,28.3,8.8,5.4,7.9,33.3,5.9,5.7,,
2010-09-19,2010,swp-30db7463b7bdd2e65aba,SVT,SVT VALU,2010-09-11,2010-09-19,2010-09-19,11889,False,1.5,29.1,7.2,7.1,5.7,30.0,6.1,9.0,4.6,
2010-09-19,2010,swp-9b3b3851ebe71fe1da07,United Minds,United Minds,2010-09-15,2010-09-17,2010-09-18,1554,False,1.2466,27.6,6.7,6.3,6.3,27.7,6.3,9.9,7.2,
2010-09-19,2010,swp-e462e8ba904e73340be7,Novus,Novus,2010-09-15,2010-09-17,2010-09-18,1500,False,1.2247,28.8,7.3,7.2,6.0,29.9,6.1,8.2,4.4,
2010-09-19,2010,swp-e1bf69268385e39b253c,Sifo,Sifo,2010-09-15,2010-09-16,2010-09-18,1941,False,1.3932,30.0,6.8,6.6,6.5,30.3,5.3,9.7,3.8,
2010-09-19,2010,swp-c052a40f5f327a47fc1e,Skop,Skop,2010-09-07,2010-09-16,2010-09-18,2000,False,1.4142,28.9,8.7,6.5,5.6,28.8,6.7,8.0,5.0,
2010-09-19,2010,swp-1a5dbbfeed03ff611a89,Ipsos,Synovate,2010-09-07,2010-09-16,2010-09-18,1820,False,1.3491,30.4,6.6,6.9,5.3,29.7,4.6,8.6,5.9,
