window_days,party,is_parliamentary,mean_residual_pp,median_residual_pp,MAE_pp,mean_residual_clr,sign_consistency
7,M,True,0.4545,0.9728,1.4155,-0.031749,5+ / 1- / 0zero
7,L,True,-0.3827,-0.4622,0.6638,-0.119642,1+ / 5- / 0zero
7,C,True,0.0467,-0.1471,0.5768,-0.035748,2+ / 4- / 0zero
7,KD,True,-0.5137,-0.4906,0.5217,-0.123774,1+ / 5- / 0zero
7,S,True,1.8189,1.3039,1.8189,0.008663,6+ / 0- / 0zero
7,V,True,-1.0162,-0.9026,1.0162,-0.179014,0+ / 6- / 0zero
7,MP,True,-0.8902,-0.7306,0.8902,-0.185268,0+ / 6- / 0zero
7,SD,True,0.9109,0.5995,0.9478,0.878777,5+ / 1- / 0zero
7,REST,False,-0.4281,-0.4109,0.5613,-0.212246,1+ / 5- / 0zero
14,M,True,0.4517,0.9728,1.4128,-0.030246,5+ / 1- / 0zero
14,L,True,-0.3512,-0.3679,0.6324,-0.112125,1+ / 5- / 0zero
14,C,True,0.157,-0.0295,0.4925,-0.020899,3+ / 3- / 0zero
14,KD,True,-0.5004,-0.4906,0.5829,-0.120378,1+ / 5- / 0zero
14,S,True,1.9726,1.3956,1.9726,0.015941,6+ / 0- / 0zero
14,V,True,-1.0557,-1.0144,1.0557,-0.182512,0+ / 6- / 0zero
14,MP,True,-0.8338,-0.5615,0.8338,-0.173013,0+ / 6- / 0zero
14,SD,True,0.6623,0.5995,1.1784,0.867141,4+ / 2- / 0zero
14,REST,False,-0.5025,-0.4109,0.6031,-0.243908,1+ / 5- / 0zero
21,M,True,0.4076,0.8404,1.3687,-0.03154,5+ / 1- / 0zero
21,L,True,-0.344,-0.3679,0.6252,-0.110924,1+ / 5- / 0zero
21,C,True,0.1845,0.0529,0.4742,-0.016546,4+ / 2- / 0zero
21,KD,True,-0.4971,-0.4806,0.5796,-0.11962,1+ / 5- / 0zero
21,S,True,1.9854,1.4339,1.9854,0.016573,6+ / 0- / 0zero
21,V,True,-1.0388,-1.0144,1.0388,-0.17944,0+ / 6- / 0zero
21,MP,True,-0.8348,-0.5615,0.8348,-0.172924,0+ / 6- / 0zero
21,SD,True,0.6512,0.5659,1.1673,0.865169,4+ / 2- / 0zero
21,REST,False,-0.514,-0.4454,0.6146,-0.250747,1+ / 5- / 0zero
