election_date,election_year,party,party_source_name,votes,vote_share,source_vote_share,valid_votes_total,source_url,retrieved_at
2002-09-15,2002,M,Moderata Samlingspartiet,809041,15.2557,15.26,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,L,Folkpartiet liberalerna,710312,13.394,13.39,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,C,Centerpartiet,328428,6.193,6.19,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,KD,Kristdemokraterna,485235,9.1498,9.15,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,S,Arbetarepartiet-Socialdemokraterna,2113560,39.8543,39.85,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,V,Vänsterpartiet,444854,8.3884,8.39,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,MP,Miljöpartiet de gröna,246392,4.6461,4.65,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,SD,Sverigedemokraterna,76300,1.4388,1.44,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,FI,FI (ej deltagit),0,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Övriga partier,89090,1.6799,1.67,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2006-09-17,2006,M,Moderata Samlingspartiet,1456014,26.2284,26.23,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,L,Folkpartiet liberalerna,418395,7.5369,7.54,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,C,Centerpartiet,437389,7.8791,7.88,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,KD,Kristdemokraterna,365998,6.593,6.59,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,S,Arbetarepartiet-Socialdemokraterna,1942625,34.9942,34.99,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,V,Vänsterpartiet,324722,5.8495,5.85,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,MP,Miljöpartiet de gröna,291121,5.2442,5.24,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,SD,Sverigedemokraterna,162463,2.9266,2.93,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,FI,Feministiskt initiativ,37954,0.6837,0.68,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2006-09-17,2006,OTHER,Övriga partier,114597,2.0643,2.06,5551278,https://historik.val.se/val/val2006/slutlig/R/rike/roster.html,2026-08-26T10:26:23.802498+00:00
2010-09-19,2010,M,Moderata Samlingspartiet,1791766,30.0611,30.06,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,L,Folkpartiet liberalerna,420524,7.0553,7.06,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,C,Centerpartiet,390804,6.5567,6.56,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,KD,Kristdemokraterna,333696,5.5985,5.6,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,S,Arbetarepartiet-Socialdemokraterna,1827497,30.6606,30.66,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,V,Vänsterpartiet,334053,5.6045,5.6,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,MP,Miljöpartiet de gröna,437435,7.339,7.34,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,SD,Sverigedemokraterna,339610,5.6978,5.7,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,FI,Feministiskt initiativ,24139,0.405,0.4,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2010-09-19,2010,OTHER,Övriga partier,60884,1.0215,1.02,5960408,https://historik.val.se/val/val2010/slutresultat/R/rike/index.html,2026-08-26T10:26:23.990158+00:00
2014-09-14,2014,M,Moderaterna,1453517,23.325,23.33,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
