election_date,election_year,canonical_party,party_source_name,party_source_code,votes,source_vote_share,vote_share,valid_votes_total,source_url,retrieved_at
2002-09-15,2002,M,Moderata Samlingspartiet,M,809041,15.26,15.2557,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,C,Centerpartiet,C,328428,6.19,6.193,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,L,Folkpartiet liberalerna,FP,710312,13.39,13.394,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,KD,Kristdemokraterna,KD,485235,9.15,9.1498,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,S,Arbetarepartiet-Socialdemokraterna,S,2113560,39.85,39.8543,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,V,Vänsterpartiet,V,444854,8.39,8.3884,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,MP,Miljöpartiet de gröna,MP,246392,4.65,4.6461,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Republikanerna,0020,15,0.0,0.0003,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Medborgarpartiet,0095,27,0.0,0.0005,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Skånefederalisterna,0329,52,0.0,0.001,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Sveriges Nationella Demokratiska Parti,0339,87,0.0,0.0016,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Förskolepartiet - Barnens Röst,0354,6,0.0,0.0001,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,Crisis,0365,1,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,DUST-ONLINE,0367,1,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,VIKINGAPARTIET-Sverige ut ur EU,0370,2,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,BLANKRÖSTAR-PARTIET-En politiskt markering,0376,7,0.0,0.0001,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,TOMTE-PARTIET-Tomten: Barnens och djurens bästa vän,0378,1,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,"SINGELPARTIET-Ursäkta, men vi finns också",0379,3,0.0,0.0001,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,GUD-TROLL-HÄXOR-VÄSEN OCH KOSMISKA KRAFTERS-Parti,0387,4,0.0,0.0001,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,TANDLÄKARHÖGKOSTNADS-PARTIET,0390,1,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
2002-09-15,2002,OTHER,"HUNDPARTIET-Hunden, människans bästa vän.",0391,2,0.0,0.0,5303212,https://historik.val.se/val/val_02/slutresultat/00R/00.html,2026-08-26T10:26:23.728456+00:00
