election_year,constituency_code,constituency_name,eligible_voters,valid_votes,turnout_rate
2014,01,Stockholms kommun,677144,577565.0,0.852943
2014,02,Stockholms län,900574,764195.0,0.848564
2014,03,Uppsala län,263680,228351.0,0.866016
2014,04,Södermanlands län,210085,178632.0,0.850284
2014,05,Östergötlands län,338664,291484.0,0.860688
2014,06,Jönköpings län,260633,224596.0,0.861733
2014,07,Kronobergs län,140723,120775.0,0.858246
2014,08,Kalmar län,185052,158822.0,0.858256
2014,09,Gotlands län,46466,39655.0,0.85342
2014,10,Blekinge län,118864,102225.0,0.860016
2014,11,Malmö kommun,226651,179103.0,0.790215
2014,12,Skåne läns västra,220254,182009.0,0.82636
2014,13,Skåne läns södra,275515,239845.0,0.870533
2014,14,Skåne läns norra och östra,235147,196700.0,0.836498
2014,15,Hallands län,238402,206559.0,0.866431
2014,16,Göteborgs kommun,406851,334294.0,0.821662
2014,17,Västra Götalands läns västra,272370,234945.0,0.862595
2014,18,Västra Götalands läns norra,209467,179053.0,0.854803
2014,19,Västra Götalands läns södra,147255,124892.0,0.848134
2014,20,Västra Götalands läns östra,202294,174445.0,0.862334
2014,21,Värmlands län,213761,182077.0,0.851778
2014,22,Örebro län,219922,188704.0,0.85805
2014,23,Västmanlands län,198080,166939.0,0.842786
2014,24,Dalarnas län,217293,184911.0,0.850975
2014,25,Gävleborgs län,216949,183515.0,0.84589
2014,26,Västernorrlands län,189842,162112.0,0.853931
2014,27,Jämtlands län,99192,83714.0,0.843959
2014,28,Västerbottens län,203654,175279.0,0.860671
2014,29,Norrbottens län,195648,166177.0,0.849367
2018,01,Stockholms kommun,704157,611206.0,0.867997
2018,02,Stockholms län,947622,815031.0,0.86008
2018,03,Uppsala län,273898,241489.0,0.881675
2018,04,Södermanlands län,213370,183449.0,0.859769
2018,05,Östergötlands län,344396,300778.0,0.873349
2018,06,Jönköpings län,262981,229580.0,0.872991
2018,07,Kronobergs län,142597,124570.0,0.873581
2018,08,Kalmar län,184447,160864.0,0.872142
2018,09,Gotlands län,46871,41129.0,0.877494
2018,10,Blekinge län,119376,104514.0,0.875503
2018,11,Malmö kommun,237691,193298.0,0.813232
2018,12,Skåne läns västra,226876,191506.0,0.8441
2018,13,Skåne läns södra,285170,252804.0,0.886503
2018,14,Skåne läns norra och östra,237178,202502.0,0.853798
2018,15,Hallands län,245991,216982.0,0.882073
2018,16,Göteborgs kommun,418425,349645.0,0.835622
2018,17,Västra Götalands läns västra,273965,243278.0,0.887989
2018,18,Västra Götalands läns norra,203176,174573.0,0.859221
2018,19,Västra Götalands läns södra,165725,143505.0,0.865922
2018,20,Västra Götalands läns östra,202936,177001.0,0.872201
2018,21,Värmlands län,213173,183966.0,0.862989
2018,22,Örebro län,224811,195157.0,0.868094
2018,23,Västmanlands län,201215,172719.0,0.85838
2018,24,Dalarnas län,217205,188027.0,0.865666
2018,25,Gävleborgs län,217235,185413.0,0.853513
2018,26,Västernorrlands län,187500,163001.0,0.869339
2018,27,Jämtlands län,99012,85223.0,0.860734
2018,28,Västerbottens län,205278,178837.0,0.871194
2018,29,Norrbottens län,193659,166678.0,0.860678
2022,01,Stockholms kommun,728089,606754.0,0.833351
2022,02,Stockholms län,1006456,822512.0,0.817236
2022,03,Uppsala län,292255,248891.0,0.851623
2022,04,Södermanlands län,223767,184883.0,0.82623
2022,05,Östergötlands län,356210,300600.0,0.843884
