election_year,constituency_code,constituency_name,party,votes,constituency_valid_votes,party_share
2014,01,Stockholms kommun,C,28201,577565,0.04882740470769524
2014,01,Stockholms kommun,KD,24691,577565,0.04275016664790976
2014,01,Stockholms kommun,L,45365,577565,0.07854527196073169
2014,01,Stockholms kommun,M,160166,577565,0.2773125102802282
2014,01,Stockholms kommun,MP,64392,577565,0.11148875018396198
2014,01,Stockholms kommun,REST,46946,577565,0.08128262619791712
2014,01,Stockholms kommun,S,124792,577565,0.21606572420420211
2014,01,Stockholms kommun,SD,38356,577565,0.06640984131656177
2014,01,Stockholms kommun,V,44656,577565,0.07731770450079212
2014,02,Stockholms län,C,38898,764195,0.05090062091481886
2014,02,Stockholms län,KD,40492,764195,0.052986475964904245
2014,02,Stockholms län,L,53766,764195,0.0703563880946617
2014,02,Stockholms län,M,249616,764195,0.32663914315063564
2014,02,Stockholms län,MP,59586,764195,0.07797224530388186
2014,02,Stockholms län,REST,28241,764195,0.03695522739614889
2014,02,Stockholms län,S,183738,764195,0.24043339723499893
2014,02,Stockholms län,SD,74136,764195,0.09701188832693226
2014,02,Stockholms län,V,35722,764195,0.04674461361301762
2014,03,Uppsala län,C,15827,228351,0.0693099657982667
2014,03,Uppsala län,KD,10776,228351,0.04719050934745195
2014,03,Uppsala län,L,14141,228351,0.06192659546049722
2014,03,Uppsala län,M,52071,228351,0.22803053194424372
2014,03,Uppsala län,MP,19080,228351,0.08355557891141269
2014,03,Uppsala län,REST,12076,228351,0.05288349952485428
2014,03,Uppsala län,S,65926,228351,0.28870466956571245
2014,03,Uppsala län,SD,24091,228351,0.105499866433692
2014,03,Uppsala län,V,14363,228351,0.062898783013869
2014,04,Södermanlands län,C,9774,178632,0.05471584038694075
2014,04,Södermanlands län,KD,6888,178632,0.03855972054279189
2014,04,Södermanlands län,L,7776,178632,0.04353083434099154
2014,04,Södermanlands län,M,39991,178632,0.22387366205383133
2014,04,Södermanlands län,MP,11165,178632,0.06250279905056205
2014,04,Södermanlands län,REST,5233,178632,0.029294863182408527
2014,04,Södermanlands län,S,61834,178632,0.3461529849075194
2014,04,Södermanlands län,SD,26887,178632,0.1505161449236419
2014,04,Södermanlands län,V,9084,178632,0.050853150611312646
2014,05,Östergötlands län,C,17443,291484,0.05984204964938041
2014,05,Östergötlands län,KD,14752,291484,0.050609982023026995
2014,05,Östergötlands län,L,14860,291484,0.05098049978729536
2014,05,Östergötlands län,M,64877,291484,0.22257482400406198
2014,05,Östergötlands län,MP,19218,291484,0.06593157771953177
2014,05,Östergötlands län,REST,9461,291484,0.03245804229391665
2014,05,Östergötlands län,S,94909,291484,0.3256062082309835
2014,05,Östergötlands län,SD,41953,291484,0.14392899781806207
2014,05,Östergötlands län,V,14011,291484,0.04806781847374127
2014,06,Jönköpings län,C,17800,224596,0.07925341502074837
2014,06,Jönköpings län,KD,23322,224596,0.1038397834333648
2014,06,Jönköpings län,L,8090,224596,0.03602023188302552
2014,06,Jönköpings län,M,45594,224596,0.20300450586831467
2014,06,Jönköpings län,MP,12095,224596,0.053852250262693906
2014,06,Jönköpings län,REST,4708,224596,0.020962083029083332
2014,06,Jönköpings län,S,71487,224596,0.3182915100892269
2014,06,Jönköpings län,SD,32815,224596,0.14610678729808188
2014,06,Jönköpings län,V,8685,224596,0.03866943311546065
2014,07,Kronobergs län,C,10988,120775,0.09097909335541296
2014,07,Kronobergs län,KD,5983,120775,0.0495383978472366
2014,07,Kronobergs län,L,4109,120775,0.03402194162699234
2014,07,Kronobergs län,M,26453,120775,0.21902711653901882
2014,07,Kronobergs län,MP,6559,120775,0.05430759677085489
2014,07,Kronobergs län,REST,3225,120775,0.026702546056717034
2014,07,Kronobergs län,S,39179,120775,0.32439660525771064
2014,07,Kronobergs län,SD,18820,120775,0.155826950941834
2014,07,Kronobergs län,V,5459,120775,0.04519975160422273
2014,08,Kalmar län,C,13867,158822,0.08731158151893315
2014,08,Kalmar län,KD,7448,158822,0.046895266398861615
2014,08,Kalmar län,L,5611,158822,0.03532885872234325
2014,08,Kalmar län,M,32313,158822,0.20345418141063581
2014,08,Kalmar län,MP,7435,158822,0.04681341375879916
2014,08,Kalmar län,REST,4283,158822,0.026967296722116584
2014,08,Kalmar län,S,56370,158822,0.35492564002468174
2014,08,Kalmar län,SD,24260,158822,0.15274961907040585
2014,08,Kalmar län,V,7235,158822,0.045554142373222854
2014,09,Gotlands län,C,5317,39655,0.13408145252805448
2014,09,Gotlands län,KD,1095,39655,0.02761316353549363
2014,09,Gotlands län,L,1494,39655,0.03767494641281049
2014,09,Gotlands län,M,8450,39655,0.21308788299079562
2014,09,Gotlands län,MP,2859,39655,0.07209683520363132
2014,09,Gotlands län,REST,2099,39655,0.05293153448493254
2014,09,Gotlands län,S,12774,39655,0.3221283570798134
2014,09,Gotlands län,SD,3259,39655,0.08218383558189384
2014,09,Gotlands län,V,2308,39655,0.058201992182574706
2014,10,Blekinge län,C,5792,102225,0.05665932990951333
2014,10,Blekinge län,KD,3483,102225,0.034071900220102716
2014,10,Blekinge län,L,3984,102225,0.03897285399853265
2014,10,Blekinge län,M,19824,102225,0.19392516507703594
2014,10,Blekinge län,MP,4969,102225,0.048608461726583514
2014,10,Blekinge län,REST,2486,102225,0.024318904377598434
2014,10,Blekinge län,S,37981,102225,0.3715431645879188
2014,10,Blekinge län,SD,18960,102225,0.1854732208363903
2014,10,Blekinge län,V,4746,102225,0.046426999266324286
2014,11,Malmö kommun,C,4850,179103,0.02707939007163476
2014,11,Malmö kommun,KD,4620,179103,0.025795212810505688
2014,11,Malmö kommun,L,10000,179103,0.05583379396213352
2014,11,Malmö kommun,M,41510,179103,0.23176607873681623
2014,11,Malmö kommun,MP,15367,179103,0.08579979118161059
2014,11,Malmö kommun,REST,12527,179103,0.06994299369636466
2014,11,Malmö kommun,S,52460,179103,0.29290408312535243
2014,11,Malmö kommun,SD,24171,179103,0.13495586338587293
2014,11,Malmö kommun,V,13598,179103,0.07592279302970917
2014,12,Skåne läns västra,C,8380,182009,0.04604167925761913
2014,12,Skåne läns västra,KD,5860,182009,0.032196210077523636
2014,12,Skåne läns västra,L,9470,182009,0.05203039410139059
2014,12,Skåne läns västra,M,44558,182009,0.2448120697328154
2014,12,Skåne läns västra,MP,11032,182009,0.06061238729952914
2014,12,Skåne läns västra,REST,5382,182009,0.029569966320346797
2014,12,Skåne läns västra,S,55185,182009,0.30319929234268633
2014,12,Skåne läns västra,SD,35180,182009,0.19328714514117434
2014,12,Skåne läns västra,V,6962,182009,0.038250855726914605
2014,13,Skåne läns södra,C,12795,239845,0.05334695324063458
2014,13,Skåne läns södra,KD,8379,239845,0.03493506222768872
2014,13,Skåne läns södra,L,16819,239845,0.07012445537743126
2014,13,Skåne läns södra,M,67671,239845,0.282144718464008
2014,13,Skåne läns södra,MP,17391,239845,0.07250932894160812
2014,13,Skåne läns södra,REST,9458,239845,0.03943380099647689
2014,13,Skåne läns södra,S,59020,239845,0.2460755904855219
2014,13,Skåne läns södra,SD,39734,239845,0.16566532552273344
2014,13,Skåne läns södra,V,8578,239845,0.0357647647438971
2014,14,Skåne läns norra och östra,C,11815,196700,0.060066090493136756
2014,14,Skåne läns norra och östra,KD,8131,196700,0.041337061514997456
2014,14,Skåne läns norra och östra,L,8887,196700,0.04518047788510422
2014,14,Skåne läns norra och östra,M,43518,196700,0.22124046771733605
2014,14,Skåne läns norra och östra,MP,10809,196700,0.05495170310116929
2014,14,Skåne läns norra och östra,REST,4935,196700,0.02508896797153025
2014,14,Skåne läns norra och östra,S,58940,196700,0.299644128113879
2014,14,Skåne läns norra och östra,SD,43582,196700,0.2215658362989324
2014,14,Skåne läns norra och östra,V,6083,196700,0.030925266903914592
2014,15,Hallands län,C,17367,206559,0.08407767272304766
2014,15,Hallands län,KD,8988,206559,0.0435129914455434
2014,15,Hallands län,L,11807,206559,0.05716042389825667
2014,15,Hallands län,M,57261,206559,0.277213774272726
2014,15,Hallands län,MP,12184,206559,0.0589855682879952
2014,15,Hallands län,REST,6050,206559,0.02928945240827076
2014,15,Hallands län,S,58562,206559,0.2835122168484549
2014,15,Hallands län,SD,26555,206559,0.12855891052919505
2014,15,Hallands län,V,7785,206559,0.037688989586510395
2014,16,Göteborgs kommun,C,12696,334294,0.037978545830915304
2014,16,Göteborgs kommun,KD,15389,334294,0.04603432906363859
2014,16,Göteborgs kommun,L,24136,334294,0.07219991983104693
2014,16,Göteborgs kommun,M,79768,334294,0.23861630780091775
2014,16,Göteborgs kommun,MP,32868,334294,0.09832063991576277
2014,16,Göteborgs kommun,REST,26758,334294,0.08004331516569248
2014,16,Göteborgs kommun,S,79167,334294,0.23681848911437237
2014,16,Göteborgs kommun,SD,32240,334294,0.09644205400037092
2014,16,Göteborgs kommun,V,31272,334294,0.09354639927728287
2014,17,Västra Götalands läns västra,C,14091,234945,0.059975739002745325
2014,17,Västra Götalands läns västra,KD,13486,234945,0.05740066824150333
2014,17,Västra Götalands läns västra,L,16134,234945,0.06867139117665837
2014,17,Västra Götalands läns västra,M,60129,234945,0.2559279831449914
2014,17,Västra Götalands läns västra,MP,15971,234945,0.06797761178148078
2014,17,Västra Götalands läns västra,REST,8049,234945,0.0342590819127881
2014,17,Västra Götalands läns västra,S,63552,234945,0.27049735044372086
2014,17,Västra Götalands läns västra,SD,31401,234945,0.13365255698142117
2014,17,Västra Götalands läns västra,V,12132,234945,0.05163761731469067
2014,18,Västra Götalands läns norra,C,12335,179053,0.06889021686316342
2014,18,Västra Götalands läns norra,KD,9099,179053,0.05081735575499992
2014,18,Västra Götalands läns norra,L,9472,179053,0.052900537829581186
2014,18,Västra Götalands läns norra,M,35979,179053,0.20094050364975732
2014,18,Västra Götalands läns norra,MP,11219,179053,0.06265742545503286
2014,18,Västra Götalands läns norra,REST,5738,179053,0.03204637732961749
2014,18,Västra Götalands läns norra,S,58289,179053,0.3255404824269909
2014,18,Västra Götalands läns norra,SD,27027,179053,0.15094413385980687
2014,18,Västra Götalands läns norra,V,9895,179053,0.055262966831050024
2014,19,Västra Götalands läns södra,C,9423,124892,0.07544918809851713
2014,19,Västra Götalands läns södra,KD,6376,124892,0.051052109022195175
2014,19,Västra Götalands läns södra,L,6145,124892,0.04920251096947763
2014,19,Västra Götalands läns södra,M,27795,124892,0.22255228517439068
2014,19,Västra Götalands läns södra,MP,7534,124892,0.06032412003971431
2014,19,Västra Götalands läns södra,REST,3535,124892,0.028304455049162475
2014,19,Västra Götalands läns södra,S,38791,124892,0.3105963552509368
2014,19,Västra Götalands läns södra,SD,18773,124892,0.15031387118470357
2014,19,Västra Götalands läns södra,V,6520,124892,0.05220510521090222
2014,20,Västra Götalands läns östra,C,14295,174445,0.08194559889936656
2014,20,Västra Götalands läns östra,KD,8919,174445,0.05112786265011895
2014,20,Västra Götalands läns östra,L,7392,174445,0.04237438734271547
2014,20,Västra Götalands läns östra,M,36579,174445,0.20968786723609162
2014,20,Västra Götalands läns östra,MP,8707,174445,0.04991257989624237
2014,20,Västra Götalands läns östra,REST,4506,174445,0.025830490985697497
2014,20,Västra Götalands läns östra,S,60424,174445,0.346378514718106
2014,20,Västra Götalands läns östra,SD,25765,174445,0.14769698185674568
2014,20,Västra Götalands läns östra,V,7858,174445,0.04504571641491588
2014,21,Värmlands län,C,13521,182077,0.07425979118724496
2014,21,Värmlands län,KD,7263,182077,0.03988971698786777
2014,21,Värmlands län,L,7531,182077,0.04136162173146526
2014,21,Värmlands län,M,35687,182077,0.19599949471926711
2014,21,Värmlands län,MP,9398,182077,0.05161552529973583
2014,21,Värmlands län,REST,5009,182077,0.027510339032387397
2014,21,Värmlands län,S,71173,182077,0.39089506088083614
2014,21,Värmlands län,SD,22978,182077,0.1261993552178474
2014,21,Värmlands län,V,9517,182077,0.052269094943348145
2014,22,Örebro län,C,10546,188704,0.05588646769543836
2014,22,Örebro län,KD,9771,188704,0.05177950652874343
2014,22,Örebro län,L,8053,188704,0.04267530100050873
2014,22,Örebro län,M,35070,188704,0.1858466169238596
2014,22,Örebro län,MP,12013,188704,0.06366054773613702
2014,22,Örebro län,REST,6338,188704,0.033586993386467694
2014,22,Örebro län,S,69604,188704,0.36885280651178565
2014,22,Örebro län,SD,27126,188704,0.14374894013905376
2014,22,Örebro län,V,10183,188704,0.05396282007800576
2014,23,Västmanlands län,C,8719,166939,0.052228658372219794
2014,23,Västmanlands län,KD,6496,166939,0.038912417110441536
2014,23,Västmanlands län,L,8756,166939,0.052450296215983086
2014,23,Västmanlands län,M,35697,166939,0.21383259753562678
2014,23,Västmanlands län,MP,8549,166939,0.05121032233330738
2014,23,Västmanlands län,REST,5007,166939,0.029992991451967484
2014,23,Västmanlands län,S,59936,166939,0.3590293460485567
2014,23,Västmanlands län,SD,24728,166939,0.14812596217780147
2014,23,Västmanlands län,V,9051,166939,0.05421740875409581
2014,24,Dalarnas län,C,14371,184911,0.07771846996663259
