model,party,is_parliamentary,MAE,CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,avg_percentile
point_persistence,M,True,0.86885,0.8688530000000001,0.0,0.0,0.0,0.0,0.0,0.0,100.0
point_persistence,L,True,0.2009,0.20091599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
point_persistence,C,True,0.15325,0.1532365,0.0,0.0,0.0,0.0,0.0,0.0,50.0
point_persistence,KD,True,0.5428,0.542783,0.0,0.0,0.0,0.0,0.0,0.0,50.0
point_persistence,S,True,0.89325,0.893219,0.0,0.0,0.0,0.0,0.0,0.0,100.0
point_persistence,V,True,0.8742,0.8742045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
point_persistence,MP,True,0.3516,0.35163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
point_persistence,SD,True,0.70105,0.7010850000000001,0.0,0.0,0.0,0.0,0.0,0.0,50.0
point_persistence,REST,False,0.45845,0.458459,0.0,0.0,0.0,0.0,0.0,0.0,50.0
dynamics_only,M,True,0.8711,0.7644725,0.0,0.0,0.0,0.24574999999999997,0.4446,0.68235,100.0
dynamics_only,L,True,0.2005,0.159614,0.0,0.0,0.5,0.06145,0.25465,0.29410000000000003,5.25
dynamics_only,C,True,0.1542,0.136152,0.5,0.5,0.5,0.10135,0.2359,0.2822,33.75
dynamics_only,KD,True,0.5426,0.4902065,0.0,0.0,0.0,0.0477,0.31620000000000004,0.34375,51.25
dynamics_only,S,True,0.90525,0.8352545,0.0,0.5,0.5,0.25025,0.4869,0.6991,89.5
dynamics_only,V,True,0.8741,0.825966,0.0,0.0,0.0,0.1459,0.24615,0.30210000000000004,0.0
dynamics_only,MP,True,0.3505,0.3087315,0.0,0.5,0.5,0.0832,0.2333,0.267,7.25
dynamics_only,SD,True,0.70575,0.594674,0.0,0.0,0.0,0.23504999999999998,0.51875,0.7231,48.25
dynamics_only,REST,False,0.4585,0.4114275,0.0,0.0,0.0,0.13465,0.2249,0.31115000000000004,50.0
state_plus_dynamics,M,True,0.8901,0.6826289999999999,0.0,0.0,0.0,0.4903,1.00285,1.29325,98.25
state_plus_dynamics,L,True,0.198,0.128963,0.5,0.5,1.0,0.32435,0.5655,0.70225,20.0
state_plus_dynamics,C,True,0.1765,0.130405,0.5,1.0,1.0,0.36225,0.6851,0.8981999999999999,32.5
state_plus_dynamics,KD,True,0.5153,0.3974885,0.0,0.5,0.5,0.3533,0.67445,0.8502000000000001,56.25
state_plus_dynamics,S,True,0.90505,0.7526649999999999,0.5,0.5,0.5,0.6749,1.2681,1.6294,81.0
state_plus_dynamics,V,True,0.8803,0.7250255,0.0,0.0,0.0,0.35795,0.6448,0.8524,0.0
state_plus_dynamics,MP,True,0.32575,0.252479,0.5,0.5,0.5,0.31575,0.62765,0.81765,16.25
state_plus_dynamics,SD,True,0.6823,0.481707,0.0,0.5,0.5,0.577,1.09795,1.40795,42.75
state_plus_dynamics,REST,False,0.45205,0.35471800000000003,0.0,0.5,0.5,0.3216,0.6066,0.8169500000000001,38.25
