election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,samples_count,eligible_transition_count
2018-09-09,2018,2018-09-02,7,point_persistence,M,True,19.8356,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,100.0,1.0356,1.035611,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,L,True,5.4896,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,0.1104,0.110405,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,C,True,8.6077,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.0,0.2923,0.292255,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,KD,True,6.3223,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,100.0,0.8223,0.8223,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,S,True,28.261,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,100.0,1.661,1.660981,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,V,True,8.0049,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.0,0.8951,0.895121,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,MP,True,4.4143,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.5857,0.585747,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,SD,True,17.534,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0,0.966,0.96603,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,point_persistence,REST,False,1.5307,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.0,0.6693,0.669334,False,False,False,0.0,0.0,0.0,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,M,True,19.8356,18.7883,18.3394,18.5473,18.6502,18.7982,18.9316,19.0397,19.1449,100.0,1.0374,0.921494,False,False,False,0.2815,0.4924,0.8055,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,L,True,5.4896,5.6003,5.488,5.4906,5.591,5.5984,5.6054,5.7125,5.7201,9.0,0.1088,0.070857,False,False,True,0.0145,0.222,0.2321,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,C,True,8.6077,8.92,8.7535,8.7683,8.8913,8.9037,9.0038,9.0374,9.0519,0.5,0.2959,0.255676,False,False,False,0.1125,0.2691,0.2984,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,KD,True,6.3223,5.4894,5.3291,5.3412,5.4945,5.4996,5.5029,5.6608,5.6702,100.0,0.8227,0.776099,False,False,False,0.0084,0.3196,0.3411,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,S,True,28.261,26.5918,26.3172,26.3882,26.4882,26.5983,26.6947,26.7979,26.8853,100.0,1.6627,1.577975,False,False,False,0.2065,0.4097,0.568,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,V,True,8.0049,8.9069,8.7603,8.7672,8.8188,8.9,9.0069,9.0332,9.0587,0.0,0.8951,0.843474,False,False,False,0.1882,0.266,0.2983,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,MP,True,4.4143,4.9909,4.8816,4.8906,4.9269,4.998,5.0042,5.1013,5.123,0.0,0.5838,0.535268,False,False,False,0.0774,0.2107,0.2414,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,SD,True,17.534,18.5042,18.1549,18.2689,18.392,18.5005,18.6209,18.7701,18.8326,0.0,0.9665,0.861365,False,False,False,0.2289,0.5012,0.6776,200,1442
2018-09-09,2018,2018-09-02,7,dynamics_only,REST,False,1.5307,2.2083,2.0599,2.1168,2.1303,2.1998,2.2732,2.3499,2.3656,0.0,0.6692,0.626232,False,False,False,0.1429,0.2331,0.3057,200,1442
2018-09-09,2018,2018-09-02,7,state_plus_dynamics,M,True,19.8356,18.7587,18.0898,18.2195,18.4933,18.7632,19.0049,19.2682,19.4632,100.0,1.0725,0.844816,False,False,False,0.5116,1.0487,1.3734,200,1442
2018-09-09,2018,2018-09-02,7,state_plus_dynamics,L,True,5.4896,5.5931,5.2842,5.3365,5.4536,5.6022,5.7376,5.8664,5.9098,32.0,0.1126,0.067307,True,True,True,0.284,0.5299,0.6256,200,1442
2018-09-09,2018,2018-09-02,7,state_plus_dynamics,C,True,8.6077,8.9616,8.4579,8.582,8.7545,8.9426,9.1752,9.3895,9.5414,13.0,0.3349,0.207474,False,True,True,0.4208,0.8075,1.0836,200,1442
2018-09-09,2018,2018-09-02,7,state_plus_dynamics,KD,True,6.3223,5.5244,5.0797,5.1679,5.3219,5.5225,5.6881,5.8919,5.9927,100.0,0.7998,0.635551,False,False,False,0.3662,0.724,0.913,200,1442
