election_year,constituency_code,constituency_name,party,party_source_name,votes,constituency_valid_votes
2018,01,Stockholms kommun,C,Centerpartiet,55428,611206
2018,01,Stockholms kommun,KD,Kristdemokraterna,29776,611206
2018,01,Stockholms kommun,L,Liberalerna (tidigare Folkpartiet),47988,611206
2018,01,Stockholms kommun,M,Moderaterna,133731,611206
2018,01,Stockholms kommun,MP,Miljöpartiet de gröna,47044,611206
2018,01,Stockholms kommun,OTHER,Övriga anmälda partier,11642,611206
2018,01,Stockholms kommun,S,Arbetarepartiet-Socialdemokraterna,145245,611206
2018,01,Stockholms kommun,SD,Sverigedemokraterna,60135,611206
2018,01,Stockholms kommun,V,Vänsterpartiet,80217,611206
2018,02,Stockholms län,C,Centerpartiet,69786,815031
2018,02,Stockholms län,KD,Kristdemokraterna,56884,815031
2018,02,Stockholms län,L,Liberalerna (tidigare Folkpartiet),56525,815031
2018,02,Stockholms län,M,Moderaterna,212009,815031
2018,02,Stockholms län,MP,Miljöpartiet de gröna,39042,815031
2018,02,Stockholms län,OTHER,Övriga anmälda partier,12169,815031
2018,02,Stockholms län,S,Arbetarepartiet-Socialdemokraterna,187924,815031
2018,02,Stockholms län,SD,Sverigedemokraterna,124226,815031
2018,02,Stockholms län,V,Vänsterpartiet,56466,815031
2018,03,Uppsala län,C,Centerpartiet,22246,241489
2018,03,Uppsala län,KD,Kristdemokraterna,16661,241489
2018,03,Uppsala län,L,Liberalerna (tidigare Folkpartiet),15071,241489
2018,03,Uppsala län,M,Moderaterna,45790,241489
2018,03,Uppsala län,MP,Miljöpartiet de gröna,13404,241489
2018,03,Uppsala län,OTHER,Övriga anmälda partier,4750,241489
2018,03,Uppsala län,S,Arbetarepartiet-Socialdemokraterna,65168,241489
2018,03,Uppsala län,SD,Sverigedemokraterna,37297,241489
2018,03,Uppsala län,V,Vänsterpartiet,21102,241489
2018,04,Södermanlands län,C,Centerpartiet,13577,183449
2018,04,Södermanlands län,KD,Kristdemokraterna,10089,183449
2018,04,Södermanlands län,L,Liberalerna (tidigare Folkpartiet),7958,183449
2018,04,Södermanlands län,M,Moderaterna,37401,183449
2018,04,Södermanlands län,MP,Miljöpartiet de gröna,6773,183449
2018,04,Södermanlands län,OTHER,Övriga anmälda partier,2427,183449
2018,04,Södermanlands län,S,Arbetarepartiet-Socialdemokraterna,57612,183449
2018,04,Södermanlands län,SD,Sverigedemokraterna,35450,183449
2018,04,Södermanlands län,V,Vänsterpartiet,12162,183449
2018,05,Östergötlands län,C,Centerpartiet,25162,300778
2018,05,Östergötlands län,KD,Kristdemokraterna,20065,300778
2018,05,Östergötlands län,L,Liberalerna (tidigare Folkpartiet),16082,300778
2018,05,Östergötlands län,M,Moderaterna,61354,300778
2018,05,Östergötlands län,MP,Miljöpartiet de gröna,12595,300778
2018,05,Östergötlands län,OTHER,Övriga anmälda partier,4701,300778
2018,05,Östergötlands län,S,Arbetarepartiet-Socialdemokraterna,87450,300778
2018,05,Östergötlands län,SD,Sverigedemokraterna,53017,300778
2018,05,Östergötlands län,V,Vänsterpartiet,20352,300778
2018,06,Jönköpings län,C,Centerpartiet,23084,229580
2018,06,Jönköpings län,KD,Kristdemokraterna,27437,229580
2018,06,Jönköpings län,L,Liberalerna (tidigare Folkpartiet),9096,229580
2018,06,Jönköpings län,M,Moderaterna,40542,229580
2018,06,Jönköpings län,MP,Miljöpartiet de gröna,7401,229580
2018,06,Jönköpings län,OTHER,Övriga anmälda partier,2739,229580
2018,06,Jönköpings län,S,Arbetarepartiet-Socialdemokraterna,63782,229580
2018,06,Jönköpings län,SD,Sverigedemokraterna,44216,229580
2018,06,Jönköpings län,V,Vänsterpartiet,11283,229580
2018,07,Kronobergs län,C,Centerpartiet,11712,124570
2018,07,Kronobergs län,KD,Kristdemokraterna,9418,124570
2018,07,Kronobergs län,L,Liberalerna (tidigare Folkpartiet),4383,124570
2018,07,Kronobergs län,M,Moderaterna,23893,124570
2018,07,Kronobergs län,MP,Miljöpartiet de gröna,4020,124570
2018,07,Kronobergs län,OTHER,Övriga anmälda partier,1538,124570
2018,07,Kronobergs län,S,Arbetarepartiet-Socialdemokraterna,36817,124570
2018,07,Kronobergs län,SD,Sverigedemokraterna,25258,124570
2018,07,Kronobergs län,V,Vänsterpartiet,7531,124570
2018,08,Kalmar län,C,Centerpartiet,15774,160864
2018,08,Kalmar län,KD,Kristdemokraterna,11583,160864
2018,08,Kalmar län,L,Liberalerna (tidigare Folkpartiet),6038,160864
2018,08,Kalmar län,M,Moderaterna,27733,160864
