origin_date,horizon_days,target_date,calendar_block_6m,es_arm_a_rc1,es_arm_b_equal,es_arm_c_precision,es_sens_c25,rel_es_improvement_precision,rel_es_improvement_equal,crps_arm_a_rc1,crps_arm_b_equal,crps_arm_c_precision,crps_sens_c25,rel_crps_improvement_precision,crps_rest_rc1,crps_rest_precision,n_eff_rc1,n_eff_precision
2014-09-17,7,2014-09-24,2014_H2,0.46365933687554184,0.46365933687554184,0.46365933687554184,0.46365933687554184,0.0,0.0,0.12947909675657893,0.12947909675657893,0.12947909675657893,0.12947909675657893,0.0,0.013667387257630809,0.013667387257630809,8.0,8.0
2014-09-17,14,2014-10-01,2014_H2,0.7253514326750788,0.7253514326750788,0.7253514326750788,0.7253514326750788,0.0,0.0,0.1967294696042445,0.1967294696042445,0.1967294696042445,0.1967294696042445,0.0,0.1683855993554024,0.1683855993554024,8.0,8.0
2014-09-17,28,2014-10-15,2014_H2,0.9719586359655035,0.9719586359655035,0.9719586359655035,0.9719586359655035,0.0,0.0,0.28010288746946466,0.28010288746946466,0.28010288746946466,0.28010288746946466,0.0,0.01255655857727694,0.01255655857727694,8.0,8.0
2014-09-17,56,2014-11-12,2014_H2,2.0058923960468222,2.0058923960468222,2.0058923960468222,2.0058923960468222,0.0,0.0,0.5922264494081021,0.5922264494081021,0.5922264494081021,0.5922264494081021,0.0,0.3676658550757407,0.3676658550757407,8.0,8.0
2014-09-17,84,2014-12-10,2014_H2,2.677813456558609,2.677813456558609,2.677813456558609,2.677813456558609,0.0,0.0,0.7890390243131598,0.7890390243131598,0.7890390243131598,0.7890390243131598,0.0,0.6655575725934627,0.6655575725934627,8.0,8.0
2014-09-17,112,2015-01-07,2014_H2,3.0476659510191904,3.0476659510191904,3.0476659510191904,3.0476659510191904,0.0,0.0,0.8523005954559355,0.8523005954559355,0.8523005954559355,0.8523005954559355,0.0,0.8658000389954028,0.8658000389954028,8.0,8.0
2014-09-24,7,2014-10-01,2014_H2,0.47780641042725813,0.47780641042725813,0.47780641042725813,0.47780641042725813,0.0,0.0,0.12190274565607592,0.12190274565607592,0.12190274565607592,0.12190274565607592,0.0,0.12540999354555876,0.12540999354555876,8.0,8.0
2014-09-24,14,2014-10-08,2014_H2,0.6238354961396351,0.6238354961396351,0.6238354961396351,0.6238354961396351,0.0,0.0,0.1628504500983757,0.1628504500983757,0.1628504500983757,0.1628504500983757,0.0,0.16527774860922506,0.16527774860922506,8.0,8.0
2014-09-24,28,2014-10-22,2014_H2,0.8750547744392365,0.8750547744392365,0.8750547744392365,0.8750547744392365,0.0,0.0,0.23544648577964358,0.23544648577964358,0.23544648577964358,0.23544648577964358,0.0,0.16806367294305816,0.16806367294305816,8.0,8.0
2014-09-24,56,2014-11-19,2014_H2,1.7130832913606406,1.7130832913606406,1.7130832913606406,1.7130832913606406,0.0,0.0,0.48838653879393534,0.48838653879393534,0.48838653879393534,0.48838653879393534,0.0,0.4715912915230507,0.4715912915230507,8.0,8.0
