poll_id,pollster,pollster_original,interview_start,interview_end,publication_date,party,support,source_value,support_status,sample_size,poll_method,source_url,retrieved_at,metadata_source_url,metadata_retrieved_at,metadata_match_status,metadata_row_source_references_json
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,M,27.1,27.1,reported,,,http://pollofpolls.se/poll_img/data_big_2.csv,2026-08-27T20:52:48+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,L,6.9,6.9,reported,,,http://pollofpolls.se/poll_img/data_big_3.csv,2026-08-27T20:52:49+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,C,6.3,6.3,reported,,,http://pollofpolls.se/poll_img/data_big_4.csv,2026-08-27T20:52:50+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,KD,4.3,4.3,reported,,,http://pollofpolls.se/poll_img/data_big_5.csv,2026-08-27T20:52:51+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,S,36.4,36.4,reported,,,http://pollofpolls.se/poll_img/data_big_6.csv,2026-08-27T20:52:52+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,V,6.2,6.2,reported,,,http://pollofpolls.se/poll_img/data_big_7.csv,2026-08-27T20:52:53+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,MP,7.3,7.3,reported,,,http://pollofpolls.se/poll_img/data_big_8.csv,2026-08-27T20:52:54+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,SD,3.4,3.4,reported,,,http://pollofpolls.se/poll_img/data_big_9.csv,2026-08-27T20:52:55+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,FI,,,unreported,,,http://pollofpolls.se/poll_img/data_big_10.csv,2026-08-27T20:52:56+00:00,,,no_match,[]
pop-d81b2ca9f5f71cb2f656,Skop,Skop,2009-01-02,2009-01-07,,other,,,unreported,,,http://pollofpolls.se/,2026-08-28T21:06:02+00:00,,,no_match,[]
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,M,31.5,31.5,reported,1009,,http://pollofpolls.se/poll_img/data_big_2.csv,2026-08-27T20:52:48+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,L,6.1,6.1,reported,1009,,http://pollofpolls.se/poll_img/data_big_3.csv,2026-08-27T20:52:49+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,C,5.2,5.2,reported,1009,,http://pollofpolls.se/poll_img/data_big_4.csv,2026-08-27T20:52:50+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,KD,2.5,2.5,reported,1009,,http://pollofpolls.se/poll_img/data_big_5.csv,2026-08-27T20:52:51+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,S,38.1,38.1,reported,1009,,http://pollofpolls.se/poll_img/data_big_6.csv,2026-08-27T20:52:52+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,V,6.8,6.8,reported,1009,,http://pollofpolls.se/poll_img/data_big_7.csv,2026-08-27T20:52:53+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,MP,6.6,6.6,reported,1009,,http://pollofpolls.se/poll_img/data_big_8.csv,2026-08-27T20:52:54+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,SD,2.5,2.5,reported,1009,,http://pollofpolls.se/poll_img/data_big_9.csv,2026-08-27T20:52:55+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
pop-97f20f3aa23cb731f7c5,Demoskop,Demoskop,2009-01-02,2009-01-08,2009-01-11,FI,,,unreported,1009,,http://pollofpolls.se/poll_img/data_big_10.csv,2026-08-27T20:52:56+00:00,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,2026-08-27T20:52:57+00:00,exact_span_match,"[""Data from Demoskop""]"
