origin_date,horizon_days,target_date,calendar_block_6m,calendar_block_12m,pool_size,es_arm_a_v2,crps_arm_a_v2,es_arm_b_recent,crps_arm_b_recent,es_arm_c_50nn,crps_arm_c_50nn,es_arm_d_raw,crps_arm_d_raw,es_arm_c_25nn,crps_arm_c_25nn,es_arm_c_100nn,crps_arm_c_100nn,diff_es_v2_minus_50nn,diff_es_recent_minus_50nn,diff_es_50nn_minus_raw,diff_crps_v2_minus_50nn,diff_crps_recent_minus_50nn
2014-11-12,7,2014-11-19,2014-H2,2014,52,0.34236,0.08925,0.34599,0.09062,0.34401,0.09019,0.37062,0.0896,0.34157,0.09085,0.34674,0.09049,-0.00165,0.00199,-0.02661,-0.00094,0.00043
2014-11-19,7,2014-11-26,2014-H2,2014,59,0.37028,0.09242,0.36101,0.09154,0.35656,0.09009,0.31836,0.07688,0.3414,0.08519,0.36822,0.09201,0.01371,0.00445,0.0382,0.00233,0.00145
2014-11-19,14,2014-12-03,2014-H2,2014,52,0.75651,0.19367,0.75889,0.19446,0.76762,0.19637,0.88635,0.23035,0.74705,0.1935,0.76055,0.19278,-0.01112,-0.00873,-0.11872,-0.0027,-0.0019
2014-11-26,7,2014-12-03,2014-H2,2014,66,0.39836,0.10354,0.38271,0.10315,0.37339,0.10014,0.37673,0.10264,0.37326,0.10246,0.3949,0.10224,0.02497,0.00933,-0.00335,0.0034,0.00301
2014-11-26,14,2014-12-10,2014-H2,2014,59,0.63018,0.15756,0.62978,0.15894,0.64172,0.16205,0.71699,0.18179,0.61768,0.16098,0.62193,0.15447,-0.01154,-0.01193,-0.07528,-0.00449,-0.00311
2014-12-03,7,2014-12-10,2014-H2,2014,73,0.26436,0.065,0.25371,0.06481,0.25641,0.06448,0.22381,0.0554,0.2692,0.06988,0.26224,0.06509,0.00795,-0.0027,0.0326,0.00052,0.00033
2014-12-03,14,2014-12-17,2014-H2,2014,66,0.48735,0.11475,0.45668,0.11266,0.45305,0.11167,0.43957,0.104,0.43955,0.11156,0.47805,0.11226,0.03431,0.00363,0.01348,0.00308,0.00099
2014-12-03,28,2014-12-31,2014-H2,2014,52,1.21102,0.27206,1.25235,0.28205,1.22938,0.27741,1.59929,0.34262,1.19114,0.28477,1.22203,0.27601,-0.01837,0.02296,-0.3699,-0.00535,0.00464
2014-12-10,7,2014-12-17,2014-H2,2014,80,0.2425,0.05915,0.24244,0.0616,0.23464,0.06073,0.15469,0.0384,0.24664,0.06596,0.23714,0.05748,0.00786,0.00781,0.07995,-0.00158,0.00087
2014-12-10,14,2014-12-24,2014-H2,2014,73,0.56615,0.1356,0.54829,0.13841,0.5371,0.1372,0.39831,0.09611,0.53334,0.14169,0.5601,0.13558,0.02905,0.01119,0.13879,-0.0016,0.00121
2014-12-10,28,2015-01-07,2014-H2,2014,59,0.92803,0.217,0.91721,0.22021,0.92773,0.22212,1.16024,0.27619,0.96151,0.25058,0.92548,0.21631,0.00031,-0.01051,-0.23251,-0.00512,-0.00192
2014-12-17,7,2014-12-24,2014-H2,2014,87,0.32784,0.08243,0.30881,0.08318,0.31892,0.08563,0.21542,0.05519,0.30476,0.0838,0.33295,0.08486,0.00892,-0.01012,0.10351,-0.00319,-0.00245
2014-12-17,14,2014-12-31,2014-H2,2014,80,0.66836,0.15847,0.62954,0.15802,0.63778,0.15933,0.49235,0.11336,0.63232,0.16863,0.63886,0.15169,0.03058,-0.00824,0.14543,-0.00086,-0.00131
2014-12-17,28,2015-01-14,2014-H2,2014,66,0.86639,0.21547,0.89868,0.23461,0.89329,0.23279,1.19417,0.32244,0.97711,0.2784,0.8898,0.22107,-0.0269,0.00539,-0.30088,-0.01732,0.00181
2014-12-24,7,2014-12-31,2014-H2,2014,94,0.37613,0.09147,0.3824,0.09456,0.37418,0.0931,0.25564,0.06219,0.36897,0.09014,0.36677,0.08956,0.00195,0.00822,0.11854,-0.00162,0.00146
2014-12-24,14,2015-01-07,2014-H2,2014,87,0.42865,0.11777,0.47895,0.12822,0.47619,0.12725,0.5285,0.14495,0.50398,0.13447,0.40718,0.11168,-0.04754,0.00275,-0.05231,-0.00948,0.00097
2014-12-24,28,2015-01-21,2014-H2,2014,73,0.85768,0.23409,0.90096,0.24756,0.88704,0.2451,1.38899,0.39239,1.00301,0.27647,0.8434,0.23225,-0.02936,0.01392,-0.50194,-0.01101,0.00246
2014-12-31,7,2015-01-07,2014-H2,2014,101,0.2237,0.0632,0.2412,0.06707,0.23967,0.06707,0.46227,0.12455,0.25271,0.0731,0.21923,0.06208,-0.01597,0.00153,-0.2226,-0.00386,1e-05
2014-12-31,14,2015-01-14,2014-H2,2014,94,0.45905,0.12836,0.51579,0.14894,0.50716,0.14325,0.80851,0.22189,0.55405,0.15431,0.45645,0.12761,-0.04811,0.00862,-0.30135,-0.0149,0.00569
2014-12-31,28,2015-01-28,2014-H2,2014,80,0.76811,0.21401,0.82388,0.2351,0.81416,0.22793,1.58455,0.4465,0.9917,0.26303,0.76612,0.21403,-0.04605,0.00972,-0.77039,-0.01392,0.00716
2014-12-31,56,2015-02-25,2014-H2,2014,52,1.2151,0.34289,1.19635,0.33829,1.19579,0.33577,2.64411,0.79148,1.30136,0.3488,1.19725,0.33666,0.01932,0.00057,-1.44832,0.00712,0.00252
2015-01-07,7,2015-01-14,2015-H1,2015,108,0.34105,0.08533,0.3502,0.08995,0.34916,0.08923,0.42468,0.10387,0.35311,0.08472,0.33838,0.08483,-0.00811,0.00104,-0.07552,-0.0039,0.00072
2015-01-07,14,2015-01-21,2015-H1,2015,101,0.52519,0.14042,0.57724,0.15157,0.56754,0.14775,0.85419,0.23428,0.59155,0.14895,0.53137,0.14235,-0.04235,0.0097,-0.28665,-0.00733,0.00382
2015-01-07,28,2015-02-04,2015-H1,2015,87,0.70708,0.19373,0.80646,0.21487,0.76404,0.20252,1.43999,0.39473,0.89348,0.22282,0.70716,0.19501,-0.05696,0.04242,-0.67595,-0.00879,0.01234
2015-01-07,56,2015-03-04,2015-H1,2015,59,1.21758,0.3267,1.21715,0.32307,1.21906,0.32307,2.77486,0.79688,1.29117,0.32444,1.19505,0.32457,-0.00148,-0.00191,-1.5558,0.00363,0.0
2015-01-14,7,2015-01-21,2015-H1,2015,115,0.26107,0.07332,0.2644,0.06917,0.26245,0.06905,0.33804,0.09268,0.24822,0.06601,0.25873,0.07155,-0.00138,0.00195,-0.0756,0.00427,0.00012
2015-01-14,14,2015-01-28,2015-H1,2015,108,0.39746,0.11542,0.43052,0.11738,0.42516,0.11739,0.7312,0.206,0.41816,0.11549,0.3901,0.11263,-0.02769,0.00537,-0.30604,-0.00197,-1e-05
2015-01-14,28,2015-02-11,2015-H1,2015,94,0.65578,0.18552,0.7547,0.19628,0.67432,0.18876,1.34826,0.38757,0.76589,0.20297,0.64714,0.18238,-0.01854,0.08039,-0.67394,-0.00323,0.00752
2015-01-14,56,2015-03-11,2015-H1,2015,66,1.42354,0.3777,1.46889,0.37465,1.44034,0.37441,3.00813,0.83007,1.48045,0.37377,1.39779,0.37274,-0.0168,0.02855,-1.56779,0.00329,0.00024
2015-01-21,7,2015-01-28,2015-H1,2015,122,0.20119,0.0575,0.19294,0.05375,0.19238,0.05313,0.31777,0.0921,0.19727,0.05229,0.19129,0.05365,0.00881,0.00056,-0.12539,0.00437,0.00062
2015-01-21,14,2015-02-04,2015-H1,2015,115,0.28329,0.07952,0.31702,0.08689,0.29561,0.08139,0.52877,0.14945,0.29783,0.08256,0.28216,0.07795,-0.01232,0.02141,-0.23316,-0.00187,0.0055
2015-01-21,28,2015-02-18,2015-H1,2015,101,0.59227,0.16278,0.65818,0.17011,0.60236,0.16094,1.23848,0.34518,0.6226,0.16031,0.59994,0.16411,-0.01009,0.05583,-0.63613,0.00184,0.00917
