horizon_days,party,starting_bin,bin_low_pct,bin_high_pct,n_transitions,median_starting_share,median_signed_change_pp,mean_absolute_change_pp,variance_change,skewness_change,crossing_upward_prob,crossing_downward_prob
7,L,"[2.0, 3.0)",2.0,3.0,1104,2.6,0.0,0.051,0.0056,0.382,0.0,
7,KD,"[2.0, 3.0)",2.0,3.0,10,2.9,0.1,0.07,0.0021,-0.873,0.0,
7,L,"[3.0, 3.5)",3.0,3.5,913,3.3,0.0,0.034,0.0041,0.911,0.0,
7,KD,"[3.0, 3.5)",3.0,3.5,1225,3.3,0.0,0.037,0.0042,0.667,0.0,
7,MP,"[3.0, 3.5)",3.0,3.5,183,3.2,0.0,0.029,0.0032,0.735,0.0,
7,L,"[3.5, 4.0)",3.5,4.0,484,3.8,0.0,0.052,0.0067,0.763,0.0434,
7,KD,"[3.5, 4.0)",3.5,4.0,990,3.7,0.0,0.049,0.006,0.816,0.0283,
7,MP,"[3.5, 4.0)",3.5,4.0,410,3.8,0.0,0.058,0.0074,0.654,0.0902,
7,L,"[4.0, 4.5)",4.0,4.5,188,4.1,0.0,0.078,0.0119,1.317,,0.1489
7,KD,"[4.0, 4.5)",4.0,4.5,386,4.2,0.0,0.061,0.0113,1.29,,0.0725
7,MP,"[4.0, 4.5)",4.0,4.5,1422,4.2,0.0,0.042,0.0051,0.276,,0.026
7,C,"[4.0, 4.5)",4.0,4.5,347,4.3,0.0,0.046,0.005,0.326,,0.0
7,L,"[4.5, 5.0)",4.5,5.0,439,4.8,0.0,0.063,0.01,0.987,,0.0
7,KD,"[4.5, 5.0)",4.5,5.0,384,4.7,0.0,0.074,0.0131,1.546,,0.0
7,MP,"[4.5, 5.0)",4.5,5.0,681,4.6,0.0,0.064,0.0097,0.492,,0.0
7,C,"[4.5, 5.0)",4.5,5.0,468,4.7,0.0,0.06,0.0083,0.529,,0.0
7,L,"[5.0, 6.0)",5.0,6.0,1129,5.4,0.0,0.06,0.0073,-0.26,,0.0
