recipient_party,wave,survey_date,period,recipient_sympathy_pct,recipient_vote_pct,distance_from_4_pp,k4_proximity,top_donor_1_party,top_donor_1_affinity_pct,top_donor_1_vote_pct,top_donor_1_conversion_ratio,top_donor_2_party,top_donor_2_affinity_pct,top_donor_2_vote_pct,top_donor_2_conversion_ratio,top_donor_3_party,top_donor_3_affinity_pct,top_donor_3_vote_pct,top_donor_3_conversion_ratio,mean_conversion_ratio_top_donors
C,2010M11,2010-11-01,2010-11,5.4,6.0,1.4,0.3,KD,14.4,,,L,10.6,2.7,0.2547,M,10.6,1.0,0.0943,0.1745
C,2011M05,2011-05-01,2011-05,4.5,4.7,0.5,0.75,M,8.3,0.3,0.0361,L,7.6,,,KD,7.4,,,0.0361
C,2011M11,2011-11-01,2011-11,5.5,5.7,1.5,0.25,L,15.8,,,M,10.7,0.6,0.0561,KD,6.8,0.0,0.0,0.028
C,2012M05,2012-05-01,2012-05,4.9,5.0,0.9,0.55,L,13.6,,,KD,11.6,,,M,8.9,,,
C,2012M11,2012-11-01,2012-11,4.3,4.8,0.3,0.85,L,13.6,,,KD,10.8,0.0,0.0,M,7.5,0.7,0.0933,0.0466
C,2013M05,2013-05-01,2013-05,4.5,4.2,0.5,0.75,KD,11.3,,,L,11.0,,,M,5.8,0.5,0.0862,0.0862
C,2013M11,2013-11-01,2013-11,4.2,4.6,0.2,0.9,KD,17.1,0.0,0.0,L,12.4,2.4,0.1935,M,7.9,0.7,0.0886,0.094
C,2014M05,2014-05-01,2014-05,4.9,4.9,0.9,0.55,KD,8.8,0.0,0.0,L,8.7,1.7,0.1954,M,7.9,,,0.0977
C,2014M11,2014-11-01,2014-11,5.7,6.2,1.7,0.15,M,17.4,1.4,0.0805,KD,11.9,0.0,0.0,L,11.5,2.1,0.1826,0.0877
C,2015M05,2015-05-01,2015-05,5.7,6.5,1.7,0.15,M,18.9,1.7,0.0899,L,17.4,3.4,0.1954,KD,13.3,,,0.1426
C,2015M11,2015-11-01,2015-11,6.1,6.5,2.1,0.0,L,26.4,4.4,0.1667,KD,25.1,,,M,20.3,1.6,0.0788,0.1227
