model_name,model_category,n_obs,n_waves,n_pairs,r_squared,theta_affinity,theta_se,theta_ci_95,delta_threshold,delta_se,delta_ci_95,alpha_interaction,alpha_se,alpha_ci_95,prob_alpha_positive,notes
Primary: Partisympati + Linear K4 (OLS),PRIMARY,848,29,55,0.7604,0.09483,0.01078,"[0.0724, 0.1161]",0.29531,0.24504,"[-0.1382, 0.8306]",-0.05593,0.01481,"[-0.0851, -0.0267]",0.0005,Preregistered primary model with pair FE and wave FE.
Placebo: Partisympati + Linear K7 (OLS),PLACEBO,848,29,55,0.762,0.10383,0.01274,"[0.0776, 0.1282]",0.18762,0.21012,"[-0.2114, 0.6337]",-0.05405,0.01921,"[-0.0904, -0.0161]",0.002,Placebo test centered at 7.0% (away from 4% threshold).
Sensitivity: WLS Uncertainty-Weighted,SENSITIVITY,848,29,55,0.5174,0.03581,0.00573,"[0.0282, 0.0505]",0.05703,0.04897,"[-0.0216, 0.1696]",-0.01135,0.00577,"[-0.0253, -0.0031]",0.005,Weighted by inverse SCB margin-of-error variance (1/SE^2).
Sensitivity: Vid10 Overall Vote Intention,SENSITIVITY,848,29,55,0.7604,0.09626,0.0106,"[0.0747, 0.1174]",0.42852,0.24615,"[-0.0098, 0.9442]",-0.05798,0.01378,"[-0.0860, -0.0311]",0.0005,Uses Vid10 vote intention as threshold state variable.
Sensitivity: Lagged Affinity A(t-1),SENSITIVITY,793,28,55,0.7456,0.06287,0.01343,"[0.0357, 0.0882]",0.11329,0.36668,"[-0.5932, 0.8327]",-0.0658,0.01883,"[-0.1023, -0.0268]",0.0,Uses lagged second-choice affinity to reduce same-wave survey noise.
Sensitivity: Gaussian Kernel (sigma=1.0pp),SENSITIVITY,848,29,55,0.7609,0.09503,0.01092,"[0.0727, 0.1163]",0.2597,0.22798,"[-0.1437, 0.7524]",-0.05504,0.01364,"[-0.0826, -0.0278]",0.0,Gaussian proximity kernel sensitivity.
"Sensitivity: Step Danger Indicator [3.0%, 4.5%]",SENSITIVITY,848,29,55,0.7604,0.0961,0.01032,"[0.0750, 0.1160]",0.47606,0.20021,"[0.0853, 0.8786]",-0.05378,0.01027,"[-0.0747, -0.0345]",0.0005,Step indicator danger region sensitivity.
LOO Cycle: Exclude cycle_2010_2014,LOO_CYCLE,612,21,55,0.7704,0.09956,0.01248,"[0.0748, 0.1239]",0.13034,0.40398,"[-0.6637, 0.9891]",-0.05836,0.01679,"[-0.0941, -0.0269]",0.0,Primary model excluding election cycle cycle_2010_2014.
LOO Cycle: Exclude cycle_2014_2018,LOO_CYCLE,601,21,55,0.7807,0.09333,0.01264,"[0.0682, 0.1181]",0.37153,0.28411,"[-0.0958, 1.0058]",-0.06815,0.01648,"[-0.1017, -0.0367]",0.0,Primary model excluding election cycle cycle_2014_2018.
LOO Cycle: Exclude cycle_2018_2022,LOO_CYCLE,621,21,55,0.7705,0.10631,0.01429,"[0.0788, 0.1336]",0.33146,0.37436,"[-0.3661, 1.1218]",-0.04226,0.02512,"[-0.0859, 0.0137]",0.063,Primary model excluding election cycle cycle_2018_2022.
LOO Cycle: Exclude cycle_2022_2026,LOO_CYCLE,710,24,55,0.7589,0.08233,0.01069,"[0.0615, 0.1031]",0.11003,0.24586,"[-0.3243, 0.6219]",-0.04844,0.01677,"[-0.0787, -0.0112]",0.007,Primary model excluding election cycle cycle_2022_2026.
Descriptive Party: Recipient L,DESCRIPTIVE_PARTY,87,29,7,0.5839,0.00071,0.02081,"[-0.0481, 0.0341]",-0.43041,0.26505,"[-0.7712, 0.2338]",0.02168,0.02864,"[-0.0372, 0.0731]",0.7815,Descriptive sub-sample regression for recipient L only.
Descriptive Party: Recipient KD,DESCRIPTIVE_PARTY,90,29,7,0.8019,0.04861,0.02368,"[-0.0208, 0.0673]",-0.11705,0.32212,"[-0.8452, 0.3532]",-0.04225,0.0567,"[-0.1185, 0.0952]",0.3045,Descriptive sub-sample regression for recipient KD only.
Descriptive Party: Recipient MP,DESCRIPTIVE_PARTY,84,29,7,0.788,0.08781,0.03948,"[0.0037, 0.1612]",-0.10047,0.39133,"[-0.7871, 0.6778]",-0.01466,0.0376,"[-0.0763, 0.0689]",0.367,Descriptive sub-sample regression for recipient MP only.
Descriptive Party: Recipient C,DESCRIPTIVE_PARTY,110,29,7,0.8308,0.0475,0.02738,"[0.0000, 0.1040]",-0.95562,0.44392,"[-1.5595, 0.2129]",0.05725,0.07269,"[-0.1137, 0.1810]",0.782,Descriptive sub-sample regression for recipient C only.
