wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,TOT,tot18+,SD,SD,SD,parliamentary_party,5.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,c,C,C,parliamentary_party,5.4,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.8,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,l,L,L,parliamentary_party,6.9,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,m,M,M,parliamentary_party,32.2,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,mp,MP,MP,parliamentary_party,8.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,s,S,S,parliamentary_party,31.4,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,v,V,V,parliamentary_party,5.3,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2010M11,2010-11-01,2010-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.3,0.3,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,SD,SD,SD,parliamentary_party,4.8,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,c,C,C,parliamentary_party,4.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.3,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,l,L,L,parliamentary_party,6.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,m,M,M,parliamentary_party,31.5,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,mp,MP,MP,parliamentary_party,8.7,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,s,S,S,parliamentary_party,34.2,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,v,V,V,parliamentary_party,5.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2011M05,2011-05-01,2011-05,TOT,tot18+,övr,övriga,OTHER,other_party,1.3,0.3,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,SD,SD,SD,parliamentary_party,4.7,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,c,C,C,parliamentary_party,5.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.8,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,l,L,L,parliamentary_party,6.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,m,M,M,parliamentary_party,33.1,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,mp,MP,MP,parliamentary_party,10.4,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,s,S,S,parliamentary_party,29.8,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,v,V,V,parliamentary_party,5.1,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2011M11,2011-11-01,2011-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.3,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,SD,SD,SD,parliamentary_party,5.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,c,C,C,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,l,L,L,parliamentary_party,5.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,m,M,M,parliamentary_party,28.4,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,mp,MP,MP,parliamentary_party,8.2,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2012M05,2012-05-01,2012-05,TOT,tot18+,s,S,S,parliamentary_party,38.0,1.1,observed,ME/ME0201/ME0201B/Partisympati051
