wave,survey_date,period,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,6.3,0.5,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,6.0,0.4,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,4.3,0.3,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,6.8,0.4,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,32.6,0.8,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,mp,MP,MP,parliamentary_party,8.8,0.5,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,s,S,S,parliamentary_party,28.7,0.8,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,5.0,0.4,observed,ME/ME0201/ME0201A/Vid10
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,1.4,0.3,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,5.5,0.5,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,4.7,0.4,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,3.7,0.4,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,6.2,0.5,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,31.3,0.8,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,8.8,0.6,observed,ME/ME0201/ME0201A/Vid10
2011M05,2011-05-01,2011-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
