wave,survey_date,period,donor_party,donor_party_code_raw,recipient_party,recipient_party_code_raw,vote_estimate_pct,vote_margin_error_pp,vote_value_status,second_choice_estimate_pct,second_choice_margin_error_pp,second_choice_value_status,donor_overall_sympathy_pct,donor_overall_sympathy_margin_error_pp,donor_overall_sympathy_value_status,recipient_overall_sympathy_pct,recipient_overall_sympathy_margin_error_pp,recipient_overall_sympathy_value_status,recipient_overall_vote_pct,recipient_overall_vote_margin_error_pp,recipient_overall_vote_value_status
2010M11,2010-11-01,2010-11,C,c,C,c,85.3,4.3,observed,0.0,0.0,observed,5.4,0.5,observed,5.4,0.5,observed,6.0,0.4,observed
2010M11,2010-11-01,2010-11,C,c,KD,kd,,,suppressed,8.0,3.4,observed,5.4,0.5,observed,3.8,0.4,observed,4.3,0.3,observed
2010M11,2010-11-01,2010-11,C,c,L,l,,,suppressed,16.1,4.4,observed,5.4,0.5,observed,6.9,0.5,observed,6.8,0.4,observed
2010M11,2010-11-01,2010-11,C,c,M,m,6.2,3.0,observed,36.4,6.0,observed,5.4,0.5,observed,32.2,0.8,observed,32.6,0.8,observed
2010M11,2010-11-01,2010-11,C,c,MP,mp,,,suppressed,7.2,3.3,observed,5.4,0.5,observed,8.5,0.6,observed,8.8,0.5,observed
2010M11,2010-11-01,2010-11,C,c,S,s,,,suppressed,5.9,3.2,observed,5.4,0.5,observed,31.4,0.9,observed,28.7,0.8,observed
2010M11,2010-11-01,2010-11,C,c,SD,SD,,,suppressed,0.0,0.0,observed,5.4,0.5,observed,5.0,0.5,observed,6.3,0.5,observed
2010M11,2010-11-01,2010-11,C,c,V,v,0.0,0.0,observed,,,suppressed,5.4,0.5,observed,5.3,0.4,observed,5.0,0.4,observed
2010M11,2010-11-01,2010-11,KD,kd,C,c,,,suppressed,14.4,5.1,observed,3.8,0.4,observed,5.4,0.5,observed,6.0,0.4,observed
2010M11,2010-11-01,2010-11,KD,kd,KD,kd,87.8,4.8,observed,0.0,0.0,observed,3.8,0.4,observed,3.8,0.4,observed,4.3,0.3,observed
2010M11,2010-11-01,2010-11,KD,kd,L,l,0.0,0.0,observed,19.7,5.6,observed,3.8,0.4,observed,6.9,0.5,observed,6.8,0.4,observed
2010M11,2010-11-01,2010-11,KD,kd,M,m,3.6,2.6,observed,37.4,6.8,observed,3.8,0.4,observed,32.2,0.8,observed,32.6,0.8,observed
2010M11,2010-11-01,2010-11,KD,kd,MP,mp,,,suppressed,4.4,2.8,observed,3.8,0.4,observed,8.5,0.6,observed,8.8,0.5,observed
2010M11,2010-11-01,2010-11,KD,kd,S,s,,,suppressed,5.3,3.2,observed,3.8,0.4,observed,31.4,0.9,observed,28.7,0.8,observed
2010M11,2010-11-01,2010-11,KD,kd,SD,SD,0.0,0.0,observed,,,suppressed,3.8,0.4,observed,5.0,0.5,observed,6.3,0.5,observed
