wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,second_choice_code_raw,second_choice_raw,second_choice_party,second_choice_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,c,C,C,parliamentary_party,2.4,2.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,25.2,6.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,kd,KD,KD,parliamentary_party,4.0,3.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,l,L,L,parliamentary_party,7.2,4.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,m,M,M,parliamentary_party,23.1,6.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,mp,MP,MP,parliamentary_party,6.4,3.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,s,S,S,parliamentary_party,18.0,5.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,v,V,V,parliamentary_party,3.1,2.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,7.5,4.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,övr,övriga,OTHER,other_party,3.2,2.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,14.8,4.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,kd,KD,KD,parliamentary_party,8.0,3.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,l,L,L,parliamentary_party,16.1,4.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,m,M,M,parliamentary_party,36.4,6.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,mp,MP,MP,parliamentary_party,7.2,3.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,s,S,S,parliamentary_party,5.9,3.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,v,V,V,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,10.8,4.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,SD,SD,SD,parliamentary_party,1.7,0.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,c,C,C,parliamentary_party,4.8,0.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,15.2,0.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,kd,KD,KD,parliamentary_party,3.5,0.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,l,L,L,parliamentary_party,12.9,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,m,M,M,parliamentary_party,9.6,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,mp,MP,MP,parliamentary_party,13.1,0.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,s,S,S,parliamentary_party,8.3,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,v,V,V,parliamentary_party,4.9,0.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,25.2,1.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,övr,övriga,OTHER,other_party,1.0,0.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,m,M,M,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,mp,MP,MP,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,s,S,S,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,100.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,c,C,C,parliamentary_party,14.4,5.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,8.6,3.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,l,L,L,parliamentary_party,19.7,5.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
