wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,vote_party_code_raw,vote_party_raw,vote_party,vote_party_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,SD,SD,SD,parliamentary_party,88.4,5.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,m,M,M,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,s,S,S,parliamentary_party,2.1,2.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.2,3.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,SD,SD,SD,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,c,C,C,parliamentary_party,85.3,4.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,kd,KD,KD,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,l,L,L,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,m,M,M,parliamentary_party,6.2,3.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.8,2.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,c,C,C,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,SD,SD,SD,parliamentary_party,5.3,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,blankt,blankt,BLANK_VOTE,blank_vote,3.0,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,c,C,C,parliamentary_party,5.0,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,kd,KD,KD,parliamentary_party,3.6,0.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,l,L,L,parliamentary_party,5.6,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,m,M,M,parliamentary_party,27.2,0.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,mp,MP,MP,parliamentary_party,7.5,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,s,S,S,parliamentary_party,24.0,0.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,v,V,V,parliamentary_party,4.3,0.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,13.4,1.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,övr,övriga,OTHER,other_party,1.2,0.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,SD,SD,SD,parliamentary_party,4.6,1.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,blankt,blankt,BLANK_VOTE,blank_vote,12.6,2.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,c,C,C,parliamentary_party,2.9,1.1,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,kd,KD,KD,parliamentary_party,1.6,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,l,L,L,parliamentary_party,1.9,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,m,M,M,parliamentary_party,9.6,1.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,mp,MP,MP,parliamentary_party,3.7,1.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,s,S,S,parliamentary_party,7.6,1.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,v,V,V,parliamentary_party,1.0,0.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,53.2,3.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,övr,övriga,OTHER,other_party,1.3,0.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,kd,KD,KD,parliamentary_party,87.8,4.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,m,M,M,parliamentary_party,3.6,2.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.5,2.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,c,C,C,parliamentary_party,2.7,1.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,kd,KD,KD,parliamentary_party,2.1,1.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,l,L,L,parliamentary_party,81.1,4.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,m,M,M,parliamentary_party,6.1,2.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,mp,MP,MP,parliamentary_party,1.1,1.1,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.9,2.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,SD,SD,SD,parliamentary_party,1.8,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,0.8,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,c,C,C,parliamentary_party,1.0,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,kd,KD,KD,parliamentary_party,1.3,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,l,L,L,parliamentary_party,0.9,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
