seed,election_year,horizon_days,as_of,party,actual_seats,point_baseline_seats,mean_seats,median_seats,point_error,mean_error,median_error,crps,percentile,cov_50,width_50,cov_80,width_80,cov_90,width_90,p_largest,p_qualify,p_any_seats
12345,2018,112,2018-05-20,M,70,80,83.19,84,10,13.19,14,7.8901,17.9,False,18,True,34,True,44,0.1732,1.0,1.0
12345,2018,112,2018-05-20,L,20,17,14.16,18,3,5.84,2,2.4095,73.6,True,20,True,22,True,23,0.0,0.7408,0.7408
12345,2018,112,2018-05-20,C,31,35,35.51,35,4,4.51,4,2.5814,19.2,False,7,True,13,True,18,0.0,1.0,1.0
12345,2018,112,2018-05-20,KD,22,0,0.16,0,22,21.84,22,21.6773,100.0,False,0,False,0,False,0,0.0,0.0106,0.0106
12345,2018,112,2018-05-20,S,100,95,97.52,97,5,2.48,3,1.9454,65.4,True,9,True,16,True,21,0.7928,1.0,1.0
12345,2018,112,2018-05-20,V,28,32,32.45,33,4,4.45,5,2.869,15.1,False,5,True,10,True,12,0.0,1.0,1.0
12345,2018,112,2018-05-20,MP,16,16,10.43,16,0,5.57,0,3.2318,50.9,True,18,True,20,True,21,0.0,0.58,0.58
12345,2018,112,2018-05-20,SD,62,74,75.58,75,12,13.58,13,9.0137,4.7,False,11,False,22,True,28,0.034,1.0,1.0
12345,2018,84,2018-06-17,M,70,76,77.87,78,6,7.87,8,4.8912,23.5,False,14,True,28,True,36,0.0898,1.0,1.0
12345,2018,84,2018-06-17,L,20,18,15.83,18,2,4.17,2,1.6568,68.2,True,5,True,23,True,24,0.0,0.8214,0.8214
12345,2018,84,2018-06-17,C,31,35,35.53,35,4,4.53,4,2.7101,13.6,False,5,True,11,True,15,0.0,1.0,1.0
12345,2018,84,2018-06-17,KD,22,0,0.05,0,22,21.95,22,21.8974,100.0,False,0,False,0,False,0,0.0,0.0034,0.0034
12345,2018,84,2018-06-17,S,100,93,94.73,95,7,5.27,5,3.1867,81.9,False,8,True,15,True,20,0.8462,1.0,1.0
12345,2018,84,2018-06-17,V,28,34,34.76,35,6,6.76,7,4.7963,3.8,False,5,False,9,True,12,0.0,1.0,1.0
12345,2018,84,2018-06-17,MP,16,16,11.88,17,0,4.12,1,2.5152,44.6,True,19,True,20,True,21,0.0,0.6528,0.6528
12345,2018,84,2018-06-17,SD,62,77,78.35,77,15,16.35,15,12.0072,0.6,False,11,False,19,False,25,0.064,1.0,1.0
12345,2018,56,2018-07-15,M,70,72,73.12,74,2,3.12,4,2.8098,33.5,True,12,True,24,True,29,0.0236,1.0,1.0
12345,2018,56,2018-07-15,L,20,19,18.58,19,1,1.42,1,0.9621,60.7,True,5,True,8,True,25,0.0,0.9434,0.9434
12345,2018,56,2018-07-15,C,31,35,35.19,35,4,4.19,4,2.584,11.7,False,4,True,9,True,12,0.0,1.0,1.0
12345,2018,56,2018-07-15,KD,22,0,0.58,0,22,21.42,22,20.8627,100.0,False,0,False,0,False,0,0.0,0.0386,0.0386
12345,2018,56,2018-07-15,S,100,93,93.13,93,7,6.87,7,4.4213,89.7,False,8,True,13,True,17,0.9358,1.0,1.0
12345,2018,56,2018-07-15,V,28,35,35.47,36,7,7.47,8,5.5477,1.4,False,5,False,9,False,11,0.0,1.0,1.0
12345,2018,56,2018-07-15,MP,16,18,15.93,18,2,0.07,2,1.7262,28.1,True,5,True,22,True,23,0.0,0.8354,0.8354
12345,2018,56,2018-07-15,SD,62,77,77.01,76,15,15.01,14,11.3557,0.2,False,8,False,17,False,22,0.0406,1.0,1.0
12345,2018,28,2018-08-12,M,70,68,68.38,70,2,1.62,0,1.4759,52.3,True,9,True,17,True,21,0.0,1.0,1.0
12345,2018,28,2018-08-12,L,20,20,20.47,20,0,0.47,0,0.8417,52.7,True,5,True,8,True,10,0.0,0.998,0.998
12345,2018,28,2018-08-12,C,31,33,34.01,34,2,3.01,3,1.7059,18.0,False,4,True,8,True,10,0.0,1.0,1.0
12345,2018,28,2018-08-12,KD,22,15,9.22,15,7,12.78,7,8.7684,100.0,False,16,False,17,False,17,0.0,0.5844,0.5844
12345,2018,28,2018-08-12,S,100,90,91.95,91,10,8.05,9,5.5188,90.0,False,8,True,14,True,17,0.9996,1.0,1.0
12345,2018,28,2018-08-12,V,28,34,34.17,34,6,6.17,6,4.5424,0.9,False,4,False,8,False,9,0.0,1.0,1.0
12345,2018,28,2018-08-12,MP,16,19,19.35,20,3,3.35,4,2.2274,13.7,False,5,True,8,True,9,0.0,0.9728,0.9728
12345,2018,28,2018-08-12,SD,62,70,71.45,71,8,9.45,9,6.8089,0.8,False,7,False,12,False,16,0.0004,1.0,1.0
12345,2018,14,2018-08-26,M,70,67,67.32,69,3,2.68,1,1.3876,57.2,True,10,True,17,True,19,0.0,1.0,1.0
12345,2018,14,2018-08-26,L,20,20,20.46,20,0,0.46,0,0.7976,50.3,True,5,True,8,True,8,0.0,0.9998,0.9998
12345,2018,14,2018-08-26,C,31,32,32.62,33,1,1.62,2,0.9629,29.6,True,3,True,6,True,7,0.0,1.0,1.0
12345,2018,14,2018-08-26,KD,22,18,17.41,18,4,4.59,4,3.5526,99.8,False,3,False,4,False,5,0.0,0.9884,0.9884
12345,2018,14,2018-08-26,S,100,93,93.12,92,7,6.88,8,4.9055,94.0,False,6,False,10,True,12,1.0,1.0,1.0
12345,2018,14,2018-08-26,V,28,33,32.62,33,5,4.62,5,3.1376,5.6,False,5,False,7,True,8,0.0,1.0,1.0
12345,2018,14,2018-08-26,MP,16,19,18.09,19,3,2.09,3,1.5819,21.5,True,5,True,7,True,9,0.0,0.96,0.96
12345,2018,14,2018-08-26,SD,62,67,67.36,66,5,5.36,4,3.2276,4.4,False,6,False,10,True,13,0.0,1.0,1.0
12345,2018,7,2018-09-02,M,70,67,67.37,69,3,2.63,1,1.405,58.7,True,11,True,17,True,20,0.0,1.0,1.0
12345,2018,7,2018-09-02,L,20,20,20.06,20,0,0.06,0,0.7949,54.3,True,5,True,7,True,9,0.0,0.9998,0.9998
12345,2018,7,2018-09-02,C,31,32,31.92,32,1,0.92,1,0.7237,37.8,True,4,True,6,True,6,0.0,1.0,1.0
12345,2018,7,2018-09-02,KD,22,20,19.73,20,2,2.27,2,1.4564,91.5,False,2,True,4,True,5,0.0,1.0,1.0
12345,2018,7,2018-09-02,S,100,94,95.29,94,6,4.71,6,3.1731,83.8,False,5,True,10,True,11,1.0,1.0,1.0
12345,2018,7,2018-09-02,V,28,32,31.88,33,4,3.88,5,2.5308,11.4,False,4,True,7,True,8,0.0,1.0,1.0
12345,2018,7,2018-09-02,MP,16,18,16.44,18,2,0.44,2,1.329,30.4,True,4,True,21,True,22,0.0,0.8962,0.8962
12345,2018,7,2018-09-02,SD,62,66,66.3,65,4,4.3,3,2.2127,10.1,False,6,True,11,True,13,0.0,1.0,1.0
12345,2022,112,2022-05-22,M,68,80,78.47,79,12,10.47,11,6.7263,17.0,False,13,True,28,True,35,0.001,1.0,1.0
12345,2022,112,2022-05-22,L,16,0,5.82,0,16,10.18,16,7.1822,76.2,True,16,True,18,True,19,0.0,0.3374,0.3374
12345,2022,112,2022-05-22,C,24,24,23.24,23,0,0.76,1,0.8383,58.7,True,5,True,9,True,11,0.0,0.9928,0.9928
12345,2022,112,2022-05-22,KD,19,22,21.46,22,3,2.46,3,1.7182,21.5,True,5,True,10,True,15,0.0,0.9524,0.9524
12345,2022,112,2022-05-22,S,107,122,118.87,119,15,11.87,12,7.4736,11.2,False,12,True,25,True,33,0.9974,1.0,1.0
12345,2022,112,2022-05-22,V,24,33,31.93,32,9,7.93,8,5.476,3.4,False,6,False,12,False,14,0.0,1.0,1.0
12345,2022,112,2022-05-22,MP,18,0,2.44,0,18,15.56,18,13.5003,98.9,False,0,False,15,False,16,0.0,0.1542,0.1542
12345,2022,112,2022-05-22,SD,73,68,66.78,66,5,6.22,7,3.9201,77.6,False,11,True,22,True,28,0.0016,1.0,1.0
12345,2022,84,2022-06-19,M,68,73,72.2,73,5,4.2,5,3.2581,28.0,True,11,True,23,True,30,0.0,1.0,1.0
12345,2022,84,2022-06-19,L,16,18,14.85,17,2,1.15,1,1.5329,35.6,True,5,True,22,True,23,0.0,0.7964,0.7964
12345,2022,84,2022-06-19,C,24,21,21.23,21,3,2.77,3,1.6354,81.7,False,4,True,7,True,9,0.0,0.9918,0.9918
12345,2022,84,2022-06-19,KD,19,22,22.37,22,3,3.37,3,2.0933,15.8,False,5,True,9,True,13,0.0,0.9784,0.9784
12345,2022,84,2022-06-19,S,107,118,117.46,117,11,10.46,10,6.5264,9.9,False,11,True,21,True,28,0.9992,1.0,1.0
12345,2022,84,2022-06-19,V,24,32,31.63,32,8,7.63,8,5.3387,1.9,False,7,False,11,False,13,0.0,1.0,1.0
12345,2022,84,2022-06-19,MP,18,0,4.63,0,18,13.37,18,10.0653,98.1,False,15,False,16,False,17,0.0,0.2942,0.2942
12345,2022,84,2022-06-19,SD,73,65,64.63,64,8,8.37,9,5.2075,85.8,False,10,True,20,True,25,0.0008,1.0,1.0
