election_year,election_date,consensus_window_days,poll_id,pollster,pollster_original,interview_start,interview_end,publication_date,sample_size,sample_size_missing,weight,party,support_pct
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,C,7.0
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,KD,4.5
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,L,7.0
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,M,21.5
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,MP,7.0
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,S,45.0
1994,1994-09-18,14,swp-e946be603cce06d37fea,Ipsos,TEMO,1994-09-11,1994-09-14,1994-09-16,1358.0,False,1.1653,V,6.5
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,C,5.3
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,KD,9.7
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,L,12.9
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,M,17.8
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,MP,4.4
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,S,37.1
2002,2002-09-15,14,swp-4dbaea4699e40b8908db,Demoskop,Demoskop valdag,2002-09-15,2002-09-15,2002-09-15,,True,1.0,V,9.8
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,C,4.9
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,KD,9.2
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,L,13.8
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,M,18.2
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,MP,5.3
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,S,36.5
2002,2002-09-15,14,swp-2381085e665c089ff57e,Ipsos,TEMO,2002-09-11,2002-09-12,2002-09-14,1668.0,False,1.2915,V,9.8
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,C,5.7
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,KD,9.8
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,L,12.6
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,M,16.7
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,MP,4.9
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,S,36.2
2002,2002-09-15,14,swp-b3dcd3da3e0b2e7129b0,Novus,Gallup,2002-09-10,2002-09-12,2002-09-13,1480.0,False,1.2166,V,10.9
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,C,6.8
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,KD,9.3
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,L,13.0
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,M,15.2
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,MP,5.1
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,S,37.3
2002,2002-09-15,14,swp-33a09275804ccff98e13,SVT,SVT VALU,2002-09-05,2002-09-15,2002-09-15,,True,1.0,V,10.0
2002,2002-09-15,14,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917.0,False,1.3846,C,5.3
2002,2002-09-15,14,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917.0,False,1.3846,KD,10.2
2002,2002-09-15,14,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917.0,False,1.3846,L,12.6
2002,2002-09-15,14,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917.0,False,1.3846,M,18.2
2002,2002-09-15,14,swp-d089295454489e43bda6,Sifo,Sifo,2002-09-11,2002-09-12,2002-09-14,1917.0,False,1.3846,MP,4.6
