election_year,election_date,party,party_raw,final_poll_consensus_pct,actual_result_pct,votes,valid_votes_total,residual_pp,distance_from_4_pp,passed_4pct,forecast_side,actual_side,quadrant,threshold_crossing_distance_pp,threshold_band,party_eligible_poll_count,party_contributing_poll_count,party_pollster_count,party_sample_size_coverage,election_poll_count,election_pollster_count,consensus_window_days,metadata_quality,episode_quality,source_notes
1991,1991-09-15,C,C,,8.5029,465175,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,KD,KDS,,7.1352,390351,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,L,FP,,9.1277,499356,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,M,M,,21.9237,1199394,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,MP,MP,,3.3825,185051,5470761,,,False,,False,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,NYD,NYD,,6.7318,368281,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,S,S,,37.7052,2062761,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,SD,SD,,0.0908,4968,5470761,,,False,,False,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1991,1991-09-15,V,V,,4.5132,246905,5470761,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,NO_POLLS,EXCLUDE,Single pre-election poll ended E-18d (outside canonical 14d; eligible for 21d sensitivity).
1994,1994-09-18,C,C,7.0,7.6528,425153,5555540,0.6528,3.0,True,True,True,above_to_above,0.6528,>=6,1,1,1,1.0,1,1,14,COMPLETE,LOW,Included with LOW quality grade (single pollster Ipsos/TEMO in 14-day window).
1994,1994-09-18,KD,KDS,4.5,4.0675,225974,5555540,-0.4325,0.5,True,True,True,above_to_above,-0.4325,4.5–5,1,1,1,1.0,1,1,14,COMPLETE,LOW,Included with LOW quality grade (single pollster Ipsos/TEMO in 14-day window).
1994,1994-09-18,L,FP,7.0,7.192,399556,5555540,0.192,3.0,True,True,True,above_to_above,0.192,>=6,1,1,1,1.0,1,1,14,COMPLETE,LOW,Included with LOW quality grade (single pollster Ipsos/TEMO in 14-day window).
