window_days,election_year,election_date,party,final_poll_consensus_pct,actual_result_pct,residual_pp,distance_from_4_pp,passed_4pct,threshold_band,party_pollster_count,party_eligible_poll_count,episode_quality
7,1994,1994-09-18,C,7.0,7.6528,0.6528,3.0,True,>=6,1,1,LOW
7,1994,1994-09-18,KD,4.5,4.0675,-0.4325,0.5,True,4.5–5,1,1,LOW
7,1994,1994-09-18,L,7.0,7.192,0.192,3.0,True,>=6,1,1,LOW
7,1994,1994-09-18,M,21.5,22.3786,0.8786,17.5,True,>=6,1,1,LOW
7,1994,1994-09-18,MP,7.0,5.0228,-1.9772,3.0,True,>=6,1,1,LOW
7,1994,1994-09-18,S,45.0,45.2504,0.2504,41.0,True,>=6,1,1,LOW
7,1994,1994-09-18,V,6.5,6.1738,-0.3262,2.5,True,>=6,1,1,LOW
7,2002,2002-09-15,C,5.4356,6.193,0.7574,1.4356,True,5–6,7,23,MEDIUM
7,2002,2002-09-15,KD,10.0254,9.1498,-0.8756,6.0254,True,>=6,7,23,MEDIUM
7,2002,2002-09-15,L,12.9611,13.394,0.4329,8.9611,True,>=6,7,23,MEDIUM
7,2002,2002-09-15,M,17.3733,15.2557,-2.1176,13.3733,True,>=6,7,23,MEDIUM
7,2002,2002-09-15,MP,4.7354,4.6461,-0.0893,0.7354,True,4.5–5,7,23,MEDIUM
7,2002,2002-09-15,S,36.8884,39.8543,2.9659,32.8884,True,>=6,7,23,MEDIUM
7,2002,2002-09-15,V,9.952,8.3884,-1.5636,5.952,True,>=6,7,23,MEDIUM
7,2006,2006-09-17,C,7.2934,7.8791,0.5857,3.2934,True,>=6,5,14,MEDIUM
7,2006,2006-09-17,FI,1.0,0.6837,-0.3163,-3.0,False,<2,1,1,LOW
7,2006,2006-09-17,KD,6.9827,6.593,-0.3897,2.9827,True,>=6,5,14,MEDIUM
7,2006,2006-09-17,L,8.5001,7.5369,-0.9632,4.5001,True,>=6,5,14,MEDIUM
7,2006,2006-09-17,M,26.4172,26.2284,-0.1888,22.4172,True,>=6,5,14,MEDIUM
7,2006,2006-09-17,MP,5.779,5.2442,-0.5348,1.779,True,5–6,5,14,MEDIUM
7,2006,2006-09-17,S,33.8293,34.9942,1.1649,29.8293,True,>=6,5,14,MEDIUM
7,2006,2006-09-17,SD,2.0393,2.9266,0.8873,-1.9607,False,2–3,2,6,MEDIUM
7,2006,2006-09-17,V,5.9277,5.8495,-0.0782,1.9277,True,5–6,5,14,MEDIUM
7,2010,2010-09-19,C,6.694,6.5567,-0.1373,2.694,True,>=6,7,16,HIGH
7,2010,2010-09-19,KD,5.9446,5.5985,-0.3461,1.9446,True,5–6,7,16,HIGH
7,2010,2010-09-19,L,7.2139,7.0553,-0.1586,3.2139,True,>=6,7,16,HIGH
7,2010,2010-09-19,M,29.482,30.0611,0.5791,25.482,True,>=6,7,16,HIGH
7,2010,2010-09-19,MP,8.6599,7.339,-1.3209,4.6599,True,>=6,7,16,HIGH
7,2010,2010-09-19,S,29.3557,30.6606,1.3049,25.3557,True,>=6,7,16,HIGH
7,2010,2010-09-19,SD,5.1147,5.6978,0.5831,1.1147,True,5–6,7,16,HIGH
7,2010,2010-09-19,V,5.9349,5.6045,-0.3304,1.9349,True,5–6,7,16,HIGH
7,2014,2014-09-14,C,6.2698,6.113,-0.1568,2.2698,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,FI,3.7195,3.1247,-0.5948,-0.2805,False,3.5–4,9,14,MEDIUM
7,2014,2014-09-14,KD,5.2054,4.5704,-0.635,1.2054,True,5–6,9,14,MEDIUM
7,2014,2014-09-14,L,6.2894,5.4203,-0.8691,2.2894,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,M,21.9586,23.325,1.3664,17.9586,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,MP,8.8075,6.8887,-1.9188,4.8075,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,S,29.9124,31.0148,1.1024,25.9124,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,SD,9.9722,12.8568,2.8846,5.9722,True,>=6,9,14,MEDIUM
7,2014,2014-09-14,V,6.8439,5.7182,-1.1257,2.8439,True,>=6,9,14,MEDIUM
7,2018,2018-09-09,C,9.0052,8.6077,-0.3975,5.0052,True,>=6,8,19,HIGH
7,2018,2018-09-09,FI,1.1,0.458,-0.642,-2.9,False,<2,2,11,MEDIUM
7,2018,2018-09-09,KD,6.2985,6.3223,0.0238,2.2985,True,>=6,8,19,HIGH
7,2018,2018-09-09,L,6.0446,5.4896,-0.555,2.0446,True,>=6,8,19,HIGH
7,2018,2018-09-09,M,17.8777,19.8356,1.9579,13.8777,True,>=6,8,19,HIGH
7,2018,2018-09-09,MP,5.1788,4.4143,-0.7645,1.1788,True,5–6,8,19,HIGH
7,2018,2018-09-09,S,25.4749,28.261,2.7861,21.4749,True,>=6,8,19,HIGH
7,2018,2018-09-09,SD,17.4802,17.534,0.0538,13.4802,True,>=6,8,19,HIGH
7,2018,2018-09-09,V,9.8641,8.0049,-1.8592,5.8641,True,>=6,8,19,HIGH
7,2022,2022-09-11,C,7.6015,6.7142,-0.8873,3.6015,True,>=6,7,23,HIGH
7,2022,2022-09-11,KD,5.5413,5.3367,-0.2046,1.5413,True,5–6,7,23,HIGH
7,2022,2022-09-11,L,4.97,4.6086,-0.3614,0.97,True,4.5–5,7,23,HIGH
7,2022,2022-09-11,M,17.5741,19.1021,1.528,13.5741,True,>=6,7,23,HIGH
7,2022,2022-09-11,MP,5.6792,5.0825,-0.5967,1.6792,True,5–6,7,23,HIGH
7,2022,2022-09-11,S,29.3127,30.3255,1.0128,25.3127,True,>=6,7,23,HIGH
7,2022,2022-09-11,SD,20.6422,20.5361,-0.1061,16.6422,True,>=6,7,23,HIGH
