election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,energy_score,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections,seed,samples
2018-09-09,2018,2018-05-20,112,pp_centered_noise,M,True,19.8356,21.6583,16.607,17.4601,19.6396,21.6346,23.7336,25.4604,27.4353,26.81,1.799,1.158664,3.942106,True,True,True,4.094,8.0003,10.8283,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,L,True,5.4896,4.6986,3.378,3.5677,3.9833,4.5719,5.3907,6.0082,6.3175,77.87,0.9177,0.504743,3.942106,False,True,True,1.4074,2.4405,2.9395,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,C,True,8.6077,9.3707,6.985,7.5596,8.3531,9.299,10.2667,11.2344,12.0605,30.57,0.6912,0.470823,3.942106,True,True,True,1.9136,3.6747,5.0755,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,KD,True,6.3223,3.0949,2.4159,2.5516,2.8106,3.0987,3.3803,3.6275,3.7651,100.0,3.2236,2.995628,3.942106,False,False,False,0.5697,1.0759,1.3492,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,S,True,28.261,25.6006,22.9586,23.4552,24.2727,25.5349,26.6598,28.1464,28.9063,90.84,2.7261,1.804997,3.942106,False,False,True,2.3872,4.6912,5.9477,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,V,True,8.0049,8.4803,7.071,7.3291,7.8547,8.5639,9.1089,9.4867,9.7288,30.1,0.559,0.329452,3.942106,True,True,True,1.2542,2.1577,2.6578,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,MP,True,4.4143,4.2033,2.8547,3.0829,3.5367,4.2416,4.8414,5.2544,5.5084,56.24,0.1727,0.23601,3.942106,True,True,True,1.3047,2.1715,2.6537,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,SD,True,17.534,19.7838,16.3295,17.1335,18.3192,19.6853,21.175,22.6178,23.3996,14.11,2.1513,1.330697,3.942106,False,True,True,2.8558,5.4843,7.0701,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,REST,False,1.5307,3.1095,2.3766,2.5175,2.7788,3.1004,3.4121,3.7062,3.8917,0.01,1.5698,1.316331,3.942106,False,False,False,0.6334,1.1886,1.5151,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,M,True,19.8356,21.6696,16.4889,17.5581,19.5726,21.5569,23.6611,25.9722,27.3936,28.26,1.7213,1.105489,3.900027,True,True,True,4.0885,8.4142,10.9048,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,20000
