model,party,is_parliamentary,MAE,CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,avg_percentile
pp_centered_noise,M,True,0.7307333333333332,0.6177280833333334,0.9166666666666666,1.0,1.0,2.6532833333333334,5.681433333333334,6.887491666666666,49.96333333333333
pp_centered_noise,L,True,0.42455,0.33000975,0.6666666666666666,1.0,1.0,1.2775750000000001,2.2789083333333333,2.71925,50.39583333333334
pp_centered_noise,C,True,0.5480999999999999,0.35314975,0.5833333333333334,1.0,1.0,1.1996666666666669,2.0926916666666666,2.6583083333333333,48.27916666666666
pp_centered_noise,KD,True,1.4286750000000001,1.2192735833333332,0.16666666666666666,0.5,0.5,0.7916666666666666,1.5259333333333334,2.0250166666666667,61.47416666666667
pp_centered_noise,S,True,1.903558333333333,1.2946343333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,2.1897583333333333,4.009083333333334,5.043891666666667,70.93166666666666
pp_centered_noise,V,True,1.2675833333333333,0.8099569166666667,0.08333333333333333,0.4166666666666667,0.5833333333333334,1.3520583333333331,2.2098916666666666,2.676716666666666,9.736666666666668
pp_centered_noise,MP,True,0.667175,0.4879832500000001,0.5833333333333334,0.8333333333333334,0.8333333333333334,1.2254666666666667,2.0280166666666664,2.4166416666666666,49.68083333333333
pp_centered_noise,SD,True,1.933,1.29623775,0.16666666666666666,0.5,0.8333333333333334,2.1908833333333333,4.258033333333334,5.27125,45.502500000000005
pp_centered_noise,REST,False,0.69545,0.5565837499999999,0.4166666666666667,0.5,0.5,0.7775500000000002,1.5139333333333334,1.9413,20.782500000000002
pp_symmetric_noise,M,True,0.8997666666666667,0.6826895000000001,0.8333333333333334,1.0,1.0,2.869858333333333,5.748208333333333,7.210466666666666,54.73166666666666
pp_symmetric_noise,L,True,0.4560166666666667,0.35348650000000004,0.75,1.0,1.0,1.5352583333333332,2.4197999999999995,2.85065,48.7175
pp_symmetric_noise,C,True,0.5152749999999999,0.34926791666666673,0.6666666666666666,1.0,1.0,1.1951833333333333,2.3766333333333334,3.020425,47.32166666666666
pp_symmetric_noise,KD,True,1.4375166666666666,1.1171440833333335,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.4145083333333333,2.3327416666666667,2.87495,63.06583333333333
pp_symmetric_noise,S,True,1.715333333333333,1.2543106666666664,0.5,0.75,1.0,3.618608333333333,6.7176583333333335,8.17855,66.1975
pp_symmetric_noise,V,True,1.232408333333333,0.7607929166666665,0.25,1.0,1.0,1.9231749999999996,3.5752083333333338,4.226249999999999,19.916666666666668
pp_symmetric_noise,MP,True,0.6390833333333333,0.5063698333333333,0.75,0.9166666666666666,1.0,1.6925583333333332,3.382533333333333,4.001566666666666,51.384166666666665
pp_symmetric_noise,SD,True,1.9791583333333334,1.25910325,0.25,0.6666666666666666,1.0,2.694675,5.3178833333333335,6.7374,47.83583333333333
pp_symmetric_noise,REST,False,0.6983833333333335,0.5309632500000001,0.5,0.5833333333333334,0.6666666666666666,1.1088250000000002,2.118225,2.631425,24.435000000000002
