model,party,is_parliamentary,MAE,CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,avg_percentile
base,M,True,0.893825,0.6278965833333335,0.3333333333333333,0.6666666666666666,0.75,1.5402833333333332,2.820608333333333,4.056308333333333,65.095
base,L,True,0.4582916666666667,0.30688391666666665,0.25,0.5833333333333334,0.75,0.5516916666666666,1.0283083333333332,1.3140833333333333,42.794999999999995
base,C,True,0.5072,0.3318623333333333,0.4166666666666667,0.6666666666666666,1.0,0.753275,1.4741083333333336,1.9808500000000004,44.665
base,KD,True,1.4469083333333332,1.2629889166666666,0.08333333333333333,0.3333333333333333,0.5,0.5342250000000001,1.0579083333333332,1.5409499999999998,56.5
base,S,True,1.7403833333333332,1.3457794166666668,0.4166666666666667,0.5,0.5,1.4419250000000003,2.794191666666667,3.7612833333333335,73.86166666666666
base,V,True,1.2214166666666666,0.9730730833333333,0.0,0.08333333333333333,0.08333333333333333,0.6114999999999999,1.2278749999999998,1.5971583333333335,1.635
base,MP,True,0.6428666666666667,0.51420175,0.4166666666666667,0.4166666666666667,0.5,0.4672,0.9303083333333334,1.2401666666666666,44.541666666666664
base,SD,True,1.9910416666666666,1.43222775,0.0,0.16666666666666666,0.3333333333333333,1.3916083333333333,2.8332583333333337,3.743491666666667,47.75
base,REST,False,0.678675,0.5696356666666665,0.4166666666666667,0.5,0.5,0.5395499999999999,1.0504416666666667,1.3799833333333333,23.22
pp_centered_noise,M,True,0.7490166666666668,0.6229880833333333,0.9166666666666666,1.0,1.0,2.787008333333333,5.639966666666667,6.840541666666667,49.821666666666665
pp_centered_noise,L,True,0.433225,0.33191333333333334,0.6666666666666666,1.0,1.0,1.2849499999999998,2.2726583333333337,2.7089833333333337,50.53666666666667
pp_centered_noise,C,True,0.5407333333333333,0.35000583333333335,0.6666666666666666,1.0,1.0,1.202616666666667,2.0828833333333328,2.6483,48.271666666666675
pp_centered_noise,KD,True,1.4253083333333334,1.2169956666666664,0.16666666666666666,0.5,0.5,0.7886333333333333,1.5204916666666668,2.0260416666666665,61.46833333333333
pp_centered_noise,S,True,1.9003749999999997,1.2940495,0.4166666666666667,0.5833333333333334,0.6666666666666666,2.186425,3.985125,5.0291749999999995,70.70333333333333
pp_centered_noise,V,True,1.267858333333333,0.8088615,0.08333333333333333,0.4166666666666667,0.5833333333333334,1.3515249999999999,2.2006333333333328,2.6693416666666665,9.646666666666667
pp_centered_noise,MP,True,0.66395,0.4870453333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334,1.224725,2.0341166666666664,2.4286666666666665,50.099999999999994
pp_centered_noise,SD,True,1.9355833333333337,1.2980734166666668,0.16666666666666666,0.5,0.75,2.1812,4.254508333333334,5.266850000000001,45.531666666666666
pp_centered_noise,REST,False,0.69735,0.5556435833333333,0.4166666666666667,0.5,0.5,0.7820833333333335,1.5118500000000001,1.9311999999999996,20.794999999999998
pp_symmetric_noise,M,True,0.9071666666666669,0.6884534166666666,0.8333333333333334,1.0,1.0,2.8843416666666664,5.752558333333333,7.218741666666666,54.76333333333333
pp_symmetric_noise,L,True,0.4602083333333333,0.354436,0.75,1.0,1.0,1.5305666666666669,2.420875,2.8528000000000002,48.605
pp_symmetric_noise,C,True,0.512825,0.34839133333333333,0.5833333333333334,1.0,1.0,1.2037416666666665,2.37865,3.019425,47.23500000000001
pp_symmetric_noise,KD,True,1.4360916666666668,1.1147189166666667,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.4178583333333332,2.331233333333333,2.877758333333333,63.25
pp_symmetric_noise,S,True,1.702675,1.25660925,0.5,0.75,1.0,3.597258333333333,6.721558333333333,8.174883333333332,66.05999999999999
pp_symmetric_noise,V,True,1.2234,0.75632825,0.25,1.0,1.0,1.9147,3.5725166666666666,4.2136249999999995,20.016666666666662
pp_symmetric_noise,MP,True,0.6421,0.5102546666666666,0.75,0.9166666666666666,1.0,1.7015500000000001,3.387516666666667,4.002141666666666,51.288333333333334
pp_symmetric_noise,SD,True,1.9742083333333333,1.2585146666666667,0.25,0.75,1.0,2.700091666666667,5.331291666666666,6.776633333333333,47.92666666666667
pp_symmetric_noise,REST,False,0.6985166666666668,0.53041725,0.5,0.5833333333333334,0.6666666666666666,1.1049499999999999,2.1096333333333335,2.6301083333333337,24.553333333333338
