coalition,residual_election_year,p_residual_year,n,mean_seats,median_seats,p05,p10,p25,p75,p90,p95,min_seats,max_seats,count_ge_175,p_ge_175,share_of_coalition_majority_draws,unconditional_majority_contribution
C+S+MP,ALL,1.0,100000,162.71929,162.0,152.0,154.0,157.0,167.0,175.0,177.0,141,190,10778,0.10778,1.0,0.10778
C+S+MP,2002,0.16616,16616,175.6618921521425,176.0,171.0,172.0,174.0,178.0,180.0,181.0,161,190,10742,0.6464853153586905,0.9966598626832437,0.10742000000000002
C+S+MP,2006,0.16504,16504,163.05968250121182,163.0,158.0,159.0,161.0,165.0,167.0,168.0,151,176,4,0.0002423654871546292,0.00037112636852848393,4e-05
C+S+MP,2010,0.16883,16883,158.2847835100397,158.0,153.0,154.0,156.0,160.0,162.0,163.0,146,170,0,0.0,0.0,0.0
C+S+MP,2014,0.16611,16611,153.39594244777558,153.0,148.0,150.0,151.0,155.0,157.0,158.0,141,169,0,0.0,0.0,0.0
C+S+MP,2018,0.16868,16868,165.63902063078018,166.0,161.0,162.0,164.0,168.0,169.0,171.0,154,177,32,0.001897083234526915,0.0029690109482278714,0.00032
C+S+MP,2022,0.16518,16518,160.28653590023006,160.0,155.0,156.0,158.0,162.0,164.0,165.0,147,172,0,0.0,0.0,0.0
S+V+MP,ALL,1.0,100000,164.5276,165.0,155.0,157.0,162.0,168.0,171.0,173.0,144,188,2216,0.02216,1.0,0.02216
S+V+MP,2002,0.16616,16616,171.26336061627347,171.0,167.0,168.0,169.0,173.0,175.0,176.0,160,188,2148,0.12927298988926336,0.9693140794223827,0.02148
S+V+MP,2006,0.16504,16504,165.37996849248668,165.0,161.0,162.0,163.0,167.0,169.0,170.0,153,177,20,0.0012118274357731458,0.009025270758122744,0.00019999999999999998
S+V+MP,2010,0.16883,16883,163.80690635550553,164.0,159.0,160.0,162.0,166.0,167.0,169.0,153,176,3,0.00017769353787833915,0.0013537906137184115,3e-05
S+V+MP,2014,0.16611,16611,156.09102402022756,156.0,151.0,152.0,154.0,158.0,160.0,161.0,144,170,0,0.0,0.0,0.0
S+V+MP,2018,0.16868,16868,164.7801161963481,165.0,160.0,161.0,163.0,167.0,168.0,169.0,153,176,7,0.0004149869575527626,0.00315884476534296,7e-05
S+V+MP,2022,0.16518,16518,165.86305848165637,166.0,161.0,162.0,164.0,168.0,170.0,171.0,155,178,38,0.0023005206441457805,0.017148014440433214,0.00038
