coalition,diagnostic,removed_year,n,median_seats,p05,p95,mean_seats,p_ge_175,delta_p_ge_175_pp,relative_change_pct
C+S+MP,baseline_production,,100000,162.0,152.0,177.0,162.71929,0.10778,0.0,0.0
C+S+MP,conditional_reweighting_diagnostic,2002,83384,160.0,151.0,168.0,160.1402067542934,0.00043173750359781256,-10.734826249640218,-99.59942707033048
C+S+MP,conditional_reweighting_diagnostic,2006,83496,161.0,151.0,178.0,162.65200728178596,0.12903612149084986,2.1256121490849864,19.721767944748425
C+S+MP,conditional_reweighting_diagnostic,2010,83117,163.0,151.0,178.0,163.62004162806647,0.12967263014786384,2.189263014786384,20.312330810784786
C+S+MP,conditional_reweighting_diagnostic,2014,83389,163.0,156.0,178.0,164.57649090407608,0.12924966122630083,2.1469661226300825,19.919893511134568
C+S+MP,conditional_reweighting_diagnostic,2018,83132,161.0,151.0,178.0,162.1268584901121,0.12926430255497282,2.1484302554972814,19.933477968985724
C+S+MP,conditional_reweighting_diagnostic,2022,83482,163.0,151.0,178.0,163.20064205457464,0.1291056754749527,2.132567547495269,19.786301238590355
C+S+MP,leave_one_election_out_rerun,2002,100000,163.0,154.0,171.0,162.68496,0.00392,-10.386000000000001,-96.36296158842086
C+S+MP,leave_one_election_out_rerun,2006,100000,161.0,151.0,178.0,162.7095,0.13064,2.2860000000000005,21.20987196140287
C+S+MP,leave_one_election_out_rerun,2010,100000,162.0,150.0,177.0,162.71077,0.10664,-0.11400000000000021,-1.0577101503061792
C+S+MP,leave_one_election_out_rerun,2014,100000,161.0,154.0,176.0,162.69977,0.08022,-2.7560000000000002,-25.570606791612548
C+S+MP,leave_one_election_out_rerun,2018,100000,161.0,152.0,178.0,162.70757,0.14175,3.3969999999999985,31.517906847281484
C+S+MP,leave_one_election_out_rerun,2022,100000,162.0,151.0,177.0,162.69349,0.11741,0.963,8.934867322323248
S+V+MP,baseline_production,,100000,165.0,155.0,173.0,164.5276,0.02216,0.0,0.0
S+V+MP,conditional_reweighting_diagnostic,2002,83384,164.0,154.0,169.0,163.18535930154465,0.0008155041734625348,-2.1344495826537466,-96.31992701506076
S+V+MP,conditional_reweighting_diagnostic,2006,83496,165.0,154.0,173.0,164.35911899971256,0.026300661109514227,0.41406611095142276,18.685293815497417
S+V+MP,conditional_reweighting_diagnostic,2010,83117,165.0,154.0,173.0,164.67398967720203,0.026625118808426676,0.4465118808426677,20.149453106618576
S+V+MP,conditional_reweighting_diagnostic,2014,83389,166.0,160.0,173.0,166.20815695115664,0.02657424840206742,0.441424840206742,19.919893511134568
S+V+MP,conditional_reweighting_diagnostic,2018,83132,165.0,154.0,173.0,164.47636289274888,0.026572198431410288,0.44121984314102886,19.910642741021167
S+V+MP,conditional_reweighting_diagnostic,2022,83482,165.0,154.0,173.0,164.26336216190316,0.02608945640976498,0.39294564097649803,17.732204015184937
S+V+MP,leave_one_election_out_rerun,2002,100000,165.0,155.0,171.0,164.50451,0.00261,-1.9549999999999998,-88.22202166064982
S+V+MP,leave_one_election_out_rerun,2006,100000,165.0,154.0,173.0,164.51781,0.02861,0.6450000000000001,29.106498194945864
S+V+MP,leave_one_election_out_rerun,2010,100000,165.0,154.0,173.0,164.5151,0.02458,0.24200000000000021,10.920577617328519
S+V+MP,leave_one_election_out_rerun,2014,100000,164.0,159.0,172.0,164.51692,0.00857,-1.359,-61.32671480144405
S+V+MP,leave_one_election_out_rerun,2018,100000,165.0,154.0,173.0,164.51381,0.02683,0.4670000000000001,21.074007220216618
S+V+MP,leave_one_election_out_rerun,2022,100000,165.0,154.0,174.0,164.51239,0.03094,0.878,39.620938628158854
