model,target_year,coalition_brier,five_seed_sd
CONTROL,2014,0.04461504137795276,3.6048169635195516e-05
CONTROL,2018,0.015269812460629922,5.5704765728417984e-05
CONTROL,2022,0.020147579984251967,4.567439227791548e-05
CONTROL,HEADLINE,0.026677477940944883,
A,2014,0.04525101253543307,7.046597606269039e-05
A,2018,0.013968688444881892,2.840636863582874e-05
A,2022,0.01615151644094488,0.00010012838478098405
A,HEADLINE,0.02512373914041995,
B,2014,0.04010504874409449,5.063684029116317e-05
B,2018,0.011567794346456692,5.9803384672812616e-05
B,2022,0.015016306905511811,0.0001032512572503375
B,HEADLINE,0.022229716665354334,
