model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,1,M,0.0,0,84,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,2,L,0.0,0,19,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,3,M+L,0.0,0,103,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,4,C,0.0,0,22,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,5,M+C,0.0,0,106,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,6,L+C,0.0,0,41,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,7,M+L+C,0.0,0,125,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,8,KD,0.0,0,16,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,9,M+KD,0.0,0,100,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,10,L+KD,0.0,0,35,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,11,M+L+KD,0.0,0,119,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,12,C+KD,0.0,0,38,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,13,M+C+KD,0.0,0,122,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,14,L+C+KD,0.0,0,57,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,15,M+L+C+KD,0.0,0,141,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,16,S,0.0,0,113,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,17,M+S,1.0,1,197,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,18,L+S,0.0,0,132,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,19,M+L+S,1.0,1,216,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,20,C+S,0.0,0,135,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,21,M+C+S,1.0,1,219,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,22,L+C+S,0.0,0,154,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,23,M+L+C+S,1.0,1,238,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,24,KD+S,0.0,0,129,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,25,M+KD+S,1.0,1,213,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,26,L+KD+S,0.0,0,148,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,27,M+L+KD+S,1.0,1,232,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,28,C+KD+S,0.0,0,151,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,29,M+C+KD+S,1.0,1,235,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,30,L+C+KD+S,0.3316,0,170,0.10995856000000001
CONTROL_pp_centered_noise,tier3_iso,2014,12345,31,M+L+C+KD+S,1.0,1,254,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,32,V,0.0,0,21,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,33,M+V,0.0,0,105,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,34,L+V,0.0,0,40,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,35,M+L+V,0.0,0,124,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,36,C+V,0.0,0,43,0.0
