model,tier,target_year,horizon_days,seed,draws,k_outer,training_residual_years,h,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,coverage_50_8party,coverage_80_8party,coverage_90_8party,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,min_lambda,p01_lambda,p10_lambda,fraction_lambda_lt_1,crps_M,crps_L,crps_C,crps_KD,crps_S,crps_V,crps_MP,crps_SD,crps_REST,min_lambda_ok,elapsed_seconds,mandate_law,first_divisor,geography_mode,geography_baseline_year,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,seat_crps_M,seat_crps_L,seat_crps_C,seat_crps_KD,seat_crps_S,seat_crps_V,seat_crps_MP,seat_crps_SD,coalition_brier_mean_over_masks,complement_symmetry_max_abs_diff,complement_symmetry_holds,seat_total_always_349,min_vote_pct,max_abs_sum_deviation,any_nonfinite,distinct_vote_rows,distinct_seat_rows,mc_mean_seats,mc_mean_vote_pct,atom_index_counts
CONTROL_pp_centered_noise,tier1,2014,14,12345,20000,3,2002|2006|2010,,3.5684433067531485,3.5222486346256905,0.9748930802278626,0.923995811415534,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5956259687639036,0.5115916038541496,0.27041019464353044,0.45292656209576265,0.8534022602501092,0.7647726565617902,1.6541851966078465,2.696230199045808,0.5168176609169044,True,13.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,24680,20000,3,2002|2006|2010,,3.564693433258788,3.518926994185686,0.9733802190705547,0.9221953031852337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6025231589752627,0.5267635151829323,0.2699423210408815,0.4521409753106106,0.8420584087073256,0.753467990978843,1.6494327612985427,2.6907126210700403,0.5127159761026647,True,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,98765,20000,3,2002|2006|2010,,3.5673625111844824,3.521188072561759,0.9745793068561814,0.9236889891469833,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5938455395736537,0.5160648438735955,0.26970817048311335,0.4539394169029572,0.8528441675333785,0.7639841865632665,1.6502104097874715,2.696037720132014,0.516566447473398,True,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,54321,20000,3,2002|2006|2010,,3.5659993331688318,3.5200416912005004,0.9739571410617858,0.922909106165268,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5986473794146938,0.5213352570460077,0.26989802131461627,0.45287361349475275,0.8471085950261408,0.7584177343477053,1.6501772329211912,2.6931992949291788,0.514524826993127,True,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,13579,20000,3,2002|2006|2010,,3.5690279273008882,3.5226531139729973,0.9752626752215996,0.924508843074396,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5902613197582938,0.5097967239357613,0.2697955635081163,0.45452266429435273,0.8581664532298675,0.7692347151270353,1.6516856982869912,2.6986382636323785,0.518478185896767,True,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,12345,20000,4,2002|2006|2010|2014,,3.863088316782824,3.6172092523741965,0.8848267682109245,0.9476010173462781,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.8041538148148146,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.233376808716789,0.25892725906958913,0.2581140458609234,0.15549498804212458,2.717318335636639,1.509539672634157,0.3693360589814966,0.5765069767456774,1.449795010429106,True,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,24680,20000,4,2002|2006|2010|2014,,3.8682873407851757,3.62100714588109,0.8861362081760065,0.9492338844620725,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.6257070246913576,1.8888171234567896,1.8888171234567896,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2359817584762267,0.2583497907276111,0.25729670020775486,0.15486597941743505,2.726087724810906,1.5192460420234823,0.3710981556711436,0.5661635140734927,1.4540152947506013,True,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,98765,20000,4,2002|2006|2010|2014,,3.8649784744599422,3.618221299154919,0.8856275179049695,0.948572942823943,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5009041358024686,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2526527481871559,0.2670684840603711,0.2575671751611325,0.15576676907115283,2.7038128734007034,1.510132513541981,0.3742118691197637,0.5638077106974952,1.4521363421757303,True,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,54321,20000,4,2002|2006|2010|2014,,3.8653155164798427,3.618439802101946,0.8850255508475908,0.9480803802297054,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5009041358024686,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2358424689508904,0.26246168155775085,0.2588930834662677,0.1534894723162051,2.7197600300634104,1.5147992594416269,0.36684165899409404,0.5681167519904808,1.452519015286623,True,14.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,13579,20000,4,2002|2006|2010|2014,,3.8668812663321592,3.6200730149197757,0.8856244295171447,0.9486281459037637,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.9647006049382715,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.229113243533084,0.2561420752902225,0.25776074570588897,0.1546499469503334,2.7292656443244887,1.5176669545158572,0.3687254095138266,0.5716714163034573,1.4526578769967162,True,14.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
