model,tier,target_year,es_9cat,es_9cat_sd,es_8party,es_8party_sd,crps_8party_mean,crps_8party_mean_sd,crps_all9_mean,crps_all9_mean_sd,coverage_50,coverage_50_sd,coverage_80,coverage_80_sd,coverage_90,coverage_90_sd,mean_width_50,mean_width_50_sd,mean_width_80,mean_width_80_sd,mean_width_90,mean_width_90_sd,mean_lambda,mean_lambda_sd,seat_energy_score,seat_energy_score_sd,seat_crps_8party_mean,seat_crps_8party_mean_sd,seat_coverage_50,seat_coverage_50_sd,seat_coverage_80,seat_coverage_80_sd,seat_coverage_90,seat_coverage_90_sd,coalition_brier_mean_over_masks,coalition_brier_mean_over_masks_sd
CONTROL,tier1,2014,3.5671053023332275,0.0017743434850667954,3.5210117013093267,0.0015445282275549416,0.9744144844875968,0.0007507522525867644,0.923459610597483,0.0009141311434109484,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.5498235432098757,0.0,1.5498235432098757,0.0,1.5498235432098757,0.0,1.0,0.0,,,,,,,,,,,,
CONTROL,tier1,2018,3.8657101829679887,0.0019734816905059497,3.618990102886386,0.001525326161201469,0.8854480949313273,0.0005247324850140427,0.9484232741531526,0.0006154560742510784,0.31111111111111106,0.049690399499995326,0.4444444444444445,0.0,0.4444444444444445,0.0,1.279273943209876,0.4743007659403496,1.8888171234567896,0.0,1.8888171234567896,0.0,1.0,0.0,,,,,,,,,,,,
CONTROL,tier1,2022,1.9668768325700525,0.00790620486381541,1.9277184427798748,0.008496287410147376,0.4717561975029416,0.00196642310228922,0.43971721198942443,0.0016329002980503369,0.22222222222222224,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.000822567901234,0.0,2.3077046913580244,0.0,2.3077046913580244,0.0,1.0,0.0,,,,,,,,,,,,
CONTROL,tier3_iso,2014,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14.17598,0.0021913466179501583,3.8889449999999997,0.00034250912396608497,0.625,0.0,0.625,0.0,0.625,0.0,0.04461504137795276,3.6048169635195516e-05
CONTROL,tier3_iso,2018,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11.9815,0.004618982571952604,2.999705,0.0013674394410722298,0.425,0.06846531968814576,0.5,0.0,0.5,0.0,0.015269812460629922,5.5704765728417984e-05
CONTROL,tier3_iso,2022,,,,,,,,,,,,,,,,,,,,,1.0,0.0,6.60338,0.02799351710664444,1.58139,0.006351595518056926,0.625,0.0,0.875,0.0,0.875,0.0,0.020147579984251967,4.567439227791548e-05
A,tier1,2014,3.402428100414607,0.0016825695933065518,3.3591286578271835,0.0016484269789189337,0.9498723461584675,0.0006743431409343191,0.8989387127741129,0.0008746537975370918,0.11111111111111112,0.0,0.4444444444444445,0.0,0.5555555555555556,0.0,1.0480167241557306,0.006546740998707849,1.8031911687956814,0.006748730407419275,2.1818474529977703,0.006373295258670989,1.0,0.0,,,,,,,,,,,,
A,tier1,2018,3.7206536780861628,0.0017197133124053974,3.4766656873749904,0.0012351656160470045,0.8554870152913333,0.0012303297017520344,0.9202837474312394,0.0010724928636722895,0.22222222222222224,0.0,0.5555555555555556,0.0,0.6666666666666666,0.0,1.0966242580144396,0.0078003001259550585,1.9964305699652471,0.009628774821937736,2.4376154839834028,0.010030198803804374,1.0,0.0,,,,,,,,,,,,
A,tier1,2022,1.8202032335650498,0.0046978865109766205,1.790169250541198,0.005385666234376323,0.4771697768495895,0.0015262763956321202,0.44298971782821717,0.0012109939745546501,0.4444444444444445,0.0,0.7777777777777778,0.0,1.0,0.0,1.2020557942700447,0.00649365142155457,2.2223239916455184,0.005820592899827845,2.7475718875380237,0.006860348043742025,0.9989600000000001,8.944271909998174e-05,,,,,,,,,,,,
A,tier3_iso,2014,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13.31284,0.005331791443783002,3.7397825000000005,0.0014187802860203451,0.25,0.0,0.625,0.0,0.625,0.0,0.04525101253543307,7.046597606269039e-05
