tier,target_year,horizon_days,seed,mean_lambda,min_lambda,p01_lambda,p05_lambda,p10_lambda,fraction_lambda_lt_1,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75
tier1,2014,14,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,14,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,14,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,14,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,14,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,14,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,14,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,14,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,14,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,14,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,14,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,14,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,14,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,14,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,14,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,112,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,112,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,112,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,112,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,112,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,112,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,112,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,112,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,112,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,112,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,84,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,84,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
