tier,target_year,horizon_days,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
tier3,2018,112,12345,1,M,0.0,0,70,0.0
tier3,2018,112,12345,2,L,0.0,0,20,0.0
tier3,2018,112,12345,3,M+L,0.0,0,90,0.0
tier3,2018,112,12345,4,C,0.0,0,31,0.0
tier3,2018,112,12345,5,M+C,0.0,0,101,0.0
tier3,2018,112,12345,6,L+C,0.0,0,51,0.0
tier3,2018,112,12345,7,M+L+C,0.0,0,121,0.0
tier3,2018,112,12345,8,KD,0.0,0,22,0.0
tier3,2018,112,12345,9,M+KD,0.0,0,92,0.0
tier3,2018,112,12345,10,L+KD,0.0,0,42,0.0
tier3,2018,112,12345,11,M+L+KD,0.0,0,112,0.0
tier3,2018,112,12345,12,C+KD,0.0,0,53,0.0
tier3,2018,112,12345,13,M+C+KD,0.0,0,123,0.0
tier3,2018,112,12345,14,L+C+KD,0.0,0,73,0.0
tier3,2018,112,12345,15,M+L+C+KD,0.0,0,143,0.0
tier3,2018,112,12345,16,S,0.0,0,100,0.0
tier3,2018,112,12345,17,M+S,0.64085,0,170,0.41068872250000005
tier3,2018,112,12345,18,L+S,0.0,0,120,0.0
tier3,2018,112,12345,19,M+L+S,0.9516,1,190,0.00234256
tier3,2018,112,12345,20,C+S,0.0,0,131,0.0
tier3,2018,112,12345,21,M+C+S,1.0,1,201,0.0
tier3,2018,112,12345,22,L+C+S,0.0119,0,151,0.00014161000000000002
tier3,2018,112,12345,23,M+L+C+S,1.0,1,221,0.0
tier3,2018,112,12345,24,KD+S,0.0,0,122,0.0
tier3,2018,112,12345,25,M+KD+S,0.64395,1,192,0.1267716025
tier3,2018,112,12345,26,L+KD+S,0.0,0,142,0.0
tier3,2018,112,12345,27,M+L+KD+S,0.95285,1,212,0.0022231225000000025
tier3,2018,112,12345,28,C+KD+S,0.0,0,153,0.0
tier3,2018,112,12345,29,M+C+KD+S,1.0,1,223,0.0
tier3,2018,112,12345,30,L+C+KD+S,0.01345,0,173,0.0001809025
tier3,2018,112,12345,31,M+L+C+KD+S,1.0,1,243,0.0
tier3,2018,112,12345,32,V,0.0,0,28,0.0
tier3,2018,112,12345,33,M+V,0.0,0,98,0.0
tier3,2018,112,12345,34,L+V,0.0,0,48,0.0
tier3,2018,112,12345,35,M+L+V,0.0,0,118,0.0
tier3,2018,112,12345,36,C+V,0.0,0,59,0.0
tier3,2018,112,12345,37,M+C+V,0.02275,0,129,0.0005175625
tier3,2018,112,12345,38,L+C+V,0.0,0,79,0.0
tier3,2018,112,12345,39,M+L+C+V,0.19795,0,149,0.039184202499999994
tier3,2018,112,12345,40,KD+V,0.0,0,50,0.0
tier3,2018,112,12345,41,M+KD+V,0.0,0,120,0.0
tier3,2018,112,12345,42,L+KD+V,0.0,0,70,0.0
tier3,2018,112,12345,43,M+L+KD+V,0.0,0,140,0.0
tier3,2018,112,12345,44,C+KD+V,0.0,0,81,0.0
tier3,2018,112,12345,45,M+C+KD+V,0.02275,0,151,0.0005175625
tier3,2018,112,12345,46,L+C+KD+V,0.0,0,101,0.0
tier3,2018,112,12345,47,M+L+C+KD+V,0.20205,0,171,0.040824202500000004
tier3,2018,112,12345,48,S+V,0.0,0,128,0.0
tier3,2018,112,12345,49,M+S+V,0.9981,1,198,3.6100000000000484e-06
tier3,2018,112,12345,50,L+S+V,0.0,0,148,0.0
tier3,2018,112,12345,51,M+L+S+V,1.0,1,218,0.0
tier3,2018,112,12345,52,C+S+V,0.16,0,159,0.0256
tier3,2018,112,12345,53,M+C+S+V,1.0,1,229,0.0
tier3,2018,112,12345,54,L+C+S+V,0.69675,1,179,0.09196056250000001
tier3,2018,112,12345,55,M+L+C+S+V,1.0,1,249,0.0
tier3,2018,112,12345,56,KD+S+V,0.0,0,150,0.0
tier3,2018,112,12345,57,M+KD+S+V,0.9981,1,220,3.6100000000000484e-06
tier3,2018,112,12345,58,L+KD+S+V,0.0007,0,170,4.9e-07
tier3,2018,112,12345,59,M+L+KD+S+V,1.0,1,240,0.0
tier3,2018,112,12345,60,C+KD+S+V,0.1663,1,181,0.69505569
tier3,2018,112,12345,61,M+C+KD+S+V,1.0,1,251,0.0
tier3,2018,112,12345,62,L+C+KD+S+V,0.6979,1,201,0.09126441000000002
tier3,2018,112,12345,63,M+L+C+KD+S+V,1.0,1,271,0.0
tier3,2018,112,12345,64,MP,0.0,0,16,0.0
tier3,2018,112,12345,65,M+MP,0.0,0,86,0.0
tier3,2018,112,12345,66,L+MP,0.0,0,36,0.0
tier3,2018,112,12345,67,M+L+MP,0.0,0,106,0.0
tier3,2018,112,12345,68,C+MP,0.0,0,47,0.0
tier3,2018,112,12345,69,M+C+MP,0.0,0,117,0.0
tier3,2018,112,12345,70,L+C+MP,0.0,0,67,0.0
tier3,2018,112,12345,71,M+L+C+MP,0.0,0,137,0.0
tier3,2018,112,12345,72,KD+MP,0.0,0,38,0.0
tier3,2018,112,12345,73,M+KD+MP,0.0,0,108,0.0
tier3,2018,112,12345,74,L+KD+MP,0.0,0,58,0.0
tier3,2018,112,12345,75,M+L+KD+MP,0.0,0,128,0.0
tier3,2018,112,12345,76,C+KD+MP,0.0,0,69,0.0
tier3,2018,112,12345,77,M+C+KD+MP,0.0,0,139,0.0
tier3,2018,112,12345,78,L+C+KD+MP,0.0,0,89,0.0
tier3,2018,112,12345,79,M+L+C+KD+MP,0.0,0,159,0.0
tier3,2018,112,12345,80,S+MP,0.0,0,116,0.0
tier3,2018,112,12345,81,M+S+MP,0.8933,1,186,0.011384890000000003
tier3,2018,112,12345,82,L+S+MP,0.0,0,136,0.0
tier3,2018,112,12345,83,M+L+S+MP,0.9988,1,206,1.4399999999999494e-06
tier3,2018,112,12345,84,C+S+MP,0.00125,0,147,1.5625e-06
tier3,2018,112,12345,85,M+C+S+MP,1.0,1,217,0.0
tier3,2018,112,12345,86,L+C+S+MP,0.17185,0,167,0.029532422500000002
tier3,2018,112,12345,87,M+L+C+S+MP,1.0,1,237,0.0
tier3,2018,112,12345,88,KD+S+MP,0.0,0,138,0.0
tier3,2018,112,12345,89,M+KD+S+MP,0.89735,1,208,0.010537022500000003
tier3,2018,112,12345,90,L+KD+S+MP,0.0,0,158,0.0
tier3,2018,112,12345,91,M+L+KD+S+MP,0.99885,1,228,1.322499999999964e-06
tier3,2018,112,12345,92,C+KD+S+MP,0.00125,0,169,1.5625e-06
tier3,2018,112,12345,93,M+C+KD+S+MP,1.0,1,239,0.0
tier3,2018,112,12345,94,L+C+KD+S+MP,0.1755,1,189,0.67980025
tier3,2018,112,12345,95,M+L+C+KD+S+MP,1.0,1,259,0.0
tier3,2018,112,12345,96,V+MP,0.0,0,44,0.0
tier3,2018,112,12345,97,M+V+MP,0.0,0,114,0.0
tier3,2018,112,12345,98,L+V+MP,0.0,0,64,0.0
tier3,2018,112,12345,99,M+L+V+MP,0.00085,0,134,7.225e-07
tier3,2018,112,12345,100,C+V+MP,0.0,0,75,0.0
tier3,2018,112,12345,101,M+C+V+MP,0.1481,0,145,0.021933610000000003
tier3,2018,112,12345,102,L+C+V+MP,0.0,0,95,0.0
tier3,2018,112,12345,103,M+L+C+V+MP,0.5691,0,165,0.32387481000000007
tier3,2018,112,12345,104,KD+V+MP,0.0,0,66,0.0
tier3,2018,112,12345,105,M+KD+V+MP,0.0,0,136,0.0
tier3,2018,112,12345,106,L+KD+V+MP,0.0,0,86,0.0
tier3,2018,112,12345,107,M+L+KD+V+MP,0.00085,0,156,7.225e-07
tier3,2018,112,12345,108,C+KD+V+MP,0.0,0,97,0.0
tier3,2018,112,12345,109,M+C+KD+V+MP,0.14815,0,167,0.021948422500000002
tier3,2018,112,12345,110,L+C+KD+V+MP,0.0,0,117,0.0
tier3,2018,112,12345,111,M+L+C+KD+V+MP,0.57535,1,187,0.18032762249999998
tier3,2018,112,12345,112,S+V+MP,0.0,0,144,0.0
tier3,2018,112,12345,113,M+S+V+MP,1.0,1,214,0.0
tier3,2018,112,12345,114,L+S+V+MP,0.0377,0,164,0.0014212899999999997
tier3,2018,112,12345,115,M+L+S+V+MP,1.0,1,234,0.0
tier3,2018,112,12345,116,C+S+V+MP,0.57215,1,175,0.18305562249999996
tier3,2018,112,12345,117,M+C+S+V+MP,1.0,1,245,0.0
tier3,2018,112,12345,118,L+C+S+V+MP,0.8642,1,195,0.01844164000000001
tier3,2018,112,12345,119,M+L+C+S+V+MP,1.0,1,265,0.0
tier3,2018,112,12345,120,KD+S+V+MP,0.0,0,166,0.0
tier3,2018,112,12345,121,M+KD+S+V+MP,1.0,1,236,0.0
tier3,2018,112,12345,122,L+KD+S+V+MP,0.0398,1,186,0.9219840399999999
tier3,2018,112,12345,123,M+L+KD+S+V+MP,1.0,1,256,0.0
tier3,2018,112,12345,124,C+KD+S+V+MP,0.5772,1,197,0.17875983999999995
tier3,2018,112,12345,125,M+C+KD+S+V+MP,1.0,1,267,0.0
tier3,2018,112,12345,126,L+C+KD+S+V+MP,0.865,1,217,0.018225
tier3,2018,112,12345,127,M+L+C+KD+S+V+MP,1.0,1,287,0.0
tier3,2018,112,12345,128,SD,0.0,0,62,0.0
tier3,2018,112,12345,129,M+SD,0.135,0,132,0.018225
tier3,2018,112,12345,130,L+SD,0.0,0,82,0.0
tier3,2018,112,12345,131,M+L+SD,0.4228,0,152,0.17875984
tier3,2018,112,12345,132,C+SD,0.0,0,93,0.0
tier3,2018,112,12345,133,M+C+SD,0.9602,0,163,0.9219840400000001
tier3,2018,112,12345,134,L+C+SD,0.0,0,113,0.0
tier3,2018,112,12345,135,M+L+C+SD,1.0,1,183,0.0
tier3,2018,112,12345,136,KD+SD,0.0,0,84,0.0
tier3,2018,112,12345,137,M+KD+SD,0.1358,0,154,0.018441640000000002
tier3,2018,112,12345,138,L+KD+SD,0.0,0,104,0.0
tier3,2018,112,12345,139,M+L+KD+SD,0.42785,0,174,0.18305562250000001
