model,tier,target_year,horizon_days,seed,draws,k_outer,training_residual_years,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,coverage_50_8party,coverage_80_8party,coverage_90_8party,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,min_lambda,p01_lambda,p10_lambda,fraction_lambda_lt_1,elapsed_seconds,mandate_law,first_divisor,geography_mode,geography_baseline_year,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks,complement_symmetry_max_abs_diff,complement_symmetry_holds,seat_total_always_349,distinct_vote_rows,distinct_seat_rows,atom_index_counts,mc_mean_seats,mc_mean_vote_pct
CONTROL_pp_centered_noise,tier1,2014,14,12345,20000,3,2002|2006|2010,3.5684433067531485,3.5222486346256905,0.9748930802278626,0.923995811415534,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,120.89,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,24680,20000,3,2002|2006|2010,3.564693433258788,3.518926994185686,0.9733802190705547,0.9221953031852337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,118.08,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,98765,20000,3,2002|2006|2010,3.5673625111844824,3.521188072561759,0.9745793068561814,0.9236889891469833,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,122.42,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,54321,20000,3,2002|2006|2010,3.5659993331688318,3.5200416912005004,0.9739571410617858,0.922909106165268,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,121.23,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2014,14,13579,20000,3,2002|2006|2010,3.5690279273008882,3.5226531139729973,0.9752626752215996,0.924508843074396,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,0.375,0.375,0.375,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,97.93,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,12345,20000,4,2002|2006|2010|2014,3.863088316782824,3.6172092523741965,0.8848267682109245,0.9476010173462781,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.8041538148148146,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,103.34,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,24680,20000,4,2002|2006|2010|2014,3.8682873407851757,3.62100714588109,0.8861362081760065,0.9492338844620725,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.6257070246913576,1.8888171234567896,1.8888171234567896,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,107.65,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,98765,20000,4,2002|2006|2010|2014,3.8649784744599422,3.618221299154919,0.8856275179049695,0.948572942823943,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5009041358024686,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,109.58,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,54321,20000,4,2002|2006|2010|2014,3.8653155164798427,3.618439802101946,0.8850255508475908,0.9480803802297054,0.3333333333333333,0.4444444444444444,0.4444444444444444,1.5009041358024686,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,88.82,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2018,14,13579,20000,4,2002|2006|2010|2014,3.8668812663321592,3.6200730149197757,0.8856244295171447,0.9486281459037637,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.9647006049382715,1.8888171234567896,1.8888171234567896,0.375,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,88.54,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,12345,20000,5,2002|2006|2010|2014|2018,1.9587793614903537,1.9188163485708254,0.46935182440129053,0.4377902182751863,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,83.43,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,24680,20000,5,2002|2006|2010|2014|2018,1.9672115689410856,1.9280499890598117,0.4719965934317446,0.439924104020938,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,79.43,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,98765,20000,5,2002|2006|2010|2014|2018,1.9595038119038566,1.9200374551296733,0.4704026381310915,0.438500172157728,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,93.53,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,54321,20000,5,2002|2006|2010|2014|2018,1.9772235801664428,1.9388721322292988,0.474412134769843,0.44193236106009953,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,88.94,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,13579,20000,5,2002|2006|2010|2014|2018,1.971665840348524,1.9328162889097658,0.47261779678073834,0.4404392044331703,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,89.53,,,,,,,,,,,,,,,,,,
CONTROL_pp_centered_noise,tier3_iso,2014,14,12345,20000,3,2002|2006|2010,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,41.39,PRE_2018,7/5,chronological,2010,14.1766,3.888375,0.625,0.625,0.625,0.044564971377952754,0.0,True,True,3,3,6632|6771|6597,80.350650|22.972200|23.012200|19.328100|109.651050|25.010400|32.342050|36.333350,21.96225939|6.28229623|6.27289035|5.20446880|29.90862917|6.84709542|8.80956334|9.97088751|4.74190978
CONTROL_pp_centered_noise,tier3_iso,2014,14,24680,20000,3,2002|2006|2010,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.94,PRE_2018,7/5,chronological,2010,14.1731,3.888975,0.625,0.625,0.625,0.044656574271653544,0.0,True,True,3,3,6735|6552|6713,80.294650|23.036600|22.994150|19.334550|109.692900|24.979500|32.329800|36.337850,21.94934413|6.29872218|6.26816517|5.20518596|29.91982375|6.83805751|8.80705427|9.97493599|4.73871104
CONTROL_pp_centered_noise,tier3_iso,2014,14,98765,20000,3,2002|2006|2010,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,22.27,PRE_2018,7/5,chronological,2010,14.1768,3.889225,0.625,0.625,0.625,0.044624490255905515,0.0,True,True,3,3,6637|6690|6673,80.351450|22.989400|22.997250|19.335450|109.656600|25.008900|32.330900|36.330050,21.96321216|6.28671330|6.26921429|5.20608869|29.90917966|6.84630390|8.80664084|9.97096891|4.74167826
CONTROL_pp_centered_noise,tier3_iso,2014,14,54321,20000,3,2002|2006|2010,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.96,PRE_2018,7/5,chronological,2010,14.1746,3.8889500000000004,0.625,0.625,0.625,0.04463551631889764,1.6653345369377348e-16,True,True,3,3,6689|6624|6687,80.320950|23.013000|22.997050|19.334250|109.675500|24.993300|32.331400|36.334550,21.95569143|6.29271374|6.26901147|5.20544696|29.91482682|6.84196448|8.80714775|9.97308571|4.74011164
CONTROL_pp_centered_noise,tier3_iso,2014,14,13579,20000,3,2002|2006|2010,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.99,PRE_2018,7/5,chronological,2010,14.1788,3.8891999999999998,0.625,0.625,0.625,0.04459365466535433,0.0,True,True,3,3,6589|6778|6633,80.378250|22.962200|23.002850|19.333850|109.637800|25.023300|32.334500|36.327250,21.96954651|6.27978163|6.27072774|5.20607114|29.90396418|6.85044526|8.80725059|9.96905924|4.74315370
CONTROL_pp_centered_noise,tier3_iso,2018,14,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.94,POST_2018,6/5,chronological,2014,11.9787,2.9977125,0.5,0.5,0.5,0.015328754251968503,2.7755575615628914e-17,True,True,4,4,5020|4959|4933|5088,63.997850|21.503400|30.747850|21.744650|90.502600|35.730800|17.984650|66.788200,17.77412214|5.95658516|8.52847157|6.07353344|25.09728262|9.87225305|4.97924270|18.59651516|3.12199416
CONTROL_pp_centered_noise,tier3_iso,2018,14,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.57,POST_2018,6/5,chronological,2014,11.986,3.0013875,0.375,0.5,0.5,0.015221611909448818,1.3877787807814457e-17,True,True,4,4,4963|5058|4992|4987,64.019850|21.482300|30.751300|21.753300|90.487700|35.763050|18.003250|66.739250,17.77779173|5.95222444|8.53009762|6.07509580|25.09211234|9.88116000|4.98276728|18.58261591|3.12613488
