target_year,k,residual_year,probability,vote_M_pct,vote_L_pct,vote_C_pct,vote_KD_pct,vote_S_pct,vote_V_pct,vote_MP_pct,vote_SD_pct,vote_REST_pct,seats_M,seats_L,seats_C,seats_KD,seats_S,seats_V,seats_MP,seats_SD,seat_total,mask15_M+L+C+KD_seats,mask84_C+S+MP_seats,mask112_S+V+MP_seats,mask120_KD+S+V+MP_seats,mask135_M+L+C+SD_seats
2014,3,2002,0.3333333333333333,19.799960296296298,7.300396629629629,6.72015662962963,4.809826962962962,31.359359296296297,5.7826479629629635,9.345684296296296,10.531750296296297,4.35021762962963,72,27,25,18,114,21,34,38,349,142,173,169,187,162
2014,3,2006,0.3333333333333333,22.813428296296298,5.26951362962963,6.53442362962963,5.177934962962963,29.1879162962963,7.424659962962963,8.936410296296296,9.708786296296298,4.94692662962963,84,19,24,19,107,27,33,36,349,146,164,167,186,163
2014,3,2010,0.3333333333333333,23.262411407407406,6.29828974074074,5.554819740740741,5.628438074074074,29.18992440740741,7.3243920740740736,8.140405407407407,9.676063407407408,4.925255740740741,85,23,20,21,108,27,30,35,349,149,158,165,186,163
2018,4,2002,0.25,15.091779500000001,7.14298425,9.16336425,5.645610499999999,26.77419925,8.894969249999999,5.83673325,18.643812,2.80654775,54,26,33,20,96,32,21,67,349,133,150,149,169,180
2018,4,2006,0.25,18.1052475,5.11210125,8.977631250000002,6.0137185,24.602756250000002,10.536981249999998,5.42745925,17.820847999999998,3.4032567499999997,66,18,32,22,89,38,20,64,349,138,141,147,169,180
2018,4,2010,0.25,18.55423061111111,6.1408773611111105,7.998027361111111,6.464221611111111,24.604764361111112,10.43671336111111,4.631454361111111,17.78812511111111,3.3815858611111107,67,22,29,23,89,38,17,64,349,141,135,144,167,182
2018,4,2014,0.25,19.341542388888886,5.430437138888888,7.978577138888889,6.175249388888889,24.402280138888887,9.641336138888889,4.033553138888889,20.08961488888889,2.907409638888889,69,20,29,22,88,35,14,72,349,140,131,137,159,190
2022,5,2002,0.2,14.5121172,6.0886076,8.1237028,5.018674799999999,30.2437306,6.8638772,6.411434,21.577545800000003,1.16031,51,21,29,18,107,24,23,76,349,119,159,154,172,177
2022,5,2006,0.2,17.525585200000002,4.0577246,7.9379698,5.386782800000001,28.072287600000003,8.505889199999999,6.00216,20.7545818,1.757019,63,14,28,19,100,30,21,74,349,124,149,151,170,179
2022,5,2010,0.2,17.97456831111111,5.0865007111111105,6.958365911111111,5.8372859111111115,28.074295711111112,8.40562131111111,5.206155111111111,20.721858911111113,1.7353481111111109,64,18,25,21,100,30,18,73,349,128,143,148,169,180
2022,5,2014,0.2,18.761880088888887,4.376060488888888,6.938915688888889,5.548313688888888,27.87181148888889,7.610244088888889,4.608253888888889,23.02334868888889,1.2611718888888892,66,15,25,20,99,27,16,81,349,126,140,142,162,187
2022,5,2018,0.2,19.457849200000002,4.778106599999999,7.174045799999999,6.4309428,29.9343746,6.863368200000001,5.958997,19.087164800000004,0.3151510000000002,68,17,25,22,105,24,21,67,349,132,151,150,172,177
