tier,target_year,seed,mean_lambda,min_lambda,p01_lambda,p05_lambda,p10_lambda,fraction_lambda_lt_1,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75
tier1,2014,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2014,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2018,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier1,2022,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2014,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2014,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2014,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2014,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2014,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2018,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2018,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2018,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2018,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2018,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2022,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2022,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2022,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2022,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3_iso,2022,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
