election_year,constituency_code,constituency_name,party,total_seats
2010,01,Stockholms kommun,M,10
2010,01,Stockholms kommun,L,3
2010,01,Stockholms kommun,C,2
2010,01,Stockholms kommun,KD,2
2010,01,Stockholms kommun,S,6
2010,01,Stockholms kommun,V,2
2010,01,Stockholms kommun,MP,3
2010,01,Stockholms kommun,SD,1
2010,02,Stockholms län,M,15
2010,02,Stockholms län,L,3
2010,02,Stockholms län,C,2
2010,02,Stockholms län,KD,3
2010,02,Stockholms län,S,8
2010,02,Stockholms län,V,2
2010,02,Stockholms län,MP,3
2010,02,Stockholms län,SD,2
2010,03,Uppsala län,M,4
2010,03,Uppsala län,L,1
2010,03,Uppsala län,C,1
2010,03,Uppsala län,KD,1
2010,03,Uppsala län,S,3
2010,03,Uppsala län,V,1
2010,03,Uppsala län,MP,1
2010,03,Uppsala län,SD,1
2010,04,Södermanlands län,M,3
2010,04,Södermanlands län,L,1
2010,04,Södermanlands län,C,1
2010,04,Södermanlands län,KD,0
2010,04,Södermanlands län,S,4
2010,04,Södermanlands län,V,0
2010,04,Södermanlands län,MP,1
2010,04,Södermanlands län,SD,1
2010,05,Östergötlands län,M,4
2010,05,Östergötlands län,L,1
2010,05,Östergötlands län,C,1
2010,05,Östergötlands län,KD,1
2010,05,Östergötlands län,S,5
2010,05,Östergötlands län,V,1
2010,05,Östergötlands län,MP,1
2010,05,Östergötlands län,SD,1
2010,06,Jönköpings län,M,3
2010,06,Jönköpings län,L,1
2010,06,Jönköpings län,C,1
2010,06,Jönköpings län,KD,2
2010,06,Jönköpings län,S,4
2010,06,Jönköpings län,V,0
2010,06,Jönköpings län,MP,1
2010,06,Jönköpings län,SD,1
2010,07,Kronobergs län,M,2
2010,07,Kronobergs län,L,0
2010,07,Kronobergs län,C,1
2010,07,Kronobergs län,KD,0
2010,07,Kronobergs län,S,3
2010,07,Kronobergs län,V,0
2010,07,Kronobergs län,MP,0
2010,07,Kronobergs län,SD,0
2010,08,Kalmar län,M,3
2010,08,Kalmar län,L,0
2010,08,Kalmar län,C,1
2010,08,Kalmar län,KD,1
