election_year,constituency_code,constituency_name,party,votes,constituency_valid_votes,party_share
2006,01,Stockholms kommun,M,169211,482455,0.3507290835414702
2006,01,Stockholms kommun,L,48476,482455,0.10047776476562581
2006,01,Stockholms kommun,C,27257,482455,0.05649646080981646
2006,01,Stockholms kommun,KD,24327,482455,0.05042335554611311
2006,01,Stockholms kommun,S,111765,482455,0.2316589111937901
2006,01,Stockholms kommun,V,35616,482455,0.07382242903483227
2006,01,Stockholms kommun,MP,45030,482455,0.09333512970121566
2006,01,Stockholms kommun,SD,7912,482455,0.01639945694417096
2006,01,Stockholms kommun,REST,12861,482455,0.026657408462965458
2006,02,Stockholms län,M,252100,657224,0.3835830706121505
2006,02,Stockholms län,L,60178,657224,0.09156391123878617
2006,02,Stockholms län,C,34998,657224,0.05325125071512909
2006,02,Stockholms län,KD,43792,657224,0.06663177242462236
2006,02,Stockholms län,S,171901,657224,0.2615561817584264
2006,02,Stockholms län,V,31161,657224,0.047413058561464584
2006,02,Stockholms län,MP,36365,657224,0.05533121127652064
2006,02,Stockholms län,SD,12471,657224,0.018975265662848587
2006,02,Stockholms län,REST,14258,657224,0.021694277750051734
2006,03,Uppsala län,M,52016,196389,0.26486208494365776
2006,03,Uppsala län,L,17929,196389,0.09129330054127267
2006,03,Uppsala län,C,19340,196389,0.09847802066307176
2006,03,Uppsala län,KD,12976,196389,0.06607294705915301
2006,03,Uppsala län,S,60674,196389,0.3089480571722449
2006,03,Uppsala län,V,11240,196389,0.0572333480999445
2006,03,Uppsala län,MP,12312,196389,0.06269190229595344
2006,03,Uppsala län,SD,4483,196389,0.022827144086481423
2006,03,Uppsala län,REST,5419,196389,0.02759319513822057
2006,04,Södermanlands län,M,37350,159750,0.23380281690140844
2006,04,Södermanlands län,L,10843,159750,0.06787480438184663
2006,04,Södermanlands län,C,10942,159750,0.06849452269170579
2006,04,Södermanlands län,KD,9950,159750,0.062284820031298906
2006,04,Södermanlands län,S,67458,159750,0.42227230046948355
2006,04,Södermanlands län,V,7830,159750,0.049014084507042255
2006,04,Södermanlands län,MP,8218,159750,0.051442879499217525
2006,04,Södermanlands län,SD,4050,159750,0.02535211267605634
2006,04,Södermanlands län,REST,3109,159750,0.01946165884194053
2006,05,Östergötlands län,M,65037,262168,0.24807375423392633
2006,05,Östergötlands län,L,17117,262168,0.06529019559976809
2006,05,Östergötlands län,C,19884,262168,0.0758444966586311
2006,05,Östergötlands län,KD,18831,262168,0.07182798816026364
2006,05,Östergötlands län,S,98062,262168,0.3740425986390406
2006,05,Östergötlands län,V,13628,262168,0.051981935247627474
2006,05,Östergötlands län,MP,13402,262168,0.05111989258795887
2006,05,Östergötlands län,SD,6088,262168,0.02322175093832962
2006,05,Östergötlands län,REST,10119,262168,0.03859738793445424
2006,06,Jönköpings län,M,45302,205300,0.2206624452021432
2006,06,Jönköpings län,L,10982,205300,0.05349245007306381
2006,06,Jönköpings län,C,17290,205300,0.08421821724305893
2006,06,Jönköpings län,KD,32946,205300,0.16047735021919143
2006,06,Jönköpings län,S,72757,205300,0.35439357038480274
2006,06,Jönköpings län,V,8734,205300,0.042542620555284946
2006,06,Jönköpings län,MP,7070,205300,0.03443740867023867
2006,06,Jönköpings län,SD,6514,205300,0.03172917681441793
2006,06,Jönköpings län,REST,3705,205300,0.018046760837798343
2006,07,Kronobergs län,M,27454,111327,0.24660684290423707
2006,07,Kronobergs län,L,6381,111327,0.05731763184133229
2006,07,Kronobergs län,C,12562,111327,0.11283875430039433
2006,07,Kronobergs län,KD,8824,111327,0.07926199394576339
2006,07,Kronobergs län,S,40056,111327,0.3598048990810854
2006,07,Kronobergs län,V,5481,111327,0.04923333962111617
2006,07,Kronobergs län,MP,4695,111327,0.042173057748794096
2006,07,Kronobergs län,SD,3840,111327,0.03449298013958878
2006,07,Kronobergs län,REST,2034,111327,0.01827050041768843
2006,08,Kalmar län,M,31430,147531,0.2130399712602775
2006,08,Kalmar län,L,7680,147531,0.05205685584724566
