election_year,constituency_code,constituency_name,eligible_voters,valid_votes,turnout_rate
2006,1,Stockholms kommun,,482455.0,
2006,2,Stockholms län,,657224.0,
2006,3,Uppsala län,,196389.0,
2006,4,Södermanlands län,,159750.0,
2006,5,Östergötlands län,,262168.0,
2006,6,Jönköpings län,,205300.0,
2006,7,Kronobergs län,,111327.0,
2006,8,Kalmar län,,147531.0,
2006,9,Gotlands län,,35750.0,
2006,10,Blekinge län,,95781.0,
2006,11,Malmö kommun,,155302.0,
2006,12,Skåne läns västra,,161931.0,
2006,13,Skåne läns södra,,211334.0,
2006,14,Skåne läns norra och östra,,178664.0,
2006,15,Hallands län,,179470.0,
2006,16,Göteborgs kommun,,292726.0,
2006,17,Västra Götalands läns västra,,207718.0,
2006,18,Västra Götalands läns norra,,162432.0,
2006,19,Västra Götalands läns södra,,113271.0,
2006,20,Västra Götalands läns östra,,159388.0,
2006,21,Värmlands län,,168426.0,
2006,22,Örebro län,,171303.0,
2006,23,Västmanlands län,,148299.0,
2006,24,Dalarnas län,,169110.0,
2006,25,Gävleborgs län,,167728.0,
2006,26,Västernorrlands län,,153417.0,
2006,27,Jämtlands län,,78018.0,
2006,28,Västerbottens län,,162490.0,
2006,29,Norrbottens län,,156576.0,
2010,1,Stockholms kommun,,534887.0,
2010,2,Stockholms län,,716349.0,
2010,3,Uppsala län,,215030.0,
2010,4,Södermanlands län,,171427.0,
2010,5,Östergötlands län,,279741.0,
2010,6,Jönköpings län,,216564.0,
2010,7,Kronobergs län,,116513.0,
2010,8,Kalmar län,,154736.0,
2010,9,Gotlands län,,38640.0,
2010,10,Blekinge län,,100162.0,
2010,11,Malmö kommun,,169108.0,
2010,12,Skåne läns västra,,173435.0,
2010,13,Skåne läns södra,,228526.0,
2010,14,Skåne läns norra och östra,,190154.0,
2010,15,Hallands län,,195565.0,
2010,16,Göteborgs kommun,,319302.0,
2010,17,Västra Götalands läns västra,,225037.0,
2010,18,Västra Götalands läns norra,,172860.0,
2010,19,Västra Götalands läns södra,,121187.0,
2010,20,Västra Götalands läns östra,,168561.0,
2010,21,Värmlands län,,177215.0,
2010,22,Örebro län,,182378.0,
2010,23,Västmanlands län,,160143.0,
2010,24,Dalarnas län,,179168.0,
2010,25,Gävleborgs län,,177248.0,
2010,26,Västernorrlands län,,159975.0,
2010,27,Jämtlands län,,81936.0,
2010,28,Västerbottens län,,170598.0,
2010,29,Norrbottens län,,163963.0,
2014,1,Stockholms kommun,677144.0,577565.0,0.852943
2014,2,Stockholms län,900574.0,764195.0,0.848564
2014,3,Uppsala län,263680.0,228351.0,0.866016
2014,4,Södermanlands län,210085.0,178632.0,0.850284
2014,5,Östergötlands län,338664.0,291484.0,0.860688
2014,6,Jönköpings län,260633.0,224596.0,0.861733
2014,7,Kronobergs län,140723.0,120775.0,0.858246
2014,8,Kalmar län,185052.0,158822.0,0.858256
2014,9,Gotlands län,46466.0,39655.0,0.85342
2014,10,Blekinge län,118864.0,102225.0,0.860016
2014,11,Malmö kommun,226651.0,179103.0,0.790215
2014,12,Skåne läns västra,220254.0,182009.0,0.82636
2014,13,Skåne läns södra,275515.0,239845.0,0.870533
2014,14,Skåne läns norra och östra,235147.0,196700.0,0.836498
2014,15,Hallands län,238402.0,206559.0,0.866431
2014,16,Göteborgs kommun,406851.0,334294.0,0.821662
2014,17,Västra Götalands läns västra,272370.0,234945.0,0.862595
2014,18,Västra Götalands läns norra,209467.0,179053.0,0.854803
2014,19,Västra Götalands läns södra,147255.0,124892.0,0.848134
2014,20,Västra Götalands läns östra,202294.0,174445.0,0.862334
2014,21,Värmlands län,213761.0,182077.0,0.851778
2014,22,Örebro län,219922.0,188704.0,0.85805
2014,23,Västmanlands län,198080.0,166939.0,0.842786
2014,24,Dalarnas län,217293.0,184911.0,0.850975
2014,25,Gävleborgs län,216949.0,183515.0,0.84589
2014,26,Västernorrlands län,189842.0,162112.0,0.853931
2014,27,Jämtlands län,99192.0,83714.0,0.843959
2014,28,Västerbottens län,203654.0,175279.0,0.860671
2014,29,Norrbottens län,195648.0,166177.0,0.849367
2018,1,Stockholms kommun,704157.0,611206.0,0.867997
2018,2,Stockholms län,947622.0,815031.0,0.86008
2018,3,Uppsala län,273898.0,241489.0,0.881675
2018,4,Södermanlands län,213370.0,183449.0,0.859769
2018,5,Östergötlands län,344396.0,300778.0,0.873349
2018,6,Jönköpings län,262981.0,229580.0,0.872991
2018,7,Kronobergs län,142597.0,124570.0,0.873581
2018,8,Kalmar län,184447.0,160864.0,0.872142
2018,9,Gotlands län,46871.0,41129.0,0.877494
2018,10,Blekinge län,119376.0,104514.0,0.875503
2018,11,Malmö kommun,237691.0,193298.0,0.813232
