election_year,constituency_code,constituency_name,party,votes,constituency_valid_votes,party_share
2006,1,Stockholms kommun,C,27257,482455,0.0564964608098164
2006,1,Stockholms kommun,KD,24327,482455,0.0504233555461131
2006,1,Stockholms kommun,L,48476,482455,0.1004777647656258
2006,1,Stockholms kommun,M,169211,482455,0.3507290835414702
2006,1,Stockholms kommun,MP,45030,482455,0.0933351297012156
2006,1,Stockholms kommun,REST,12861,482455,0.0266574084629654
2006,1,Stockholms kommun,S,111765,482455,0.2316589111937901
2006,1,Stockholms kommun,SD,7912,482455,0.0163994569441709
2006,1,Stockholms kommun,V,35616,482455,0.0738224290348322
2006,2,Stockholms län,C,34998,657224,0.053251250715129
2006,2,Stockholms län,KD,43792,657224,0.0666317724246223
2006,2,Stockholms län,L,60178,657224,0.0915639112387861
2006,2,Stockholms län,M,252100,657224,0.3835830706121505
2006,2,Stockholms län,MP,36365,657224,0.0553312112765206
2006,2,Stockholms län,REST,14258,657224,0.0216942777500517
2006,2,Stockholms län,S,171901,657224,0.2615561817584264
2006,2,Stockholms län,SD,12471,657224,0.0189752656628485
2006,2,Stockholms län,V,31161,657224,0.0474130585614645
2006,3,Uppsala län,C,19340,196389,0.0984780206630717
2006,3,Uppsala län,KD,12976,196389,0.066072947059153
2006,3,Uppsala län,L,17929,196389,0.0912933005412726
2006,3,Uppsala län,M,52016,196389,0.2648620849436577
2006,3,Uppsala län,MP,12312,196389,0.0626919022959534
2006,3,Uppsala län,REST,5419,196389,0.0275931951382205
2006,3,Uppsala län,S,60674,196389,0.3089480571722449
2006,3,Uppsala län,SD,4483,196389,0.0228271440864814
2006,3,Uppsala län,V,11240,196389,0.0572333480999445
2006,4,Södermanlands län,C,10942,159750,0.0684945226917057
2006,4,Södermanlands län,KD,9950,159750,0.0622848200312989
2006,4,Södermanlands län,L,10843,159750,0.0678748043818466
2006,4,Södermanlands län,M,37350,159750,0.2338028169014084
2006,4,Södermanlands län,MP,8218,159750,0.0514428794992175
2006,4,Södermanlands län,REST,3109,159750,0.0194616588419405
2006,4,Södermanlands län,S,67458,159750,0.4222723004694835
2006,4,Södermanlands län,SD,4050,159750,0.0253521126760563
